日期（按日采集）,全厂日总耗煤量
1月1日,17580
1月2日,23497
1月3日,22983
1月4日,23303
1月5日,26546
1月6日,25766
1月7日,21495
1月8日,23418
1月9日,25489
1月10日,24003
1月11日,22604
1月12日,23025
1月13日,18438
1月14日,18563
1月15日,17129
1月16日,18371
1月17日,19305
1月18日,19894
1月19日,18752
1月20日,18293
1月21日,16537
1月22日,17111
1月23日,16538
1月24日,16093
1月25日,18336
1月26日,17495
1月27日,17086
1月28日,15680
1月29日,16734
1月30日,16790
1月31日,16212
2月1日,12446
2月2日,9310
2月3日,9910
2月4日,8650
2月5日,8935
2月6日,8826
2月7日,9587
2月8日,8679
2月9日,10433
2月10日,9899
2月11日,9769
2月12日,9747
2月13日,10083
2月14日,9534
2月15日,8415
2月16日,9472
2月17日,10330
2月18日,9848
2月19日,14307
2月20日,17130
2月21日,16171
2月22日,15805
2月23日,16688
2月24日,17498
2月25日,17510
2月26日,17434
2月27日,22567
2月28日,22736
2月29日,24029
3月1日,21457
3月2日,22937
3月3日,22659
3月4日,22940
3月5日,21748
3月6日,22754
3月7日,21714
3月8日,20872
3月9日,22294
3月10日,21631
3月11日,24093
3月12日,22241
3月13日,21567
3月14日,23625
3月15日,23059
3月16日,24902
3月17日,22707
3月18日,23074
3月19日,22956
3月20日,21034
3月21日,25263
3月22日,24499
3月23日,23458
3月24日,22217
3月25日,22130
3月26日,23051
3月27日,24845
3月28日,24319
3月29日,25918
3月30日,24899
3月31日,22721
4月1日,21539
4月2日,22129
4月3日,19076
4月4日,18635
4月5日,15753
4月6日,17007
4月7日,15696
4月8日,16651
4月9日,14715
4月10日,13577
4月11日,15727
4月12日,18956
4月13日,18110
4月14日,17020
4月15日,19233
4月16日,20285
4月17日,12818
4月18日,10845
4月19日,11631
4月20日,9360
4月21日,5019
4月22日,0
4月23日,0
4月24日,0
4月25日,0
4月26日,0
4月27日,0
4月28日,0
4月29日,0
4月30日,0
5月1日,0
5月2日,0
5月3日,0
5月4日,0
5月5日,0
5月6日,0
5月7日,0
5月8日,0
5月9日,2129
5月10日,5670
5月11日,12038
5月12日,12414
5月13日,11221
5月14日,11117
5月15日,11326
5月16日,10033
5月17日,12204
5月18日,12113
5月19日,11219
5月20日,11578
5月21日,11028
5月22日,10799
5月23日,14465
5月24日,17874
5月25日,18458
5月26日,18116
5月27日,16752
5月28日,16061
5月29日,15155
5月30日,17798
5月31日,18968
6月1日,15640
6月2日,12037
6月3日,14746
6月4日,15599
6月5日,15026
6月6日,16072
6月7日,16171
6月8日,18484
6月9日,16441
6月10日,15084
6月11日,15605
6月12日,15686
6月13日,16126
6月14日,16057
6月15日,16829
6月16日,15391
6月17日,15068
6月18日,19532
6月19日,18088
6月20日,20069
6月21日,22621
6月22日,21154
6月23日,22404
6月24日,23392
6月25日,24154
6月26日,23903
6月27日,21854
6月28日,18876
6月29日,18719
6月30日,17397
7月1日,15906
7月2日,16566
7月3日,18510
7月4日,18673
7月5日,19176
7月6日,17677
7月7日,18218
7月8日,18727
7月9日,19134
7月10日,20398
7月11日,22703
7月12日,24110
7月13日,23207
7月14日,23769
7月15日,24516
7月16日,22664
7月17日,24394
7月18日,25170
7月19日,23965
7月20日,24517
7月21日,25019
7月22日,23252
7月23日,23947
7月24日,19157
7月25日,15398
7月26日,14729
7月27日,15456
7月28日,17410
7月29日,17639
7月30日,22003
