date,CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
2026-05-14,652.0,754.0,846.0,601.172556588495,734.6505781311017,930.6133263470432
2026-05-15,652.0,754.0,846.0,601.6098271369996,735.4906495072242,932.1466627391354
2026-05-16,652.0,754.0,846.0,601.6832691485686,735.9129404327704,933.173531224091
2026-05-17,652.0,755.0,846.0,601.7018326900057,736.2955258047552,934.1733437455428
2026-05-18,652.0,755.0,846.0,601.4916645215202,736.4261742910974,934.8772215118493
2026-05-19,650.0,753.0,844.0,600.6032822800471,735.7338947902122,934.225847175436
2026-05-20,649.0,753.0,844.0,599.7993203011557,735.2124585527812,934.8192722010986
2026-05-21,649.0,755.0,847.0,600.0101730692668,735.7593542365862,936.2988055807016
2026-05-22,649.0,755.0,849.0,599.624293183973,735.3663433543942,935.6316220274724
2026-05-23,649.0,757.0,851.0,599.7560649104794,735.4089032466263,936.8410321486332
2026-05-24,648.0,758.0,853.0,599.495491403045,734.8850817387328,936.8768705876136
2026-05-25,648.0,760.0,855.0,599.6469082974712,734.7564209276672,936.7232094285558
2026-05-26,646.0,756.0,851.0,597.3971406042443,732.1387202606071,934.44823019529
2026-05-27,645.0,757.0,852.0,596.9848411968103,731.8823808516072,933.6895893955644
2026-05-28,644.0,755.0,850.0,595.3855273109415,730.2667486956875,931.4084972791192
2026-05-29,643.0,755.0,850.0,594.7625795632853,729.447463444238,929.5814566426134
2026-05-30,642.0,754.0,848.0,593.6713466891382,728.3192557066545,927.3124567688202
2026-05-31,642.0,756.0,852.0,593.6054234021871,728.9772046371996,928.436459022194
2026-06-01,643.0,759.0,855.0,594.2014550906595,730.0162600316208,930.0144371050573
2026-06-02,645.0,762.0,860.0,595.7323377630039,731.8128142586461,932.7139605983232
2026-06-03,643.0,760.0,857.0,593.8332096303468,729.5949722763805,930.5264636551724
2026-06-04,642.0,757.0,854.0,592.6678721674562,727.9221358087253,928.479925421001
2026-06-05,639.0,753.0,849.0,590.3103544919211,725.1447357146768,925.5567174236892
2026-06-06,638.0,752.0,847.0,588.9660450951914,723.2806534342179,922.93283389896
2026-06-07,639.0,754.0,850.0,589.6389042734147,724.1969007123255,923.6717656489526
2026-06-08,639.0,756.0,852.0,589.420149902902,724.3618019542398,923.7321690781796
2026-06-09,641.0,760.0,857.0,591.1406992381563,726.6100184335397,926.9530389074793
2026-06-10,643.0,764.0,861.0,592.7959071487265,728.4023017729559,929.1556191592358
2026-06-11,643.0,765.0,862.0,593.279870370045,728.8581753149858,930.2804898441602
2026-06-12,642.0,763.0,860.0,592.5547467168237,727.77161661545,928.305623834704
2026-06-13,642.0,762.0,859.0,591.9952278063286,727.3513908563259,927.2390620043368
2026-06-14,641.0,760.0,856.0,590.7864294747111,725.8814171717136,924.1433383142202
2026-06-15,640.0,759.0,854.0,589.6486974387824,725.069687169244,921.9490785699072
2026-06-16,638.0,756.0,851.0,586.8457872210611,722.5027008261969,917.454616581357
2026-06-17,638.0,757.0,852.0,586.9430422147951,722.907717371447,917.3944786002364
