day,CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
1,650.0,749.0,834.0,609.022108393116,740.240221327927,941.9096437386052
2,657.0,755.0,844.0,614.9559665317449,744.025034030799,952.637964406291
3,663.0,761.0,852.0,620.0355825055757,747.6388398856803,961.8430567641108
4,668.0,766.0,858.0,624.2609563146082,751.0816388925708,969.5249208120648
5,673.0,771.0,864.0,627.6320879588418,754.3534310514697,975.683556550152
6,678.0,776.0,871.0,629.7348391557861,757.6232056946291,978.0618278095563
7,680.0,779.0,873.0,631.6960297887433,761.2537983305903,980.887172538822
8,682.0,781.0,875.0,633.4277994909073,763.645807926579,984.5027158673654
9,679.0,777.0,871.0,629.2189751208498,758.7389865718287,977.435792979559
10,681.0,780.0,873.0,631.6847394646012,762.1568607491002,984.6352372796724
11,685.0,785.0,880.0,637.052190015415,768.5127797924406,992.0342694096822
12,686.0,786.0,883.0,640.6166184822935,771.9486712040808,995.6055854770328
13,688.0,789.0,886.0,645.0898008040065,777.5482822625554,1002.717007794584
14,685.0,786.0,883.0,642.6239751049495,775.3657327935024,997.8622905581065
15,681.0,782.0,877.0,638.5590032470026,772.1453389402889,987.4481511793616
16,675.0,774.0,868.0,631.1283678296207,763.3092561963861,974.6082658902752
17,673.0,772.0,865.0,628.1188199000667,760.0196012581827,970.4033712465424
18,667.0,765.0,858.0,622.4178537566223,753.0150338463329,958.7454070644894
19,668.0,766.0,859.0,623.9619072027958,754.6254938312393,958.9452022976164
20,668.0,766.0,861.0,626.1237905665395,757.5565994270924,958.5913812525137
21,662.0,760.0,854.0,622.1946174320199,753.3050783009509,948.735876307864
22,660.0,759.0,853.0,622.9956788946656,754.0177917222356,944.4833466419232
23,660.0,759.0,854.0,625.3227848579425,757.4526595360671,946.5688403559528
24,654.0,753.0,848.0,620.116131008944,750.631893064629,938.8579010093412
25,654.0,753.0,848.0,620.815101637842,751.8947162550213,943.1035083675736
26,650.0,749.0,844.0,617.1557992550413,747.3629442707906,936.6323989347784
27,646.0,745.0,839.0,612.6962728836647,743.1456412612558,929.693008345006
28,645.0,742.0,836.0,610.1207357116765,740.1719034973532,921.022859896468
29,642.0,739.0,832.0,606.4470221998582,735.4021240155228,913.5049188938336
30,641.0,737.0,830.0,603.9941237707101,731.7116303114049,908.1959865258124
31,642.0,738.0,831.0,604.5367483703005,731.9413393553425,913.2431406140632
32,639.0,735.0,828.0,600.7384888015165,726.5799949799484,906.6767187952383
33,639.0,735.0,828.0,601.2399417505217,727.0367724507071,909.7772085184424
34,642.0,738.0,831.0,604.0277193767334,731.0535067977145,912.7135394839688
35,642.0,738.0,830.0,603.4804182878115,731.5175420193763,911.1572006104298
36,643.0,740.0,833.0,606.41923841484,734.3887999156926,913.4939637883602
37,641.0,737.0,829.0,603.3354611647666,731.5150490681553,908.4880561502464
38,638.0,733.0,825.0,599.743288423274,727.3979234472674,903.2680924435988
39,634.0,729.0,820.0,595.1103953110996,721.8645044407293,896.5247101147029
40,632.0,726.0,816.0,591.456916985896,717.8356499304934,890.117322690274
41,632.0,727.0,817.0,592.8318926598033,719.2039582667087,893.5082410594381
42,634.0,729.0,819.0,594.9980492223862,722.5576118329732,896.1213362742716
43,639.0,736.0,826.0,601.9903781059893,730.6599463790587,909.8168031316338
44,643.0,740.0,831.0,605.5846801006377,735.2504146619892,916.3290862820828
45,642.0,739.0,830.0,605.3661652477676,735.4689325791754,917.1181120379356
46,640.0,736.0,826.0,602.2667382153573,732.1910004588347,913.886432510838
47,630.0,725.0,813.0,589.9144758399591,717.6314862356717,892.3188774660855
48,630.0,725.0,812.0,589.8037961251541,718.0953674540974,891.0283206927412
49,633.0,729.0,816.0,594.5226658583746,724.1234831133861,899.2287168220417
50,636.0,733.0,821.0,598.9386342283212,729.5162491953222,906.4029064377344
51,642.0,739.0,829.0,606.4451408238606,737.8275431891245,919.7108593766922
52,648.0,746.0,837.0,614.0960710873612,747.1234247307503,929.561397630776
53,651.0,750.0,843.0,619.2326174514855,753.0672288847827,937.0003631711384
54,645.0,744.0,835.0,612.1687182501555,745.6278055075695,927.2961207823467
55,638.0,736.0,826.0,604.0303649795962,735.6810524526068,914.1607965943464
56,635.0,731.0,822.0,600.1950723996426,730.9500728083462,908.0351342690838
57,631.0,726.0,814.0,592.8849883521116,722.5513542082483,898.0690536540488
58,628.0,722.0,810.0,589.3252455950951,717.9491221494598,893.2525342072688
59,625.0,719.0,808.0,587.1032456652067,713.971313917395,888.1339526437173
60,626.0,719.0,808.0,587.8537584562866,713.9490832319461,884.2296476052179
61,627.0,722.0,811.0,590.5653083197135,716.9056981479624,887.2398542779863
62,626.0,721.0,810.0,589.7541363730479,716.3056589982236,886.5918680519518
63,630.0,726.0,814.0,593.9362340014252,720.7996144595066,894.3916835380495
64,632.0,728.0,818.0,596.692684185939,724.5718505522186,900.6486992510427
65,634.0,730.0,817.0,596.4419940334326,725.7100801956544,903.5725408540482
66,640.0,737.0,824.0,602.5968240722548,734.3385957702862,915.0653156874002
67,638.0,734.0,822.0,600.2590050158957,731.61857603452,909.1332198804548
68,636.0,732.0,819.0,597.3805343380366,727.8986984014854,904.4020904897984
69,638.0,735.0,822.0,600.3460898240635,731.4826471276422,908.9162155120284
70,639.0,736.0,823.0,600.8133311580533,731.874755943306,910.5199396629304
71,638.0,735.0,822.0,599.291218136508,729.4260254210451,907.9675584028524
72,639.0,735.0,824.0,600.9016873653493,730.7342987541119,910.622034931324
73,635.0,730.0,818.0,596.5138538068779,725.7619405873315,903.5370107787694
74,637.0,733.0,822.0,599.3026986879495,729.417086045171,906.712002145484
75,636.0,732.0,820.0,598.6273034905498,729.5860264508076,905.9672178503638
76,637.0,734.0,824.0,601.256297248133,732.258288078467,911.3976162289227
77,640.0,738.0,827.0,604.2819403892021,736.3048380856957,917.722491670438
78,638.0,735.0,822.0,599.5744837769082,731.1821907457281,913.7681437276124
79,635.0,731.0,818.0,595.3221886557678,726.4338536252944,906.8992190280252
80,631.0,726.0,812.0,589.8925676871877,718.6066027165101,896.2745441028112
81,624.0,718.0,802.0,581.0708294141331,708.3076779132936,880.6502694761593
82,622.0,716.0,800.0,579.4215474393926,705.7305454253208,877.6939496708803
83,624.0,718.0,803.0,582.8502439239733,709.8101873509822,883.953508322247
84,625.0,719.0,805.0,585.8289308672639,713.0883863437623,887.3484630229982
85,627.0,722.0,807.0,587.8488533064167,715.9292159409606,893.4749300959271
86,629.0,725.0,809.0,590.0993604882732,719.4899944122974,897.5017373258513
87,634.0,731.0,816.0,596.2323987081195,727.48357952488,906.7249467927924
88,633.0,730.0,816.0,595.7786943623885,726.5462328584445,904.4933074330348
89,632.0,728.0,813.0,593.7554049215792,725.1450805815732,901.3678759292928
90,627.0,722.0,807.0,588.6284242977044,718.5033851355756,893.7836733852378
91,623.0,717.0,803.0,584.950077253886,713.325921768193,886.8926468772953
92,614.0,707.0,792.0,575.4661565450929,701.2351096669777,868.4963670962028
93,612.0,705.0,790.0,573.2854007374359,697.7640468677955,868.3528705962648
94,610.0,702.0,787.0,570.6404001389359,694.0946559492595,863.7145551794224
95,612.0,705.0,789.0,571.6043357664705,695.1334566556676,868.5513702659637
96,614.0,706.0,790.0,571.5324459185847,694.5797998830899,869.8753756933777
97,617.0,709.0,792.0,573.2403593077632,697.1762646622124,874.7425105879134
98,620.0,713.0,795.0,575.3416323330289,700.1025998545317,878.8131022589971
99,623.0,716.0,800.0,578.6330108178956,703.9126145048288,883.1632535673239
100,625.0,719.0,803.0,581.3813975623295,707.7098865535946,885.5233848184403
101,631.0,725.0,811.0,587.9504881547714,715.5058865119495,899.9789316379394
102,629.0,723.0,809.0,585.6262366350643,711.8962463257765,896.9780135843998
103,634.0,728.0,814.0,589.7433622693529,715.8612816779064,905.4201217308888
104,633.0,727.0,813.0,588.5934226038692,713.7147116072774,904.6160044344334
105,636.0,730.0,815.0,591.4726280373652,717.4562863862589,909.6580579966384
106,638.0,733.0,818.0,593.5042332764178,720.5055373147034,912.0481457788388
107,636.0,730.0,815.0,591.2185590774764,718.07655535296,906.4408652768076
108,637.0,732.0,818.0,593.439158477723,721.9676880464785,909.4499745371896
109,640.0,736.0,822.0,597.13530773762,726.1201320753344,915.7669658931272
110,639.0,735.0,822.0,596.7656882099825,724.4711693156821,915.8918132573912
