window,category,feature,name,prev,event_value,delta,pct,z,lead_corr,down_signal
3,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力煤1#--镇江港--价格(元/吨),动力煤_5500大卡以上--动力煤1#--镇江港,815.0,815.0,0.0,0.0,-0.003473112570540725,-0.0793076154264258,-0.00027544427607712895
3,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力煤3#--防城港--价格(元/吨),动力煤_5500大卡以上--动力煤3#--防城港,780.0,780.0,0.0,0.0,-0.0027667979900830434,0.46388446643391523,0.0012834746093601016
3,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力末煤3#--上海港--价格(元/吨),动力煤_5500大卡以上--动力末煤3#--上海港,790.0,790.0,0.0,0.0,-0.004481472460060908,0.4555185308150067,0.0020413937508948587
3,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力末煤4#--上海港--价格(元/吨),动力煤_5500大卡以上--动力末煤4#--上海港,825.0,825.0,0.0,0.0,-0.004696124473118781,0.43994864030399616,0.0020660535766469277
3,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--榆神煤--徐州市--价格(元/吨),动力煤_5500大卡以上--榆神煤--徐州市,890.0,890.0,0.0,0.0,-0.006491339832554615,0.20752383256503001,0.0013471077205337739
3,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--黄陵煤--徐州市--价格(元/吨),动力煤_5500大卡以上--黄陵煤--徐州市,845.0,845.0,0.0,0.0,-0.006678382737355567,0.2088039693664142,0.0013944728245079813
3,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--优混--广州港--价格(元/吨),动力煤_5500大卡以上--优混--广州港,840.0,840.0,0.0,0.0,-0.003997651272432376,0.4958812786293261,0.001982360424487919
3,国内其它煤价,00000232_优混_价格(元/吨),00000232_优混,1030.0,1030.0,0.0,0.0,-0.00378962105304708,0.2123008342531322,0.0008045397110651285
3,国内其它煤价,00000232_动力煤_价格(元/吨),00000232_动力煤,825.0,825.0,0.0,0.0,-0.0026440177864951084,0.3277661965625074,0.0008666196535231214
3,国内其它煤价,00000232_混煤_价格(元/吨),00000232_混煤,1000.0,1000.0,0.0,0.0,-0.0044309932137926115,0.2943501518154012,0.0013042635251728676
3,国内其它煤价,00000232_电煤_价格(元/吨),00000232_电煤,915.0,915.0,0.0,0.0,-0.0033802085372467644,0.3038398716797577,0.0010270421282078783
3,国内其它煤价,00000233_动力煤_价格(元/吨),00000233_动力煤,755.0,755.0,0.0,0.0,-0.0033273436074186644,0.3308322325529163,0.001100792514112991
3,国内其它煤价,00000233_混煤_价格(元/吨),00000233_混煤,930.0,930.0,0.0,0.0,-0.00502836626040132,0.2963418254582123,0.0014901152366798116
3,国内其它煤价,00000234_动力煤_价格(元/吨),00000234_动力煤,830.0,830.0,0.0,0.0,-0.00349121912351355,0.3302827672126288,0.0011530895130597036
3,国内其它煤价,00000234_混煤_价格(元/吨),00000234_混煤,1010.0,1010.0,0.0,0.0,-0.005329659122520569,0.295588645472611,0.0015753867208565995
3,国内其它煤价,00000235_动力煤_价格(元/吨),00000235_动力煤,805.0,805.0,0.0,0.0,-0.0031577218928879,0.33078371605883117,0.001044522982009786
3,国内其它煤价,00000235_混煤_价格(元/吨),00000235_混煤,980.0,980.0,0.0,0.0,-0.00487990842780859,0.29571026121798716,0.0014430389959071352
3,国内其它煤价,00000236_混煤_价格(元/吨),00000236_混煤,940.0,940.0,0.0,0.0,-0.005042492031160864,0.2948535527361136,0.0014867966900313223
