period_id,可门_厂级_上网电量,可门_厂级_供热厂用电量,可门_厂级_供热用厂用电率,可门_厂级_供热耗煤量,可门_厂级_供热量,可门_厂级_供电煤耗,可门_厂级_利用小时,可门_厂级_发电厂用电率,可门_厂级_发电标煤量,可门_厂级_发电用厂用电量,可门_厂级_发电耗煤量,可门_厂级_开机率,可门_厂级_综合供电煤耗,可门_厂级_综合厂用电率,可门_厂级_综合厂用电量,可门_厂级_耗煤量,可门_厂级_负荷率,可门_可门#1_上网电量,可门_可门#1_供热用厂用电率,可门_可门#1_供热量,可门_可门#1_利用小时,可门_可门#1_发电厂用电率,可门_可门#1_发电标煤量,可门_可门#1_发电用厂用电量,可门_可门#1_开机率,可门_可门#1_综合供电煤耗,可门_可门#1_综合厂用电率,可门_可门#1_综合厂用电量,可门_可门#1_负荷率,可门_可门#1_运行小时,可门_可门#2_上网电量,可门_可门#2_供热用厂用电率,可门_可门#2_供热量,可门_可门#2_利用小时,可门_可门#2_发电厂用电率,可门_可门#2_发电标煤量,可门_可门#2_发电用厂用电量,可门_可门#2_开机率,可门_可门#2_综合供电煤耗,可门_可门#2_综合厂用电率,可门_可门#2_综合厂用电量,可门_可门#2_负荷率,可门_可门#2_运行小时,可门_可门#3_上网电量,可门_可门#3_供热用厂用电率,可门_可门#3_供热量,可门_可门#3_利用小时,可门_可门#3_发电厂用电率,可门_可门#3_发电标煤量,可门_可门#3_发电用厂用电量,可门_可门#3_开机率,可门_可门#3_综合供电煤耗,可门_可门#3_综合厂用电率,可门_可门#3_综合厂用电量,可门_可门#3_负荷率,可门_可门#3_运行小时,可门_可门#4_上网电量,可门_可门#4_供热用厂用电率,可门_可门#4_供热量,可门_可门#4_利用小时,可门_可门#4_发电厂用电率,可门_可门#4_发电标煤量,可门_可门#4_发电用厂用电量,可门_可门#4_开机率,可门_可门#4_综合供电煤耗,可门_可门#4_综合厂用电率,可门_可门#4_综合厂用电量,可门_可门#4_负荷率,可门_可门#4_运行小时,可门_可门#5_上网电量,可门_可门#5_供热用厂用电率,可门_可门#5_供热量,可门_可门#5_利用小时,可门_可门#5_发电厂用电率,可门_可门#5_发电标煤量,可门_可门#5_发电用厂用电量,可门_可门#5_开机率,可门_可门#5_综合供电煤耗,可门_可门#5_综合厂用电率,可门_可门#5_综合厂用电量,可门_可门#5_负荷率,可门_可门#5_运行小时,可门_可门#6_上网电量,可门_可门#6_供热用厂用电率,可门_可门#6_供热量,可门_可门#6_利用小时,可门_可门#6_发电厂用电率,可门_可门#6_发电标煤量,可门_可门#6_发电用厂用电量,可门_可门#6_开机率,可门_可门#6_综合供电煤耗,可门_可门#6_综合厂用电率,可门_可门#6_综合厂用电量,可门_可门#6_负荷率,可门_可门#6_运行小时,发电量1,发电量2,发电量3,发电量4,发电量5,发电量6,总发电量
20240101,3328.8,4.81,7.29783,451,6591,297.357897,14.708333,5.341076,9936.0952,188.54,17129,100,298.488801,5.699717,201.2,17580,61.284722,961.65,7.13,3415,16.916667,4.925123,2839.75245,49.99,100,295.3,5.256158,53.35,70.486111,24,600.51,0,0,10.733333,6.329193,1828.55295,40.76,100,304.5,6.753106,43.49,44.722222,24,733.57,8.85,1256,13.083333,6.138854,2203.497566,48.19,100,300.38,6.551592,51.43,54.513889,24,1033.07,6.56,1920,18.1,4.567219,3064.292234,49.6,100,296.62,4.873849,52.93,75.416667,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,644,785,1086,,,3530
20240102,4551,4.35,6.639194,445,6552,296.644695,19.966667,4.743948,13540.85138,227.33,23052,100,297.535737,5.029215,241,23497,83.194444,1230.68,6.67,2200,21.566667,4.61592,3628.783048,59.73,100,294.86,4.893354,63.32,89.861111,24,1004.21,0,0,17.666667,4.964151,3033.015463,52.62,100,302.03,5.263208,55.79,73.611111,24,1091.46,7.32,1419,19.233333,5.111785,3263.028816,58.99,100,298.96,5.419411,62.54,80.138889,24,1224.65,6.27,2933,21.4,4.360592,3616.024055,55.99,100,295.27,4.622274,59.35,89.166667,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,1060,1154,1284,,,4792
20240103,4500.15,4.28,6.385201,446,6703,296.640231,19.725,4.710182,13381.50016,222.98,22537,100,297.356758,4.939797,233.85,22983,82.1875,1224.73,6.57,3577,21.433333,4.542768,3604.747809,58.42,100,294.33,4.764386,61.27,89.305556,24,1089.94,0,0,19.133333,4.8223,3288.34898,55.36,100,301.7,5.057491,58.06,79.722222,24,965.04,0,0,17.033333,5.31409,2889.233256,54.31,100,299.39,5.573386,56.96,70.972222,24,1220.43,6.18,3126,21.3,4.294992,3599.170113,54.89,100,294.91,4.504695,57.57,88.75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1286,1148,1022,1278,,,4734
20240104,4429.65,4.81,6.639061,495,7245,296.597908,19.458333,4.81863,13183.68804,225.03,22808,100,297.623696,5.146681,240.35,23303,81.076389,1232.21,6.56,3567,21.583333,4.539768,3631.815754,58.79,100,294.74,4.848649,62.79,89.930556,24,976.32,0,0,17.216667,5.137464,2949.560352,53.07,100,302.11,5.486931,56.68,71.736111,24,998.44,7.68,1016,17.65,5.354108,2991.126552,56.7,100,299.58,5.718602,60.56,73.541667,24,1222.68,6.34,2662,21.383333,4.401403,3611.18538,56.47,100,295.35,4.701481,60.32,89.097222,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1033,1059,1283,,,4670
20240105,5077.95,4.57,6.229553,504,7336,296.659512,22.225,4.566929,15101.1558,243.6,26042,100,297.386855,4.800337,256.05,26546,92.604167,1322.86,6.34,1856,23.116667,4.399423,3897.542418,61.02,100,294.63,4.624369,64.14,96.319444,24,1274.54,6.47,1759,22.316667,4.580284,3842.10083,61.33,100,301.45,4.81404,64.46,92.986111,24,1162.56,0,0,20.483333,5.143206,3474.89184,63.21,100,298.9,5.406021,66.44,85.347222,24,1317.99,6.05,3721,22.983333,4.208847,3886.620711,58.04,100,294.89,4.42422,61.01,95.763889,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1387,1339,1229,1379,,,5334
20240106,4909.8,4.41,6.081081,500,7252,296.649396,21.4875,4.514059,14607.63922,232.79,25266,100,297.520046,4.793485,247.2,25766,89.53125,1292.13,6.39,519,22.6,4.435841,3810.103731,60.15,100,294.87,4.710177,63.87,94.166667,24,1277.47,6.2,2689,22.333333,4.394776,3850.039086,58.89,100,301.38,4.666418,62.53,93.055556,24,1042.12,0,0,18.383333,5.197643,3119.169372,57.33,100,299.31,5.519492,60.88,76.597222,24,1298.09,5.97,4044,22.633333,4.154639,3828.327028,56.42,100,294.92,4.411635,59.91,94.305556,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1356,1340,1103,1358,,,5157
20240107,4086.9,4.71,6.460019,500,7291,296.869166,17.941667,4.777984,12172.40769,205.74,20995,100,297.839626,5.088249,219.1,21495,74.756944,1156.4,0,0,20.25,4.528395,3416.69944,55.02,100,295.46,4.823045,58.6,84.375,24,828.2,7.25,960,14.6,5.124429,2508.12088,44.89,100,302.84,5.456621,47.8,60.833333,24,929.27,7.74,764,16.433333,5.402637,2785.858533,53.27,100,299.79,5.75355,56.73,68.472222,24,1173.03,6.15,5567,20.483333,4.275834,3461.728833,52.55,100,295.11,4.554109,55.97,85.347222,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,876,986,1229,,,4306
20240108,4563.45,4.59,6.282508,498,7306,296.617015,19.9875,4.424432,13599.17823,212.24,22920,100,298.002131,4.868668,233.55,23418,83.28125,1233.44,0,0,21.566667,4.253478,3646.04864,55.04,100,295.6,4.680062,60.56,89.861111,24,1048.76,6.41,1811,18.4,4.547101,3168.094208,50.2,100,302.08,5.003623,55.24,76.666667,24,1049.38,6.98,1836,18.483333,4.885482,3143.627666,54.18,100,299.57,5.376014,59.62,77.013889,24,1231.87,5.88,3659,21.5,4.095349,3641.40772,52.83,100,295.6,4.506202,58.13,89.583333,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,1104,1109,1290,,,4797
20240109,4979.85,4.15,5.884855,472,7052,296.663836,21.783333,4.333206,14837.5231,226.54,25017,100,297.951205,4.746557,248.15,25489,90.763889,1253.51,0,0,21.9,4.202435,3702.743189,55.22,100,295.39,4.603501,60.49,91.25,24,1305.61,5.95,2911,22.816667,4.227173,3940.461541,57.87,100,301.81,4.630387,63.39,95.069444,24,1107.99,0,0,19.516667,4.912041,3317.432859,57.52,100,299.41,5.380871,63.01,81.319444,24,1312.73,5.84,4141,22.9,4.070597,3876.885509,55.93,100,295.33,4.459243,61.27,95.416667,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1314,1369,1171,1374,,,5228
20240110,4721.4,4.12,5.782456,455,7125,296.662283,20.666667,4.390927,14068.34845,217.79,23548,100,297.969849,4.810484,238.6,24003,86.111111,1240.35,0,0,21.65,4.121632,3664.862145,53.54,100,295.47,4.515012,58.65,90.208333,24,1164.5,0,0,20.45,4.649552,3520.2835,57.05,100,302.3,5.093725,62.5,85.208333,24,1076.6,7.04,601,18.966667,4.925308,3223.98636,56.05,100,299.46,5.395431,61.4,79.027778,24,1239.95,5.67,6524,21.6,3.947531,3659.216445,51.16,100,295.11,4.324846,56.05,90,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,1227,1138,1296,,,4960
