period_id,永安_厂级_上网电量,永安_厂级_供热厂用电量,永安_厂级_供热用厂用电率,永安_厂级_利用小时,永安_厂级_发电厂用电率,永安_厂级_发电标煤量,永安_厂级_发电用厂用电量,永安_厂级_开机率,永安_厂级_日电网调度发电量,永安_厂级_综合供电煤耗,永安_厂级_综合厂用电率,永安_厂级_综合厂用电量,永安_厂级_耗煤量,永安_厂级_负荷率,永安_永安#7_上网电量,永安_永安#7_利用小时,永安_永安#7_发电厂用电率,永安_永安#7_发电标煤量,永安_永安#7_发电用厂用电量,永安_永安#7_开机率,永安_永安#7_综合供电煤耗,永安_永安#7_综合厂用电率,永安_永安#7_综合厂用电量,永安_永安#7_负荷率,永安_永安#7_运行小时,永安_永安#8_上网电量,永安_永安#8_利用小时,永安_永安#8_发电厂用电率,永安_永安#8_发电标煤量,永安_永安#8_发电用厂用电量,永安_永安#8_开机率,永安_永安#8_综合供电煤耗,永安_永安#8_综合厂用电率,永安_永安#8_综合厂用电量,永安_永安#8_负荷率,永安_永安#8_运行小时,发电量7,发电量8,总发电量
20240101,836.5,9.43,7.80279,15.012833,5.769508,2639.060181,51.97,100,863.7,315.488366,7.135007,64.27,5282,62.553472,299.3459,10.847667,6.201856,958.535506,20.1827,100,320.21,8.015272,26.0841,45.198611,24,537.1491,19.178,5.524299,1680.524674,31.7835,100,312.86,6.637971,38.1909,79.908333,24,325.43,575.34,900.77
20240102,956.23,10.27,7.263515,17.071333,5.33155,3001.616644,54.61,100,993.1,313.901116,6.643691,68.05,6195,71.130556,419.778,14.965333,5.16565,1325.365079,23.1917,100,315.73,6.499911,29.182,62.355556,24,536.452,19.177333,5.461587,1676.251564,31.4216,100,312.47,6.755892,38.868,79.905556,24,448.96,575.32,1024.28
20240103,972.29,11.04,7.235862,17.365667,5.321804,3045.997323,55.45,100,1001.7,313.280742,6.684646,69.65,6242,72.356944,428.7949,15.302667,5.245513,1349.803466,24.0811,100,314.79,6.596911,30.2851,63.761111,24,543.4951,19.428667,5.382665,1696.193858,31.3734,100,312.09,6.753749,39.3649,80.952778,24,459.08,582.86,1041.94
20240104,995.94,10.48,6.769632,17.797833,5.4295,3114.956858,57.98,100,1067.1,312.765514,6.735839,71.93,6394,74.157639,546.911,19.449333,4.668335,1699.033713,27.2388,100,310.66,6.267396,36.569,81.038889,24,449.029,16.146333,6.346126,1415.923146,30.74,100,315.33,7.300109,35.361,67.276389,24,583.48,484.39,1067.87
20240105,1161.71,10.53,6.598836,20.705333,5.343229,3628.702446,66.38,100,1253.1,312.358717,6.488666,80.61,7480,86.272222,538.8742,19.207,4.623991,1652.942721,26.6439,100,306.74,6.479547,37.3358,80.029167,24,622.8358,22.203667,5.965261,1975.759725,39.7352,100,317.22,6.496555,43.2742,92.515278,24,576.21,666.11,1242.32
20240106,982.03,10.73,6.967745,17.517167,5.246282,3051.584121,55.14,100,1051.9,310.742454,6.56594,69.01,5785,72.988194,445.1325,15.844667,4.72628,1375.459425,22.4659,100,309,6.354925,30.2075,66.019444,24,536.8925,19.189667,5.675485,1676.124696,32.6732,100,312.19,6.739304,38.7975,79.956944,24,475.34,575.69,1051.03
20240107,931.59,10.49,7.181454,16.632667,5.297808,2913.178449,52.87,100,997.8,312.710361,6.650567,66.37,6071,69.302778,393.5395,14.079333,5.146006,1232.093467,21.7357,100,313.08,6.828093,28.8405,58.663889,24,538.0505,19.186,5.40851,1681.084982,31.1303,100,312.44,6.520293,37.5295,79.941667,24,422.38,575.58,997.96
20240108,989.84,10.82,7.040943,17.649167,5.193824,3104.460506,55,100,1061,313.632557,6.52722,69.12,6605,73.538194,452.3212,16.118,4.926542,1412.689572,23.8218,100,312.32,6.456301,31.2188,67.158333,24,537.5138,19.180333,5.418119,1691.770934,31.1764,100,314.74,6.585947,37.8962,79.918056,24,483.54,575.41,1058.95
20240109,1025.59,9.21,6.984384,18.265,5.286066,3217.040723,57.93,100,1095.6,313.677076,6.415731,70.31,7088,76.104167,485.2216,17.244333,4.929813,1516.463066,25.5034,100,312.53,6.206561,32.1084,71.851389,24,540.3634,19.285667,5.604508,1700.577656,32.426,100,314.71,6.603626,38.2066,80.356944,24,517.33,578.57,1095.9
20240110,1020.14,11.02,6.730215,18.150833,5.012626,3201.2303,54.59,100,1090.3,313.803037,6.326615,68.9,7176,75.628472,468.1043,16.646333,4.665552,1467.506981,23.2993,100,313.5,6.264783,31.2857,69.359722,24,552.0357,19.655333,5.30621,1733.723319,31.2886,100,314.06,6.380677,37.6243,81.897222,24,499.39,589.66,1089.05
