period_id,漳平_厂级_上网电量,漳平_厂级_供热厂用电量,漳平_厂级_供热用厂用电率,漳平_厂级_供热耗煤量,漳平_厂级_供热量,漳平_厂级_供煤量,漳平_厂级_供电煤耗,漳平_厂级_利用小时,漳平_厂级_发电厂用电率,漳平_厂级_发电标煤量,漳平_厂级_发电用厂用电量,漳平_厂级_发电耗煤量,漳平_厂级_开机率,漳平_厂级_日电网调度发电量,漳平_厂级_综合供电煤耗,漳平_厂级_综合厂用电率,漳平_厂级_综合厂用电量,漳平_厂级_耗煤量,漳平_厂级_负荷率,漳平_漳平#5_上网电量,漳平_漳平#5_供热用厂用电率,漳平_漳平#5_供热量,漳平_漳平#5_利用小时,漳平_漳平#5_发电厂用电率,漳平_漳平#5_发电标煤量,漳平_漳平#5_发电用厂用电量,漳平_漳平#5_开机率,漳平_漳平#5_综合供电煤耗,漳平_漳平#5_综合厂用电率,漳平_漳平#5_综合厂用电量,漳平_漳平#5_负荷率,漳平_漳平#5_运行小时,漳平_漳平#6_上网电量,漳平_漳平#6_供热用厂用电率,漳平_漳平#6_供热量,漳平_漳平#6_利用小时,漳平_漳平#6_发电厂用电率,漳平_漳平#6_发电标煤量,漳平_漳平#6_发电用厂用电量,漳平_漳平#6_开机率,漳平_漳平#6_综合供电煤耗,漳平_漳平#6_综合厂用电率,漳平_漳平#6_综合厂用电量,漳平_漳平#6_负荷率,漳平_漳平#6_运行小时,发电量5,发电量6,总发电量
20240101,838.7,2.92,7.643299,247,3820.34,7750.32,323.03778,15.0375,6.400665,2728.05405,57.75,4933,100,902.25,325.271736,7.043502,63.55,5180,62.65625,497.25,7.65,3820.34,17.795,6.005882,1619.195175,32.0624,100,325.63,6.855858,36.6,74.145833,24,341.45,0,0,12.28,6.973453,1108.858875,25.6902,100,324.75,7.315418,26.95,51.166667,24,533.85,368.4,902.25
20240102,950.0304,5.11,6.794625,468,7520.65,7750.32,324.733829,17.0023,5.312026,3136.759931,54.19,4856,100,1020.138,330.17469,6.085451,62.08,5324,70.842917,526.5652,6.83,6341.02,18.878,5.170834,1738.139069,29.2845,100,330.09,7.023131,39.7748,78.658333,24,423.4652,6.59,1179.63,15.1266,5.487375,1398.620863,24.9016,100,330.28,6.684208,30.3328,63.0275,24,566.34,453.798,1020.138
20240103,1054.36,6.47,7.754447,586,8343.6,7750.32,324.975487,18.846567,5.902048,3457.914666,66.74,5990,100,1130.79,327.963377,6.758968,76.43,6576,78.527361,531.17,7.85,8343.6,19.0668,5.881602,1765.290378,33.643,100,332.34,7.138761,40.834,79.445,24,523.19,7.24,0,18.626333,5.923084,1692.624288,33.0976,100,323.52,6.370909,35.6,77.609722,24,572.004,558.79,1130.794
20240104,1089.92,6.89,7.796958,585,8836.78,7750.32,323.249432,19.502167,5.971986,3556.551872,69.88,5943,100,1170.13,326.313112,6.853939,80.2,6528,81.259028,542.92,7.8,8836.78,19.492667,5.835955,1781.646272,34.1275,100,328.16,7.158248,41.86,81.219444,24,547,0,0,19.511667,6.264847,1774.9056,36.67128,100,324.48,6.551636,38.35,81.298611,24,584.78,585.35,1170.13
20240105,1174.43,6.09,7.75403,634,7853.98,7750.32,325.425759,20.977333,5.91432,3853.691837,74.44,6742,100,1258.64,328.132953,6.690555,84.21,7376,87.405556,563.46,8.01,7853.98,20.226667,6.098929,1852.09302,37.0083,100,328.7,7.142386,43.34,84.277778,24,610.97,7.12,0,21.728,5.742759,2001.598817,37.4336,100,327.61,6.269944,40.87,90.533333,24,606.8,651.84,1258.64
20240106,1060.86,6.2,7.940879,550,7807.7,7750.32,326.04149,19.008667,6.142812,3490.143732,70.06,6274,100,1140.52,328.991925,6.984533,79.66,6824,79.202778,534.18,8.05,6311.58,19.217667,6.152048,1755.101808,35.4684,100,328.56,7.345672,42.35,80.073611,24,526.68,7.48,1496.12,18.799667,6.132999,1735.041924,34.5895,100,329.43,6.615366,37.31,78.331944,24,576.53,563.99,1140.52
20240107,1011.65,6.27,8.076785,574,7762.99,7750.32,325.758769,18.156333,6.266867,3326.355368,68.27,6458,100,1089.38,328.804959,7.135251,77.73,7032,75.651389,519.74,8.15,6685.31,18.725,6.217285,1707.08603,34.9256,100,328.45,7.478416,42.01,78.020833,24,491.91,7.57,1077.68,17.587667,6.318841,1619.269338,33.3401,100,329.18,6.769896,35.72,73.281944,24,561.75,527.63,1089.38
20240108,1047.53,6.03,7.702045,543,7829.09,7750.32,330.583652,18.782667,6.220274,3493.806383,70.1,6577,100,1126.96,333.52805,7.049052,79.44,7120,78.261111,535.89,7.82,6878.22,19.330667,6.353945,1768.812123,36.8478,100,330.07,7.592427,44.03,80.544444,24,511.64,6.82,950.87,18.234667,6.078258,1724.99426,33.2505,100,337.15,6.47119,35.4,75.977778,24,579.92,547.04,1126.96
20240109,1091.9,6.57,8.145877,609,8065.43,7750.32,330.348567,19.5875,6.243778,3640.011751,73.38,6919,100,1175.26,333.364937,7.092108,83.35,7528,81.614583,545.83,8.56,5413.9,19.710333,6.600108,1821.161795,39.0271,100,333.65,7.691397,45.48,82.126389,24,546.07,7.3,2651.53,19.464667,5.882608,1818.849956,34.3509,100,333.08,6.485255,37.87,81.102778,24,591.31,583.94,1175.25
20240110,1066.72,6.41,8.046436,584,7966.26,6820,330.851817,19.119667,6.155965,3561.818316,70.62,6584,100,1147.17,333.903772,7.013721,80.46,7168,79.665278,543.58,8.53,5459.32,19.627,6.582191,1835.560944,38.7566,100,337.68,7.681595,45.23,81.779167,24,523.14,6.99,2506.94,18.612333,5.70627,1726.257372,31.8621,100,329.98,6.309436,35.23,77.551389,24,588.81,558.37,1147.18
20240111,1100.93,6.33,7.949725,581,7962.54,7476,321.736518,19.696333,6.022271,3573.237938,71.17,6767,100,1181.78,324.565407,6.841375,80.85,7348,82.068056,547.64,8.34,5602.64,19.727,6.37311,1744.835804,37.7167,100,318.61,7.463544,44.17,82.195833,24,553.29,7.01,2359.9,19.665667,5.66978,1828.402134,33.45,100,330.46,6.217265,36.68,81.940278,24,591.81,589.97,1181.78
20240112,1097.58,5.91,7.891764,575,7488.82,7476,327.628107,19.639,6.056444,3626.759604,71.3655,6973,100,1178.334,330.43237,6.852861,80.75,7548,81.829167,549.24,8.4,4288.99,19.743333,6.340739,1830.726768,37.5562,100,333.32,7.269965,43.06,82.263889,24,548.34,7.21,3199.83,19.534667,5.769111,1796.032836,33.8093,100,327.54,6.433008,37.7,81.394444,24,592.3,586.04,1178.34
20240113,1108.51,6.23,7.764914,600,8023.27,7476,328.878259,19.826667,6.003699,3677.450922,71.42,6920,100,1189.6,331.747203,6.816577,81.09,7520,82.611111,552.14,8.18,4851.5,19.848667,6.299332,1886.607166,37.51,100,341.69,7.275048,43.32,82.702778,24,556.37,7.15,3171.77,19.804667,5.706971,1790.843756,33.9074,100,321.88,6.357088,37.77,82.519444,24,595.46,594.14,1189.6
20240114,1113.05,6.27,7.895284,561,7941.45,7476,322.871098,19.924667,6.090441,3624.776955,72.81,6619,100,1195.48,325.661646,6.895138,82.43,7180,83.019444,552.97,8.46,4735.97,19.923,6.519366,1803.732843,38.9656,100,326.19,7.48214,44.72,83.0125,24,560.08,7.05,3205.48,19.926333,5.660901,1821.044112,33.8403,100,325.14,6.308235,37.71,83.026389,24,597.69,597.79,1195.48
20240115,1001.14,5.83,8.13513,531,7166.45,7476,322.312194,17.959833,6.255626,3255.933322,67.41,6315,100,1077.59,325.222578,7.094535,76.45,6846,74.832639,533.36,8.48,5281.63,19.244667,6.531056,1737.846888,37.7064,100,325.83,7.617695,43.98,80.186111,24,467.78,7.17,1884.82,16.675,5.938111,1518.086434,29.7054,100,324.53,6.490755,32.47,69.479167,24,577.34,500.25,1077.59
20240116,942.37,5.77,8.164929,509,7066.81,7476,322.558988,16.92,6.303191,3068.213346,63.99,5955,100,1015.2,325.584786,7.173956,72.83,6464,70.5,539.27,8.34,5775.56,19.434,6.369576,1755.485631,37.1359,100,325.53,7.504031,43.75,80.975,24,403.11,7.36,1291.25,14.406,6.214679,1312.727715,26.8586,100,325.65,6.726364,29.07,60.025,24,583.02,432.18,1015.2
20240117,1087.47,5.73,7.990874,558,7170.68,7476,322.925226,19.488,6.221778,3540.971976,72.75,7114,100,1169.28,325.615601,6.996613,81.81,7672,81.2,560.82,8.43,4374.55,20.189,6.488996,1825.356936,39.3019,100,325.48,7.405023,44.85,84.120833,24,526.65,7.3,2796.13,18.787,5.93444,1715.61504,33.4471,100,325.76,6.557726,36.96,78.279167,24,605.67,563.61,1169.28
20240118,1094.62,5.82,8.063153,538,7218.02,7476,320.196668,19.637167,6.321346,3534.170728,74.48,6862,100,1178.24,322.867363,7.096238,83.61,7400,81.821528,549.75,8.35,3946.77,19.773667,6.473711,1857.660225,38.4027,100,337.91,7.326242,43.46,82.390278,24,544.87,7.72,3271.25,19.500667,6.166165,1676.510503,36.0733,100,307.69,6.863013,40.15,81.252778,24,593.21,585.02,1178.23
20240119,1019.78,5.85,8.23845,556,7100.85,7476,323.074127,18.299,6.294515,3323.883542,69.11,6612,100,1097.94,325.941237,7.118786,78.16,7168,76.245833,533.64,8.51,4599.97,19.244667,6.588683,1744.949436,38.0391,100,326.99,7.569197,43.7,80.186111,24,486.14,7.75,2500.88,17.353333,5.968171,1578.934106,31.0703,100,324.79,6.619285,34.46,72.305556,24,577.34,520.6,1097.94
20240120,974.82,5.8,7.836959,524,7400.83,6832,324.415357,17.493,6.283466,3191.046776,65.95,6084,100,1049.58,327.347282,7.122849,74.76,6608,72.8875,530.36,4.08,4816.49,19.125,6.554092,1732.9513,37.6041,100,326.75,7.562527,43.39,79.6875,24,444.46,1.72,2584.34,15.861,5.958073,1458.095476,28.3503,100,328.06,6.592691,31.37,66.0875,24,573.75,475.83,1049.58
20240121,934.82,4.75,7.96778,442,5961.51,6832,326.258579,16.743667,6.186419,3074.889229,62.15,5974,100,1004.62,328.928481,6.947901,69.8,6416,69.765278,520.99,8.2,4596.52,18.735333,6.337704,1702.960013,35.6217,100,326.87,7.307049,41.07,78.063889,24,413.83,7.18,1364.99,14.752,5.994328,1371.929216,26.5285,100,331.52,6.491775,28.73,61.466667,24,562.06,442.56,1004.62
20240122,886.3,5.09,8.098429,462,6285.17,6832,324.278948,15.940667,6.492828,2900.156341,62.1,5658,100,956.44,327.220618,7.333445,70.14,6120,66.419444,541.97,8.09,6285.17,19.475,6.109508,1755.603421,35.6948,100,323.93,7.236628,42.28,81.145833,24,344.33,0,0,12.406333,7.09565,1144.55292,26.4093,100,332.4,7.485424,27.86,51.693056,24,584.25,372.19,956.44
20240123,1073.74,5.08,7.872942,460,6452.48,6832,317.638797,19.170833,5.907411,3437.804704,67.95,6656,100,1150.24,320.171057,6.650728,76.5,7116,79.878472,540.74,7.87,6452.48,19.388333,5.844167,1586.855604,33.9926,100,293.46,7.033439,40.91,80.784722,24,533,0,0,18.953333,5.972916,1850.9491,33.962,100,347.27,6.260992,35.6,78.972222,24,581.65,568.6,1150.25
20240124,1016.9,5.08,8.041767,483,6317.02,6832,323.958665,18.181,6.004437,3321.742568,65.5,6549,100,1090,326.653807,6.779972,73.96,7032,75.754167,497.71,8.22,5229.38,17.895667,6.168067,1632.090632,33.1145,100,327.92,7.294131,39.16,74.565278,24,519.19,7.17,1087.64,18.466333,5.846279,1689.651936,32.3878,100,325.44,6.281702,34.8,76.943056,24,536.87,553.99,1090.86
20240125,630.88,4.58,7.214564,426,6348.27,6832,324.069459,11.387167,5.718426,2087.525826,39.07,3506,61.583333,683.23,330.891109,7.662134,52.35,3932,77.044429,68.39,0,0,2.493667,6.827028,225.796424,5.1073,23.166667,330.16,8.58174,6.42,44.85012,5.56,562.49,7.22,6348.27,20.280667,5.581342,1861.729402,33.958,100,330.98,7.549062,45.93,84.502778,24,74.81,608.42,683.23
20240126,537.98,5.19,7.156854,490,7251.79,6832,317.931791,9.747167,5.514423,1756.827488,32.25,3042,50,584.83,326.56,8.010875,46.85,3532,81.226389,0,0,0,0,0,0,0,0,0,0,0,0,0,537.98,7.16,7251.79,19.494333,5.514132,1756.827488,32.2483,100,326.56,8.010875,46.85,81.226389,24,0,584.83,584.83
20240127,545.11,5.15,6.948633,534,7411.53,6832,321.060218,9.793667,5.408257,1784.581118,31.78,3298,50,587.62,327.38,7.234267,42.51,3832,81.613889,0,0,0,0,0,0,0,0,0,0,0,0,0,545.11,6.95,7411.53,19.587333,5.407968,1784.581118,31.7783,100,327.38,7.234267,42.51,81.613889,24,0,587.62,587.62
20240128,527.87,4.22,7.013555,440,6016.92,6832,300.174495,9.468833,5.460018,1612.267232,31.02,3232,50,568.13,305.428843,7.086406,40.26,3672,78.906944,0,0,0,0,0,0,0,0,0,0,0,0,0,527.868,7.01,6016.92,18.937667,5.460687,1612.267232,31.0238,100,305.43,7.086758,40.262,78.906944,24,0,568.13,568.13
20240129,536.29,4.22,7.287774,455,5790.52,6832,328.549993,9.642833,5.696804,1792.601617,32.96,3557,50,578.57,334.259751,7.307672,42.28,4012,80.356944,0,0,0,0,0,0,0,0,0,0,0,0,0,536.2896,7.28,5790.52,19.285667,5.696147,1792.601617,32.9562,100,334.26,7.307742,42.2804,80.356944,24,0,578.57,578.57
20240130,629.9964,3.83,7.002379,462,5469.57,4231,321.93403,11.305117,4.702885,2081.004108,31.9,3842,50,678.307,330.32,6.0651,41.14,4304,94.209306,0,0,0,0,0,0,0,0,0,0,0,0,0,629.9964,7.01,5469.57,22.610233,4.702178,2081.004108,31.8952,100,330.32,7.122232,48.3106,94.209306,24,0,678.307,678.307
20240131,624.0564,3.24,6.88777,468,4703.99,3055,322.192406,11.188917,4.680227,2061.757534,31.42,4540,50,671.335,330.38,5.974662,40.11,5008,93.240972,0,0,0,0,0,0,0,0,0,0,0,0,0,624.0564,6.89,4703.99,22.377833,4.680122,2061.757534,31.4193,100,330.38,7.042475,47.2786,93.240972,24,0,671.335,671.335
20240201,522.93,2.95,6.817609,323,4327.03,3055,323.862909,9.372,5.503983,1720.910337,30.95,3385,50,562.32,329.09,7.004908,39.39,3708,78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,522.93,6.82,4327.03,18.744,5.503966,1720.910337,30.9499,100,329.09,7.004908,39.39,78.1,24,0,562.32,562.32
20240202,519.34,2.72,6.834909,310,3979.57,3055,321.781225,9.304333,5.497438,1697.621207,30.69,3494,50,558.26,326.880504,6.971662,38.92,3804,77.536111,0,0,0,0,0,0,0,0,0,0,0,0,0,519.3408,6.83,3979.57,18.608667,5.496686,1697.621207,30.6858,100,326.88,6.971519,38.9192,77.536111,24,0,558.26,558.26
20240203,525.18,3.22,6.772004,365,4754.87,3055,322.036756,9.405333,5.401191,1719.161017,30.48,3451,50,564.32,327.347008,6.937553,39.15,3816,78.377778,0,0,0,0,0,0,0,0,0,0,0,0,0,525.1752,6.77,4754.87,18.810667,5.400323,1719.161017,30.4751,100,327.35,6.936632,39.1448,78.377778,24,0,564.32,564.32
20240204,521.48,4.08,6.78063,477,6017.14,3055,323.394115,9.3585,5.326708,1719.163116,29.91,3499,50,561.51,329.67,7.128991,40.03,3976,77.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,521.48,6.78,6017.14,18.717,5.326334,1719.163116,29.9079,100,329.67,7.128991,40.03,77.9875,24,0,561.51,561.51
20240205,515.8,3.95,6.666127,460,5925.48,3055,322.588469,9.240833,5.214176,1695.33144,28.91,3368,50,554.45,328.68,6.970872,38.65,3828,77.006944,0,0,0,0,0,0,0,0,0,0,0,0,0,515.8,6.66,5925.48,18.481667,5.214807,1695.33144,28.9135,100,328.68,6.970872,38.65,77.006944,24,0,554.45,554.45
20240206,519.08,3.82,6.956154,453,5491.54,3055,323.787255,9.293667,5.487608,1706.423592,30.6,3631,50,557.62,328.74,6.911517,38.54,4084,77.447222,0,0,0,0,0,0,0,0,0,0,0,0,0,519.08,6.95,5491.54,18.587333,5.488128,1706.423592,30.6029,100,328.74,6.911517,38.54,77.447222,24,0,557.62,557.62
20240207,519.02,3.53,6.847946,439,5154.83,3055,325.236869,9.326833,5.403763,1721.706413,30.24,3757,50,559.61,331.722557,7.253266,40.59,4196,77.723611,0,0,0,0,0,0,0,0,0,0,0,0,0,519.024,6.85,5154.83,18.653667,5.403227,1721.706413,30.237,100,331.72,7.252551,40.586,77.723611,24,0,559.61,559.61
20240208,529.11,2.86,6.614552,336,4323.8,3055,322.232381,9.452167,5.27745,1731.03235,29.93,3516,50,567.13,327.159258,6.70393,38.02,3852,78.768056,0,0,0,0,0,0,0,0,0,0,0,0,0,529.1088,6.61,4323.8,18.904333,5.278155,1731.03235,29.934,100,327.16,6.704142,38.0212,78.768056,24,0,567.13,567.13
20240209,552.13,0.89,6.56531,105,1355.61,1291,318.430189,9.843833,5.338368,1780.343185,31.53,3727,50,590.63,322.45,6.518463,38.5,3832,82.031944,0,0,0,0,0,0,0,0,0,0,0,0,0,552.13,6.53,1355.61,19.687667,5.338012,1780.343185,31.5279,100,322.45,6.518463,38.5,82.031944,24,0,590.63,590.63
20240210,548.96,0.89,6.387438,113,1393.36,2314,330.67785,9.772,5.210465,1837.808288,30.55,3875,50,586.32,334.78,6.371947,37.36,3988,81.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,548.96,6.37,1393.36,19.544,5.210175,1837.808288,30.5483,100,334.78,6.371947,37.36,81.433333,24,0,586.32,586.32
20240211,549.33,1.41,6.368362,180,2214.07,2314,324.089982,9.774667,5.178352,1802.296797,30.37,3884,50,586.48,328.09,6.332697,37.14,4064,81.455556,0,0,0,0,0,0,0,0,0,0,0,0,0,549.33,6.37,2214.07,19.549333,5.178642,1802.296797,30.3717,100,328.09,6.334402,37.15,81.455556,24,0,586.48,586.48
20240212,552.71,2.45,6.478088,278,3781.98,2314,325.75598,9.840833,5.152003,1824.331217,30.42,3454,50,590.45,330.070239,6.391735,37.74,3732,82.006944,0,0,0,0,0,0,0,0,0,0,0,0,0,552.7104,6.47,3781.98,19.681667,5.152833,1824.331217,30.4249,100,330.07,6.391667,37.7396,82.006944,24,0,590.45,590.45
20240213,544.58,3,6.583784,347,4556.65,2314,323.92517,9.716167,5.208261,1790.03446,30.3626,3521,50,582.972,328.7,6.585245,38.39,3868,80.968056,0,0,0,0,0,0,0,0,0,0,0,0,0,544.58,6.57,4556.65,19.432333,5.208261,1790.03446,30.3626,100,328.7,6.585245,38.39,80.968056,24,0,582.97,582.97
20240214,540.96,3.37,6.908484,373,4878.06,2314,323.139601,9.684333,5.465873,1775.005827,31.76,3515,50,581.06,328.121456,6.901181,40.1,3888,80.702778,0,0,0,0,0,0,0,0,0,0,0,0,0,540.9624,6.92,4878.06,19.368667,5.466234,1775.005827,31.7621,100,328.12,6.900768,40.0976,80.702778,24,0,581.06,581.06
20240215,523.49,3.5,6.826418,376,5127.14,2314,323.391696,9.369667,5.396848,1719.926395,30.34,3256,50,562.18,328.55,6.882137,38.69,3632,78.080556,0,0,0,0,0,0,0,0,0,0,0,0,0,523.49,6.82,5127.14,18.739333,5.395976,1719.926395,30.3351,100,328.55,6.882137,38.69,78.080556,24,0,562.18,562.18
20240216,460.5,3.5,6.777718,367,5163.98,2314,322.90889,8.259333,5.393898,1513.89375,26.73,2801,50,495.56,328.75,7.076842,35.07,3168,68.827778,0,0,0,0,0,0,0,0,0,0,0,0,0,460.5,6.78,5163.98,16.518667,5.393494,1513.89375,26.728,100,328.75,7.074824,35.06,68.827778,24,0,495.56,495.56
20240217,469.05,3.53,6.831804,364,5167.01,2314,324.552544,8.461667,5.450069,1557.949575,27.67,2852,50,507.7,332.15,7.612763,38.65,3216,70.513889,0,0,0,0,0,0,0,0,0,0,0,0,0,469.05,6.83,5167.01,16.923333,5.45003,1557.949575,27.6698,100,332.15,7.612763,38.65,70.513889,24,0,507.7,507.7
20240218,522.09,3.76,6.936246,386,5420.8,2314,315.663797,9.359833,5.482647,1675.543437,30.79,3158,50,561.59,320.93,7.033601,39.5,3544,77.998611,0,0,0,0,0,0,0,0,0,0,0,0,0,522.09,6.93,5420.8,18.719667,5.482843,1675.543437,30.7911,100,320.93,7.033601,39.5,77.998611,24,0,561.59,561.59
20240219,545.66,3.79,7.275673,372,5209.14,3841,320.358718,9.804667,5.759162,1776.068734,33.88,3324,50,588.28,325.49,7.24315,42.61,3696,81.705556,0,0,0,0,0,0,0,0,0,0,0,0,0,545.66,7.28,5209.14,19.609333,5.759009,1776.068734,33.8791,100,325.49,7.244849,42.62,81.705556,24,0,588.28,588.28
20240220,537.08,4.23,7.324663,428,5775.01,3816,333.694805,9.664333,5.749664,1823.708848,33.34,3368,50,579.86,339.56,7.377643,42.78,3796,80.536111,0,0,0,0,0,0,0,0,0,0,0,0,0,537.08,7.33,5775.01,19.328667,5.749767,1823.708848,33.3406,100,339.56,7.377643,42.78,80.536111,24,0,579.86,579.86
20240221,536.66,4.86,7.513345,484,6468.49,3816,326.653146,9.666833,5.877485,1783.264856,34.09,3396,50,580.01,332.289505,7.474009,43.35,3880,80.556944,0,0,0,0,0,0,0,0,0,0,0,0,0,536.6592,7.51,6468.49,19.333667,5.876623,1783.264856,34.085,100,332.29,7.474147,43.3508,80.556944,24,0,580.01,580.01
20240222,532.25,4.94,7.329834,519,6739.58,3816,317.305578,9.579667,5.708271,1719.701042,32.81,3445,50,574.78,323.100243,7.399353,42.53,3964,79.830556,0,0,0,0,0,0,0,0,0,0,0,0,0,532.2504,7.34,6739.58,19.159333,5.708027,1719.701042,32.8086,100,323.1,7.399283,42.5296,79.830556,24,0,574.78,574.78
20240223,554.27,4.12,6.842785,454,6020.94,3816,321.776235,9.925667,5.38167,1813.176908,32.05,3530,50,595.54,327.12882,6.929845,41.27,3984,82.713889,0,0,0,0,0,0,0,0,0,0,0,0,0,554.268,6.84,6020.94,19.851333,5.382057,1813.176908,32.0523,100,327.13,6.930181,41.272,82.713889,24,0,595.54,595.54
