period_id,邵武_厂级_上网电量,邵武_厂级_供电煤耗,邵武_厂级_利用小时,邵武_厂级_发电厂用电率,邵武_厂级_发电标煤量,邵武_厂级_发电用厂用电量,邵武_厂级_发电耗煤量,邵武_厂级_开机率,邵武_厂级_综合厂用电率,邵武_厂级_综合厂用电量,邵武_厂级_耗煤量,邵武_厂级_负荷率,邵武_邵武#3_上网电量,邵武_邵武#3_利用小时,邵武_邵武#3_发电厂用电率,邵武_邵武#3_发电标煤量,邵武_邵武#3_发电用厂用电量,邵武_邵武#3_开机率,邵武_邵武#3_综合厂用电率,邵武_邵武#3_综合厂用电量,邵武_邵武#3_负荷率,邵武_邵武#3_运行小时,邵武_邵武#4_上网电量,邵武_邵武#4_利用小时,邵武_邵武#4_发电厂用电率,邵武_邵武#4_发电标煤量,邵武_邵武#4_发电用厂用电量,邵武_邵武#4_开机率,邵武_邵武#4_综合厂用电率,邵武_邵武#4_综合厂用电量,邵武_邵武#4_负荷率,邵武_邵武#4_运行小时,发电量3,发电量4,总发电量
20240102,2004.72,282.335195,15.939394,4.479087,5674.259812,94.24,8575,100,4.718631,99.28,8575,66.414141,1001.48,15.909091,4.411429,2834.588992,46.32,100,4.620952,48.52,66.287879,24,1003.24,15.969697,4.54649,2839.67082,47.92,100,4.815939,50.76,66.540404,24,1050,1054,2104
20240103,2142.492,281.65302,17.015152,4.37756,6049.005586,98.32,8096,100,4.608638,103.51,8096,70.896465,1069.651066,16.969697,4.296429,3019.731924,48.12,100,4.495441,50.348934,70.707071,24,1072.840934,17.060606,4.458259,3029.273661,50.2,100,4.721054,53.159066,71.085859,24,1120,1126,2246
20240104,2029.566,282.337611,16.136364,4.475117,5744.666894,95.32,8369,100,4.715023,100.43,8369,67.234848,1034.450936,16.439394,4.464516,2927.496149,48.44,100,4.6589,50.549064,68.497475,24,995.115064,15.833333,4.486124,2817.170745,46.88,100,4.773678,49.884937,65.972222,24,1085,1045,2130
20240105,2428.33,280.778615,19.257576,4.209284,6836.959265,107,9341,100,4.471676,113.67,9341,80.239899,1212.79,19.227273,4.198582,3416.308151,53.28,100,4.429472,56.21,80.113636,24,1215.54,19.287879,4.219953,3420.651114,53.72,100,4.513747,57.46,80.366162,24,1269,1273,2542
20240106,2363.19,281.00182,18.757576,4.303716,6658.169528,106.56,9500,100,4.556139,112.81,9500,78.156566,1181.32,18.727273,4.18123,3328.605364,51.68,100,4.423948,54.68,78.030303,24,1181.87,18.787879,4.425806,3329.564164,54.88,100,4.687903,58.13,78.282828,24,1236,1240,2476
20240107,1808.8,282.336789,14.393939,4.501053,5122.94457,85.52,7435,100,4.8,91.2,7435,59.974747,905.22,14.393939,4.395789,2563.311474,41.76,100,4.713684,44.78,59.974747,24,903.57,14.393939,4.606316,2559.633096,43.76,100,4.887368,46.43,59.974747,24,950,950,1900
20240108,2096.75,282.361805,16.651515,4.362147,5935.583977,95.88,8675,100,4.60646,101.25,8675,69.381313,1050.91,16.651515,4.200182,2974.810937,46.16,100,4.375796,48.09,69.381313,24,1045.84,16.651515,4.524113,2960.77304,49.72,100,4.837125,53.16,69.381313,24,1099,1099,2198
20240109,2401.71,281.191297,19.05303,4.286282,6768.836901,107.8,9471,100,4.504573,113.29,9471,79.387626,1203.63,19.045455,4.047733,3387.375909,50.88,100,4.245823,53.37,79.356061,24,1198.08,19.060606,4.524642,3381.460992,56.92,100,4.763116,59.92,79.419192,24,1257,1258,2515
20240110,2189.06,282.178062,17.378788,4.308631,6194.259956,98.84,9017,100,4.574542,104.94,9017,72.411616,1095.66,17.363636,4.139616,3093.705576,47.44,100,4.39267,50.34,72.348485,24,1093.4,17.393939,4.477352,3100.55438,51.4,100,4.756098,54.6,72.474747,24,1146,1148,2294
20240111,2261.46,281.730313,17.931818,4.212928,6387.615038,99.72,9208,100,4.458809,105.54,9208,74.715909,1143.52,18.090909,4.01005,3225.29816,47.88,100,4.227806,50.48,75.378788,24,1117.94,17.772727,4.419437,3162.316878,51.84,100,4.693947,55.06,74.05303,24,1194,1173,2367
20240112,2349.34,280.850842,18.651515,4.29082,6617.856902,105.64,9052,100,4.575955,112.66,9052,77.714646,1173.35,18.606061,4.205212,3304.740275,51.64,100,4.450326,54.65,77.525253,24,1175.99,18.69697,4.376013,3313.116627,54,100,4.700972,58.01,77.90404,24,1228,1234,2462
20240113,2259.873,281.491773,17.931818,4.265315,6378.716171,100.96,9446,100,4.525982,107.13,9446,74.715909,1130.45902,17.909091,4.118443,3189.364033,48.68,100,4.360489,51.54098,74.621212,24,1129.41398,17.954545,4.411814,3189.352138,52.28,100,4.690803,55.58602,74.810606,24,1182,1185,2367
20240114,2298.846,280.68132,18.25,4.280614,6472.174417,103.12,10676,100,4.572852,110.16,10676,76.041667,1147.882882,18.212121,4.222962,3230.486795,50.76,100,4.502256,54.117118,75.883838,24,1150.963118,18.287879,4.338028,3241.687622,52.36,100,4.642658,56.036882,76.199495,24,1202,1207,2409
20240115,2011.88,282.351494,16,4.452652,5697.740204,94.04,8782,100,4.74053,100.12,8782,66.666667,996.84,15.833333,4.363636,2823.349932,45.6,100,4.608612,48.16,65.972222,24,1015.04,16.166667,4.539831,2874.390272,48.44,100,4.869728,51.96,67.361111,24,1045,1067,2112
20240116,1988.38,282.901129,15.818182,4.561303,5637.540535,95.24,9629,100,4.771073,99.62,9629,65.909091,1000.79,15.893939,4.427073,2836.439018,46.44,100,4.595806,48.21,66.224747,24,987.59,15.742424,4.696824,2801.101517,48.8,100,4.948027,51.41,65.593434,24,1049,1039,2088
20240117,2314.15,280.951792,18.378788,4.354493,6519.092993,105.64,9216,100,4.61047,111.85,9216,76.578283,1228.23,19.469697,4.183658,3451.694769,53.76,100,4.417899,56.77,81.123737,24,1085.92,17.287879,4.546889,3067.398224,51.88,100,4.827344,55.08,72.032828,24,1285,1141,2426
20240118,2361.9,280.583572,18.75,4.334545,6643.433345,107.28,9231,100,4.569697,113.1,9231,78.125,1181.75,18.742424,4.239289,3323.31735,52.44,100,4.466451,55.25,78.093434,24,1180.15,18.757576,4.429725,3320.115995,54.84,100,4.672859,57.85,78.156566,24,1237,1238,2475
20240119,2182.092,281.357185,17.318182,4.32196,6153.844357,98.8,9148,100,4.545494,103.91,9148,72.159091,1084.0049,17.181818,4.215168,3055.701413,47.8,100,4.408739,49.9951,71.590909,24,1098.0871,17.454545,4.427083,3098.142944,51,100,4.679939,53.9129,72.727273,24,1134,1152,2286
20240120,2248.62,280.64438,17.833333,4.169924,6330.888185,98.16,8042,100,4.476211,105.37,8042,74.305556,1123.045,17.80303,4.142979,3156.9918,48.68,100,4.421702,51.955,74.179293,24,1125.575,17.863636,4.196777,3173.896385,49.48,100,4.531383,53.425,74.431818,24,1175,1179,2354
20240121,1867.04,283.602981,14.840909,4.453292,5308.367162,87.24,7314,100,4.694232,91.96,7314,61.837121,934.21,14.848485,4.473469,2655.491925,43.84,100,4.672449,45.79,61.868687,24,932.83,14.833333,4.433095,2652.875237,43.4,100,4.716037,46.17,61.805556,24,980,979,1959
20240122,2022.77,282.211392,16.075758,4.437323,5722.795495,94.16,8126,100,4.676249,99.23,8126,66.982323,1021.15,16.227273,4.414566,2887.710085,47.28,100,4.654528,49.85,67.613636,24,1001.62,15.924242,4.460514,2835.08541,46.88,100,4.698382,49.38,66.35101,24,1071,1051,2122
20240123,2235.849,281.084768,17.734848,4.264844,6299.559395,99.84,8164,100,4.49167,105.15,8164,73.895202,1191.84141,18.878788,4.179775,3350.266204,52.08,100,4.346596,54.15859,78.661616,24,1043.99759,16.590909,4.361644,2949.293192,47.76,100,4.657754,51.00241,69.128788,24,1246,1095,2341
20240124,2057.781,282.208903,16.378788,4.486586,5827.613855,97,8454,100,4.820537,104.22,8454,68.244949,1124.200915,17.863636,4.332485,3172.045302,51.08,100,4.647929,54.799085,74.431818,24,933.580085,14.893939,4.671414,2655.568553,45.92,100,5.027458,49.419915,62.058081,24,1179,983,2162
20240125,2142.49,281.877757,17.015152,4.333037,6056.650987,97.32,7882,100,4.608638,103.51,7882,70.896465,1339.25,21.19697,3.942816,3766.372775,55.16,100,4.270908,59.75,88.320707,24,803.24,12.833333,4.977568,2290.278212,42.16,100,5.16647,43.76,53.472222,24,1399,847,2246
20240126,2081.64,282.754158,16.55303,4.518078,5899.043448,98.72,8428,100,4.730435,103.36,8428,68.97096,1279.16,20.257576,4.173523,3604.67288,55.8,100,4.326103,57.84,84.406566,24,802.48,12.848485,5.061321,2294.370568,42.92,100,5.367925,45.52,53.535354,24,1337,848,2185
20240127,2001.87,282.659792,15.94697,4.598575,5676.373944,96.8,9084,100,4.899287,103.13,9084,66.445707,1200.33,19.045455,4.229117,3384.450468,53.16,100,4.508353,56.67,79.356061,24,801.54,12.848485,5.146226,2291.923476,43.64,100,5.478774,46.46,53.535354,24,1257,848,2105
20240128,1774.18,283.592369,14.159091,4.892456,5041.024518,91.44,7779,100,5.073301,94.82,7779,58.996212,980.74,15.590909,4.536443,2771.865462,46.68,100,4.68999,48.26,64.962121,24,793.44,12.727273,5.328571,2269.159056,44.76,100,5.542857,46.56,53.030303,24,1029,840,1869
20240129,1965.447,282.68795,15.681818,4.76715,5572.684095,98.68,7957,100,5.050725,104.55,7957,65.340909,1068.0067,17,4.502674,3013.274103,50.52,100,4.812237,53.9933,70.833333,24,897.4403,14.363636,5.080169,2559.409992,48.16,100,5.333302,50.5597,59.848485,24,1122,948,2070
20240130,2031.942,281.622177,16.166667,4.556701,5735.967856,97.24,10010,100,4.782568,102.06,10010,67.361111,1020.4,16.212121,4.471028,2880.99736,47.84,100,4.635514,49.6,67.550505,24,1011.54,16.121212,4.642857,2854.970496,49.4,100,4.930451,52.46,67.171717,24,1070,1064,2134
20240131,1911.59,282.363533,15.242424,4.705765,5413.812485,94.68,7092,100,4.990557,100.41,7092,63.510101,954.5,15.212121,4.673307,2703.81215,46.92,100,4.930279,49.5,63.383838,24,957.09,15.272727,4.738095,2710.000335,47.76,100,5.050595,50.91,63.636364,24,1004,1008,2012
20240201,1475.63,286.375416,11.848485,5.217391,4245.229172,81.6,6306,96.875,5.650256,88.37,6306,50.961225,879.42,14.075758,4.912809,2500.718712,45.64,100,5.336921,49.58,58.64899,24,596.21,9.621212,5.662992,1744.51046,35.96,93.75,6.108661,38.79,42.760943,22.5,929,635,1564
20240202,738.738,284.738186,6.05303,5.161452,2157.632077,41.24,3327,50,7.541927,60.26,3327,50.441919,738.738,12.106061,5.161452,2157.632077,41.24,100,7.542178,60.262,50.441919,24,0,0,0,0,0,0,0,0,0,0,799,0,799
