date,可门_厂级_上网电量,可门_厂级_供热厂用电量,可门_厂级_供热用厂用电率,可门_厂级_供热耗煤量,可门_厂级_供热量,可门_厂级_供电煤耗,可门_厂级_利用小时,可门_厂级_发电厂用电率,可门_厂级_发电标煤量,可门_厂级_发电用厂用电量,可门_厂级_发电耗煤量,可门_厂级_开机率,可门_厂级_综合供电煤耗,可门_厂级_综合厂用电率,可门_厂级_综合厂用电量,可门_厂级_耗煤量,可门_厂级_负荷率,可门_可门#1_上网电量,可门_可门#1_供热用厂用电率,可门_可门#1_供热量,可门_可门#1_利用小时,可门_可门#1_发电厂用电率,可门_可门#1_发电标煤量,可门_可门#1_发电用厂用电量,可门_可门#1_开机率,可门_可门#1_综合供电煤耗,可门_可门#1_综合厂用电率,可门_可门#1_综合厂用电量,可门_可门#1_负荷率,可门_可门#1_运行小时,可门_可门#2_上网电量,可门_可门#2_供热用厂用电率,可门_可门#2_供热量,可门_可门#2_利用小时,可门_可门#2_发电厂用电率,可门_可门#2_发电标煤量,可门_可门#2_发电用厂用电量,可门_可门#2_开机率,可门_可门#2_综合供电煤耗,可门_可门#2_综合厂用电率,可门_可门#2_综合厂用电量,可门_可门#2_负荷率,可门_可门#2_运行小时,可门_可门#3_上网电量,可门_可门#3_供热用厂用电率,可门_可门#3_供热量,可门_可门#3_利用小时,可门_可门#3_发电厂用电率,可门_可门#3_发电标煤量,可门_可门#3_发电用厂用电量,可门_可门#3_开机率,可门_可门#3_综合供电煤耗,可门_可门#3_综合厂用电率,可门_可门#3_综合厂用电量,可门_可门#3_负荷率,可门_可门#3_运行小时,可门_可门#4_上网电量,可门_可门#4_供热用厂用电率,可门_可门#4_供热量,可门_可门#4_利用小时,可门_可门#4_发电厂用电率,可门_可门#4_发电标煤量,可门_可门#4_发电用厂用电量,可门_可门#4_开机率,可门_可门#4_综合供电煤耗,可门_可门#4_综合厂用电率,可门_可门#4_综合厂用电量,可门_可门#4_负荷率,可门_可门#4_运行小时,可门_可门#5_上网电量,可门_可门#5_供热用厂用电率,可门_可门#5_供热量,可门_可门#5_利用小时,可门_可门#5_发电厂用电率,可门_可门#5_发电标煤量,可门_可门#5_发电用厂用电量,可门_可门#5_开机率,可门_可门#5_综合供电煤耗,可门_可门#5_综合厂用电率,可门_可门#5_综合厂用电量,可门_可门#5_负荷率,可门_可门#5_运行小时,可门_可门#6_上网电量,可门_可门#6_供热用厂用电率,可门_可门#6_供热量,可门_可门#6_利用小时,可门_可门#6_发电厂用电率,可门_可门#6_发电标煤量,可门_可门#6_发电用厂用电量,可门_可门#6_开机率,可门_可门#6_综合供电煤耗,可门_可门#6_综合厂用电率,可门_可门#6_综合厂用电量,可门_可门#6_负荷率,可门_可门#6_运行小时,tempMax,tempMin,textDay,textNight,windScaleDay,可门_可门#1_发电量,可门_可门#2_发电量,可门_可门#3_发电量,可门_可门#4_发电量,可门_可门#5_发电量,可门_可门#5_发电量.1,可门_厂级_发电量
20220101.0,3429.75,3.6,5.599627,467.0,6429.0,298.886798,15.075,4.282477,10350.62914,154.94,18910.0,100.0,301.78961,5.203151,188.25,19377.0,62.8125,753.55,0.0,0.0,13.316667,4.680851,2294.936525,37.4,100.0,304.55,5.68836,45.45,55.486111,24.0,758.45,6.43,498.0,13.383333,4.566625,2306.977365,36.67,100.0,304.17,5.547945,44.55,55.763889,24.0,1096.32,5.37,4684.0,19.15,3.773716,3274.598208,43.36,100.0,298.69,4.584856,52.68,79.791667,24.0,821.42,6.14,1247.0,14.45,4.326413,2474.11704,37.51,100.0,301.2,5.257209,45.58,60.208333,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,9.0,1.0,1.0,2.0,799.0,803.0,1149.0,867.0,,,3618.0
20220102.0,3553.05,3.77,5.790201,448.0,6511.0,298.959379,15.6125,4.235121,10727.58928,158.69,18861.0,100.0,301.926212,5.176141,193.95,19309.0,65.052083,810.53,0.0,0.0,14.3,4.526807,2463.038564,38.84,100.0,303.88,5.532634,47.47,59.583333,24.0,1067.7,5.67,4078.0,18.716667,4.029386,3234.91746,45.25,100.0,302.98,4.92431,55.3,77.986111,24.0,813.74,6.02,770.0,14.3,4.221445,2436.663056,36.22,100.0,299.44,5.158508,44.26,59.583333,24.0,861.08,6.0,1663.0,15.133333,4.227974,2592.970204,38.39,100.0,301.13,5.167401,46.92,63.055556,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,8.0,1.0,1.0,2.0,858.0,1123.0,858.0,908.0,,,3747.0
20220103.0,4031.55,3.45,5.821802,419.0,5926.0,298.964123,17.6875,4.190813,12159.16985,177.9,21632.0,100.0,301.600373,5.028269,213.45,22051.0,73.697917,963.37,0.0,0.0,16.95,4.394297,2924.502309,44.69,100.0,303.57,5.273353,53.63,70.625,24.0,1089.72,5.76,3030.0,19.1,4.092496,3300.979824,46.9,100.0,302.92,4.910995,56.28,79.583333,24.0,988.23,5.8,1587.0,17.316667,4.072185,2954.214762,42.31,100.0,298.94,4.886429,50.77,72.152778,24.0,990.22,5.98,1309.0,17.383333,4.217641,2979.472958,43.99,100.0,300.89,5.060403,52.78,72.430556,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,10.0,0.0,0.0,2.0,1017.0,1146.0,1039.0,1043.0,,,4245.0
20220104.0,3894.6,3.61,6.246755,391.0,5779.0,299.72126,17.0875,4.506218,11737.68397,184.8,20044.0,100.0,301.383556,5.032919,206.4,20435.0,71.197917,944.75,0.0,0.0,16.616667,4.692076,2869.3947,46.78,100.0,303.72,5.240722,52.25,69.236111,24.0,1056.83,6.14,3326.0,18.516667,4.365437,3201.877851,48.5,100.0,302.97,4.875788,54.17,77.152778,24.0,941.1,6.32,1537.0,16.5,4.422222,2805.70143,43.78,100.0,298.13,4.939394,48.9,68.75,24.0,951.92,6.48,916.0,16.716667,4.559322,2860.709984,45.73,100.0,300.52,5.092722,51.08,69.652778,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,11.0,1.0,1.0,1.0,997.0,1111.0,990.0,1003.0,,,4101.0
20220105.0,4438.35,3.82,6.018591,439.0,6347.0,299.765423,19.420833,4.311736,13369.62778,200.97,22860.0,100.0,301.229686,4.776872,222.65,23299.0,80.920139,1115.47,0.0,0.0,19.533333,4.353242,3385.786091,51.02,100.0,303.53,4.823379,56.53,81.388889,24.0,1161.27,6.2,1379.0,20.35,4.415233,3519.925497,53.91,100.0,303.11,4.891892,59.73,84.791667,24.0,1083.02,5.89,3645.0,18.916667,4.133921,3225.341862,46.92,100.0,297.81,4.579736,51.98,78.819444,24.0,1078.59,6.14,1323.0,18.883333,4.33451,3238.574334,49.11,100.0,300.26,4.802295,54.41,78.680556,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,13.0,0.0,0.0,1.0,1172.0,1221.0,1135.0,1133.0,,,4661.0
20220106.0,3509.55,5.1,6.374203,556.0,8001.0,299.570331,15.416667,4.572973,10577.22924,169.2,18248.0,100.0,301.384201,5.147297,190.45,18804.0,64.236111,798.51,0.0,0.0,14.066667,4.7891,2427.550251,40.42,100.0,304.01,5.38981,45.49,58.611111,24.0,928.98,6.64,2494.0,16.35,4.710499,2816.853156,46.21,100.0,303.22,5.302752,52.02,68.125,24.0,934.09,6.06,3039.0,16.35,4.247706,2785.269562,41.67,100.0,298.18,4.781855,46.91,68.125,24.0,847.97,6.5,2468.0,14.9,4.573826,2547.556271,40.89,100.0,300.43,5.14877,46.03,62.083333,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,3.0,3.0,2.0,844.0,981.0,981.0,894.0,,,3700.0
20220107.0,3574.35,4.71,6.339166,511.0,7430.0,299.627072,15.695833,4.550571,10773.33108,171.42,18795.0,100.0,301.40672,5.114149,192.65,19306.0,65.399306,794.25,0.0,0.0,14.0,4.846429,2412.2961,40.71,100.0,303.72,5.446429,45.75,58.333333,24.0,1038.32,6.38,4104.0,18.233333,4.52925,3144.759784,49.55,100.0,302.87,5.08958,55.68,75.972222,24.0,808.12,6.56,1508.0,14.2,4.583333,2410.783584,39.05,100.0,298.32,5.150235,43.88,59.166667,24.0,933.67,6.08,1818.0,16.35,4.293578,2805.491616,42.12,100.0,300.48,4.824669,47.33,68.125,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,10.0,3.0,3.0,1.0,840.0,1094.0,852.0,981.0,,,3767.0
20220108.0,3573.3,4.69,6.355014,499.0,7380.0,299.624795,15.691667,4.545406,10770.97205,171.18,19032.0,100.0,301.429269,5.116835,192.7,19531.0,65.381944,822.7,0.0,0.0,14.483333,4.733026,2499.93849,41.13,100.0,303.87,5.327963,46.3,60.347222,24.0,1037.34,6.38,5012.0,18.216667,4.52333,3140.54685,49.44,100.0,302.75,5.092406,55.66,75.902778,24.0,825.08,6.57,793.0,14.5,4.586207,2462.03872,39.9,100.0,298.4,5.163218,44.92,60.416667,24.0,888.18,6.18,1575.0,15.566667,4.357602,2668.447992,40.7,100.0,300.44,4.905782,45.82,64.861111,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,9.0,1.0,1.0,2.0,869.0,1093.0,870.0,934.0,,,3766.0
20220109.0,3917.4,5.21,6.30827,566.0,8259.0,299.554624,17.191667,4.517693,11801.25398,186.4,20851.0,100.0,301.252208,5.055744,208.6,21417.0,71.631944,920.43,0.0,0.0,16.183333,4.653965,2795.437953,45.19,100.0,303.71,5.208033,50.57,67.430556,24.0,1056.22,6.32,5624.0,18.533333,4.482014,3195.487988,49.84,100.0,302.54,5.016187,55.78,77.222222,24.0,953.99,6.49,518.0,16.75,4.535323,2847.087756,45.58,100.0,298.44,5.075622,51.01,69.791667,24.0,986.76,6.26,2117.0,17.3,4.411368,2963.24028,45.79,100.0,300.3,4.936416,51.24,72.083333,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,10.0,3.0,3.0,1.0,971.0,1112.0,1005.0,1038.0,,,4126.0
20220110.0,4208.4,4.31,6.129124,484.0,7032.0,299.723038,18.425,4.355495,12676.48618,192.6,22165.0,100.0,301.218662,4.830393,213.6,22649.0,76.770833,1005.39,0.0,0.0,17.633333,4.483932,3052.665657,47.44,100.0,303.63,4.97259,52.61,73.472222,24.0,1133.41,6.24,4388.0,19.866667,4.432047,3430.605388,52.83,100.0,302.68,4.915268,58.59,82.777778,24.0,1002.73,0.0,0.0,17.55,4.304843,2991.644955,45.33,100.0,298.35,4.773979,50.27,73.125,24.0,1066.87,5.95,2644.0,18.65,4.200179,3201.570183,47.0,100.0,300.09,4.658624,52.13,77.708333,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,8.0,3.0,3.0,1.0,1058.0,1192.0,1053.0,1119.0,,,4422.0
