date,可门_厂级_上网电量,可门_厂级_供热厂用电量,可门_厂级_供热用厂用电率,可门_厂级_供热耗煤量,可门_厂级_供热量,可门_厂级_供电煤耗,可门_厂级_利用小时,可门_厂级_发电厂用电率,可门_厂级_发电标煤量,可门_厂级_发电用厂用电量,可门_厂级_发电耗煤量,可门_厂级_开机率,可门_厂级_综合供电煤耗,可门_厂级_综合厂用电率,可门_厂级_综合厂用电量,可门_厂级_耗煤量,可门_厂级_负荷率,可门_可门#5_上网电量,可门_可门#5_利用小时,可门_可门#5_发电厂用电率,可门_可门#5_发电标煤量,可门_可门#5_发电用厂用电量,可门_可门#5_开机率,可门_可门#5_综合供电煤耗,可门_可门#5_综合厂用电率,可门_可门#5_综合厂用电量,可门_可门#5_负荷率,可门_可门#5_运行小时,可门_可门#5_发电量
20241202.0,5484.95,6.93,7.331782,647.0,9452.0,298.966252,17.056616,4.865802,16494.17559,282.18,25211.0,82.352941,300.716973,5.419667,314.3,25858.0,86.298354,1712.0,17.542494,2.395897,5478.4,42.03,100.0,320.0,2.408403,42.2494,73.093725,24.0,1754.2494
20241202.0,5484.95,6.93,7.331782,647.0,9452.0,298.966252,17.056616,4.865802,16494.17559,282.18,25211.0,82.352941,300.716973,5.419667,314.3,25858.0,86.298354,1712.0,17.542494,2.395897,5478.4,42.03,100.0,320.0,2.408403,42.2494,73.093725,24.0,1754.2494
20241203.0,4783.5,5.24,7.386524,511.0,7094.0,286.100957,14.898404,4.242855,13877.43336,214.92,21844.0,82.352941,290.11045,5.566273,281.9572,22355.0,75.378827,1546.5,15.844572,2.480976,4418.6598,39.31,100.0,285.72,2.395596,37.9572,66.01905,24.0,1584.4572
20241203.0,4783.5,5.24,7.386524,511.0,7094.0,286.100957,14.898404,4.242855,13877.43336,214.92,21844.0,82.352941,290.11045,5.566273,281.9572,22355.0,75.378827,1546.5,15.844572,2.480976,4418.6598,39.31,100.0,285.72,2.395596,37.9572,66.01905,24.0,1584.4572
20241204.0,3162.3,4.92,6.871508,499.0,7160.0,285.936553,11.634411,3.979379,14055.01338,203.71,21413.0,63.636364,444.455409,5.124688,262.34,21912.0,76.17769,1694.5,17.331408,2.243326,4837.1197,38.88,100.0,285.46,2.229525,38.6408,72.2142,24.0,1733.1408
20241204.0,3162.3,4.92,6.871508,499.0,7160.0,285.936553,11.634411,3.979379,14055.01338,203.71,21413.0,63.636364,444.455409,5.124688,262.34,21912.0,76.17769,1694.5,17.331408,2.243326,4837.1197,38.88,100.0,285.46,2.229525,38.6408,72.2142,24.0,1733.1408
20241205.0,5229.8,5.02,6.668438,525.0,7528.0,285.306495,12.476575,3.806224,15066.30278,208.95,20074.0,63.636364,288.08564,4.734199,259.893,20599.0,81.69186,1858.25,18.99693,2.144557,5274.82845,40.74,100.0,283.86,2.181563,41.443,79.153875,24.0,1899.693
20241205.0,5229.8,5.02,6.668438,525.0,7528.0,285.306495,12.476575,3.806224,15066.30278,208.95,20074.0,63.636364,288.08564,4.734199,259.893,20599.0,81.69186,1858.25,18.99693,2.144557,5274.82845,40.74,100.0,283.86,2.181563,41.443,79.153875,24.0,1899.693
20241206.0,5301.05,5.24,6.989462,530.0,7497.0,285.193575,12.65117,3.871543,15260.72248,215.51,23315.0,63.636364,287.881127,4.768962,265.465,23845.0,82.835045,1925.0,19.69515,2.14469,5463.92,42.24,100.0,283.84,2.260201,44.515,82.063125,24.0,1969.515
20241206.0,5301.05,5.24,6.989462,530.0,7497.0,285.193575,12.65117,3.871543,15260.72248,215.51,23315.0,63.636364,287.881127,4.768962,265.465,23845.0,82.835045,1925.0,19.69515,2.14469,5463.92,42.24,100.0,283.84,2.260201,44.515,82.063125,24.0,1969.515
20241207.0,4987.5,5.36,7.088072,539.0,7562.0,285.870232,11.90681,3.918308,14389.89619,205.28,22790.0,63.636364,288.519222,4.800538,251.5,23329.0,77.961253,1709.25,17.479962,2.275177,4875.12285,39.77,100.0,285.22,2.216607,38.7462,72.833175,24.0,1747.9962
20241207.0,4987.5,5.36,7.088072,539.0,7562.0,285.870232,11.90681,3.918308,14389.89619,205.28,22790.0,63.636364,288.519222,4.800538,251.5,23329.0,77.961253,1709.25,17.479962,2.275177,4875.12285,39.77,100.0,285.22,2.216607,38.7462,72.833175,24.0,1747.9962
20241208.0,4731.9,5.22,6.913907,533.0,7550.0,286.376602,11.317115,4.070063,13679.8105,202.67,21453.0,63.636364,289.097625,4.972959,247.63,21986.0,74.100155,1572.75,16.085304,2.537098,4497.278625,40.81,100.0,285.95,2.224416,35.7804,67.0221,24.0,1608.5304
20241208.0,4731.9,5.22,6.913907,533.0,7550.0,286.376602,11.317115,4.070063,13679.8105,202.67,21453.0,63.636364,289.097625,4.972959,247.63,21986.0,74.100155,1572.75,16.085304,2.537098,4497.278625,40.81,100.0,285.95,2.224416,35.7804,67.0221,24.0,1608.5304
20241209.0,5185.05,5.14,6.82875,536.0,7527.0,284.1783,12.375352,3.722491,14897.93254,202.695406,23537.0,63.636364,287.324761,4.776815,260.105,24073.0,81.029092,1800.75,18.43155,1.991151,5138.6202,36.7,100.0,285.36,2.300675,42.405,76.798125,24.0,1843.155
20241209.0,5185.05,5.14,6.82875,536.0,7527.0,284.1783,12.375352,3.722491,14897.93254,202.695406,23537.0,63.636364,287.324761,4.776815,260.105,24073.0,81.029092,1800.75,18.43155,1.991151,5138.6202,36.7,100.0,285.36,2.300675,42.405,76.798125,24.0,1843.155
20241210.0,5492.35,5.19,6.918155,526.0,7502.0,283.647003,13.093805,3.718107,15734.08041,214.210326,23623.0,63.636364,286.472647,4.66779,268.9242,24149.0,85.733247,2043.25,20.912742,1.976785,5800.173775,41.34,100.0,283.87,2.296409,48.0242,87.136425,24.0,2091.2742
20241210.0,5492.35,5.19,6.918155,526.0,7502.0,283.647003,13.093805,3.718107,15734.08041,214.210326,23623.0,63.636364,286.472647,4.66779,268.9242,24149.0,85.733247,2043.25,20.912742,1.976785,5800.173775,41.34,100.0,283.87,2.296409,48.0242,87.136425,24.0,2091.2742
20241211.0,5423.65,5.17,6.774997,543.0,7631.0,284.03161,12.913556,3.678833,15544.86426,209.03,25428.0,63.636364,286.6126,3.785662,215.1,25971.0,84.553045,1822.75,18.659646,2.007541,5196.113425,37.46,100.0,285.07,2.315939,43.2146,77.748525,24.0,1865.9646
