date,邵武_厂级_上网电量,邵武_厂级_供电煤耗,邵武_厂级_利用小时,邵武_厂级_发电厂用电率,邵武_厂级_发电标煤量,邵武_厂级_发电用厂用电量,邵武_厂级_发电耗煤量,邵武_厂级_开机率,邵武_厂级_综合厂用电率,邵武_厂级_综合厂用电量,邵武_厂级_耗煤量,邵武_厂级_负荷率,邵武_邵武#4_上网电量,邵武_邵武#4_利用小时,邵武_邵武#4_发电厂用电率,邵武_邵武#4_发电标煤量,邵武_邵武#4_发电用厂用电量,邵武_邵武#4_开机率,邵武_邵武#4_综合厂用电率,邵武_邵武#4_综合厂用电量,邵武_邵武#4_负荷率,邵武_邵武#4_运行小时,邵武_邵武#4_发电量
20220101.0,1735.95,282.509456,13.863636,4.91694,4915.721041,89.98,7776.0,100.0,5.139891,94.06,7776.0,57.765152,869.59,13.924242,5.149075,2455.200406,47.32,100.0,5.376496,49.41,58.017677,24.0,919.0
20220102.0,1839.09,282.133557,14.666667,4.737603,5203.332761,91.72,8753.0,100.0,5.005682,96.91,8753.0,61.111111,920.26,14.712121,4.930999,2600.746786,47.88,100.0,5.225541,50.74,61.300505,24.0,971.0
20220103.0,2089.41,282.109395,16.606061,4.467153,5907.596413,97.92,9051.0,100.0,4.680201,102.59,9051.0,69.191919,1045.72,16.651515,4.564149,2955.936724,50.16,100.0,4.848044,53.28,69.381313,24.0,1099.0
20220104.0,2119.25,281.799121,16.878788,4.579892,5990.936598,102.04,9107.0,100.0,4.881508,108.76,9107.0,70.328283,1059.0,16.909091,4.749104,2993.2635,53.0,100.0,5.107527,57.0,70.454545,24.0,1116.0
20220105.0,2304.6,281.947417,18.325758,4.482844,6514.56424,108.44,10270.0,100.0,4.853245,117.4,10270.0,76.357323,1146.22,18.257576,4.614108,3247.585126,55.6,100.0,4.878008,58.78,76.073232,24.0,1205.0
20220106.0,1968.36,282.850016,15.704545,4.789194,5582.667335,99.28,8781.0,100.0,5.047274,104.63,8781.0,65.435606,920.97,14.742424,5.048304,2620.620135,49.12,100.0,5.347379,52.03,61.426768,24.0,973.0
20220107.0,1916.87,282.914389,15.333333,4.982213,5440.896358,100.84,8973.0,100.0,5.292984,107.13,8973.0,63.888889,878.34,14.106061,5.314715,2500.19481,49.48,100.0,5.656284,52.66,58.775253,24.0,931.0
20220108.0,1963.2,283.0284,15.666667,4.858801,5568.640383,100.48,8329.0,100.0,5.067698,104.8,8329.0,65.277778,931.71,14.893939,4.996948,2649.317385,49.12,100.0,5.217701,51.29,62.058081,24.0,983.0
20220109.0,2058.1506,282.46396,16.439394,4.897696,5829.265243,106.28,9107.0,100.0,5.154378,111.85,9107.0,68.497475,1009.7968,16.166667,4.997188,2860.956294,53.32,100.0,5.361125,57.2032,67.361111,24.0,1067.0
20220110.0,2124.848,282.252263,16.954545,4.806077,6013.21511,107.56,8558.0,100.0,5.055853,113.15,8558.0,70.643939,1063.7992,17.0,4.901961,3011.083636,55.0,100.0,5.187237,58.2008,70.833333,24.0,1122.0
20220111.0,2039.96,282.111738,16.30303,4.895911,5773.81168,105.36,10005.0,100.0,5.206784,112.05,10005.0,67.929293,993.82,15.924242,5.137964,2822.051272,54.0,100.0,5.440533,57.18,66.35101,24.0,1051.0
20220112.0,2198.84,281.925502,17.507576,4.661186,6211.608203,107.72,9520.0,100.0,4.85331,112.16,9520.0,72.948232,1078.13,17.19697,4.814097,3040.110974,54.64,100.0,5.010573,56.87,71.65404,24.0,1135.0
20220113.0,2265.55,281.289619,18.037879,4.556069,6392.36285,108.48,9658.0,100.0,4.848803,115.45,9658.0,75.157828,1132.28,18.075758,4.720872,3194.501564,56.32,100.0,5.08969,60.72,75.315657,24.0,1193.0
20220114.0,2068.78,282.782128,16.507576,4.860945,5862.29973,105.92,8843.0,100.0,5.058284,110.22,8843.0,68.781566,1035.93,16.545455,4.923077,2934.78969,53.76,100.0,5.134615,56.07,68.939394,24.0,1092.0
20220115.0,2284.88,282.518512,18.204545,4.587599,6477.471432,110.24,9155.0,100.0,4.915522,118.12,9155.0,75.852273,1144.64,18.242424,4.578073,3261.880608,55.12,100.0,4.930233,59.36,76.010101,24.0,1204.0
