fxDate,tempMax,tempMin,textDay,textNight,windDirDay,windScaleDay
20240101,19,9,多云,阴,东北风,1
20240102,19,9,小雨,小雨,西北风,1
20240103,13,4,多云,晴,西北风,2
20240104,19,6,多云,晴,东北风,1
20240105,23,9,晴,多云,西北风,1
20240106,20,8,阴,中雨,西北风,1
20240107,14,4,晴,晴,东北风,1
20240108,12,11,小雨,小雨,东风,1
20240109,13,8,阴,阴,西北风,1
20240110,18,5,阴,晴,西北风,1
20240111,16,6,雾,晴,北风,1
20240112,19,6,阴,晴,北风,1
20240113,21,5,雾,晴,东北风,1
20240114,22,7,阴,晴,北风,1
20240115,22,7,雾,晴,东北风,1
20240116,18,6,雾,晴,东风,1
20240117,21,10,雾,多云,东北风,1
20240118,26,11,雾,晴,西风,0
20240119,27,12,雾,多云,西南风,1
20240120,18,9,阴,阴,西北风,2
20240121,13,5,阴,小雨,西北风,1
20240122,7,0,小雨,雨夹雪,西北风,2
20240123,2,-3,雨夹雪,晴,西北风,2
20240124,4,2,阴,阴,西北风,1
20240125,8,1,阴,晴,西北风,1
20240126,10,7,阴,阴,西北风,1
20240127,8,5,小雨,多云,西北风,1
20240128,13,7,阴,小雨,北风,1
20240129,12,11,阴,中雨,东风,1
20240130,16,11,雾,多云,西南风,1
20240131,22,14,雾,阴,南风,1
20240201,25,15,雾,小雨,西南风,1
20240202,24,15,雾,阴,西北风,1
20240203,28,13,雾,阴,西北风,1
20240204,20,8,小雨,阴,西风,1
20240205,12,9,阴,阴,北风,1
20240206,13,8,阴,中雨,西北风,1
20240207,8,6,中雨,小雨,西北风,1
20240208,8,6,阴,小雨,西北风,1
20240209,13,3,雾,晴,西北风,1
20240210,16,4,雾,晴,北风,1
20240211,19,4,雾,晴,北风,1
20240212,22,5,阴,多云,东南风,1
20240213,24,8,阴,晴,东南风,1
20240214,27,12,阴,多云,南风,1
20240215,25,11,雾,小雨,西北风,2
20240216,15,11,阴,阴,西北风,1
20240217,27,12,多云,多云,东南风,1
20240218,29,16,多云,阴,南风,2
20240219,29,15,阴,多云,南风,1
20240220,30,18,阴,多云,东南风,2
20240221,32,14,多云,阴,南风,2
20240222,16,10,小雨,小雨,西北风,2
20240223,9,8,阴,小雨,西北风,2
20240224,9,6,阴,小雨,西北风,1
20240225,7,6,小雨,小雨,西北风,1
20240226,8,6,小雨,小雨,西北风,1
20240227,10,4,阴,小雨,北风,1
20240228,14,8,雾,阴,西北风,1
20240229,10,3,大雨,小雨,西北风,2
20240301,7,4,小雨,小雨,西北风,1
20240302,11,3,阴,晴,西北风,1
20240303,15,11,雾,小雨,西北风,1
20240304,19,16,阴,阴,东南风,2
20240305,25,12,阴,小雨,西南风,2
20240306,15,11,阴,小雨,西北风,2
20240307,16,6,雾,晴,西北风,1
20240308,20,9,多云,晴,东北风,2
20240309,11,8,小雨,多云,东北风,1
20240310,18,12,小雨,中雨,东南风,1
20240311,13,8,中雨,多云,西北风,1
20240312,23,10,多云,多云,北风,1
20240313,15,10,阴,阴,东南风,1
20240314,14,10,阵雨,小雨,东北风,1
20240315,16,14,雾,小雨,东风,1
20240316,18,16,小雨,阴,西南风,1
20240317,29,16,雾,小雨,西北风,1
20240318,17,11,雾,小雨,东南风,1
20240319,20,9,阴,多云,西北风,2
20240320,22,9,雾,晴,东北风,2
20240321,16,11,阴,阴,东南风,1
20240322,22,15,阴,阴,南风,2
20240323,29,18,阴,多云,南风,2
20240324,34,19,阴,阴,南风,2
20240325,32,17,阴,阴,西南风,2
20240326,27,16,阴,阴,西北风,2
20240327,28,17,阴,小雨,南风,1
20240328,25,15,小雨,阴,西风,2
20240329,30,16,多云,小雨,西北风,1
20240330,31,19,阴,大雨,西南风,1
20240331,24,17,大雨,阴,西南风,2
20240401,26,19,中雨,多云,东南风,2
20240402,30,21,雾,多云,南风,3
20240403,31,20,小雨,大雨,西南风,2
20240404,20,18,暴雨,大雨,西风,0
20240405,23,18,中雨,小雨,南风,1
20240406,21,18,小雨,中雨,东南风,1
20240407,20,18,小雨,中雨,西南风,1
20240408,19,15,小雨,阴,西北风,1
20240409,19,14,阴,阴,东北风,1
20240410,26,17,阴,阴,东北风,1
20240411,29,20,阴,阴,西风,1
20240412,26,19,小雨,阴,西风,1
20240413,29,20,阴,多云,西南风,1
20240414,31,21,多云,阴,西南风,2
20240415,34,21,多云,小雨,西南风,1
20240416,31,21,阴,阴,西南风,1
20240417,28,19,大雨,阴,西南风,2
20240418,30,19,阴,小雨,东北风,1
20240419,26,21,中雨,中雨,南风,2
20240420,27,20,小雨,中雨,南风,1
20240421,26,19,阴,小雨,南风,1
20240422,27,19,阴,多云,西南风,1
20240423,28,19,小雨,多云,西北风,1
20240424,23,18,阴,小雨,北风,1
20240425,20,19,中雨,中雨,东南风,1
20240426,30,20,阴,小雨,西南风,1
20240427,33,21,阴,大雨,东南风,1
20240428,30,21,阴,中雨,南风,2
20240429,32,21,多云,中雨,西南风,2
20240430,23,19,大雨,小雨,西南风,2
20240501,22,18,小雨,中雨,西北风,2
20240502,21,19,阴,小雨,北风,1
20240503,28,20,阴,小雨,东南风,1
20240504,23,20,小雨,大雨,东南风,2
20240505,31,19,阴,多云,西南风,1
20240506,32,19,多云,阴,西北风,2
20240507,27,19,阴,多云,南风,1
20240508,32,18,阴,阴,东北风,1
20240509,25,18,阴,多云,东南风,1
20240510,29,20,阴,阴,南风,1
20240511,31,22,阴,中雨,南风,1
20240512,25,20,大雨,小雨,西风,1
20240513,26,16,阴,晴,北风,2
20240514,29,16,阴,多云,北风,1
20240515,30,16,多云,阴,东北风,1
20240516,29,17,阴,晴,东北风,1
20240517,31,19,阴,阴,西南风,1
20240518,32,19,阴,阴,东南风,1
20240519,28,20,阴,中雨,东南风,1
20240520,23,20,小雨,小雨,东北风,1
20240521,22,20,小雨,中雨,东北风,1
20240522,22,21,小雨,中雨,东北风,1
20240523,25,21,小雨,小雨,东南风,1
20240524,32,22,阴,阴,南风,1
20240525,33,22,阴,多云,南风,1
20240526,34,23,阴,小雨,南风,1
20240527,27,22,中雨,阴,南风,1
20240528,31,19,阴,多云,北风,1
20240529,31,20,阴,阴,东风,1
20240530,30,23,阴,多云,东南风,2
20240531,33,24,阴,小雨,南风,1
20240601,31,21,大雨,中雨,东南风,1
20240602,22,20,小雨,小雨,东南风,1
20240603,22,19,小雨,阴,东北风,1
20240604,21,17,小雨,小雨,东南风,1
20240605,21,18,小雨,小雨,东北风,1
20240606,25,21,阴,小雨,北风,1
20240607,30,21,阴,小雨,南风,1
20240608,29,23,小雨,小雨,西北风,1
20240609,31,24,大雨,小雨,西南风,1
20240610,28,23,小雨,中雨,西南风,1
20240611,31,24,小雨,小雨,西南风,1
20240612,31,24,大雨,小雨,西南风,1
20240613,25,24,暴雨,中雨,西南风,1
20240614,31,24,小雨,小雨,南风,2
20240615,30,24,阴,中雨,东南风,1
20240616,27,24,大雨,中雨,东南风,1
20240617,27,24,小雨,中雨,西南风,1
20240618,30,24,雾,小雨,东南风,1
20240619,35,25,阴,阴,南风,1
20240620,34,25,阴,阴,西南风,2
20240621,35,25,阴,阴,西南风,1
20240622,36,25,阴,阴,西南风,2
20240623,36,25,阴,多云,南风,2
20240624,33,24,小雨,多云,南风,2
20240625,34,24,中雨,小雨,南风,1
20240626,33,23,雾,多云,西南风,1
20240627,33,23,小雨,多云,南风,1
20240628,35,25,雾,多云,南风,2
20240629,33,25,阴,多云,南风,2
20240630,32,25,阴,多云,南风,2
20240701,35,25,中雨,多云,南风,2
20240702,34,24,阴,多云,南风,2
20240703,36,24,阴,晴,东南风,2
20240704,36,25,多云,晴,南风,1
20240705,37,24,多云,晴,东南风,2
20240706,36,25,阴,多云,南风,2
20240707,37,25,阴,多云,南风,2
20240708,36,24,多云,多云,南风,1
20240709,36,25,阴,多云,南风,1
20240710,36,25,阴,多云,南风,1
20240711,37,25,阴,多云,南风,1
20240712,37,25,阴,阴,西南风,1
20240713,37,25,阴,多云,西南风,1
20240714,38,25,阴,多云,东南风,1
20240715,38,25,阴,多云,东南风,1
20240716,37,24,雾,多云,东南风,1
20240717,38,24,阴,多云,东南风,2
20240718,37,24,阴,多云,南风,1
20240719,38,24,阴,多云,东南风,2
20240720,38,25,阴,晴,南风,2
20240721,38,25,中雨,晴,东南风,1
20240722,38,24,多云,多云,东北风,1
20240723,37,25,阴,多云,北风,1
20240724,38,26,阴,小雨,东北风,2
20240725,31,24,大雨,暴雨,西北风,2
