fxDate,tempMax,tempMin,textDay,textNight,windDirDay,windScaleDay
20240101,18,6,多云,阴,东北风,1
20240102,15,6,小雨,阴,东南风,1
20240103,15,2,晴,晴,西北风,2
20240104,18,5,晴,晴,东南风,1
20240105,20,7,多云,小雨,东风,1
20240106,15,6,中雨,中雨,西北风,2
20240107,11,1,晴,晴,东南风,1
20240108,9,7,小雨,小雨,东南风,1
20240109,15,6,多云,多云,西北风,1
20240110,16,2,多云,晴,西北风,2
20240111,16,3,多云,晴,东南风,1
20240112,18,3,多云,晴,东风,1
20240113,20,5,多云,晴,东南风,1
20240114,15,7,多云,多云,东南风,1
20240115,21,6,多云,晴,西北风,1
20240116,15,6,多云,晴,东南风,2
20240117,18,8,多云,晴,东南风,1
20240118,20,11,多云,小雨,东南风,1
20240119,23,9,多云,中雨,西北风,1
20240120,7,5,小雨,阴,西北风,2
20240121,7,0,雾,小雨,西北风,2
20240122,2,-4,雨夹雪,中雪,西北风,2
20240123,0,-5,雨夹雪,多云,西北风,2
20240124,3,-1,多云,多云,西北风,1
20240125,5,1,阴,晴,西北风,1
20240126,5,2,多云,多云,西北风,1
20240127,7,2,多云,晴,西北风,1
20240128,13,6,多云,多云,东南风,1
20240129,10,6,小雨,小雨,东风,1
20240130,10,9,小雨,多云,东南风,1
20240131,19,11,雾,多云,东南风,1
20240201,23,11,小雨,中雨,西南风,1
20240202,15,10,阴,小雨,西北风,1
20240203,9,7,小雨,小雨,西北风,2
20240204,6,3,大雨,小雨,西北风,1
20240205,6,4,小雨,小雨,西北风,1
20240206,4,3,小雨,中雨,西北风,1
20240207,2,1,小雨,小雨,西北风,2
20240208,5,2,雾,阴,西北风,1
20240209,11,2,多云,晴,西北风,1
20240210,16,1,多云,晴,北风,1
20240211,17,2,雾,晴,东风,1
20240212,19,5,多云,阴,东南风,2
20240213,20,9,阴,多云,东南风,1
20240214,24,10,多云,多云,东南风,1
20240215,16,8,小雨,小雨,西北风,2
20240216,10,7,阴,多云,西风,1
20240217,21,12,雾,多云,东南风,1
20240218,25,14,多云,阴,东南风,2
20240219,27,16,阴,阴,东南风,1
20240220,28,14,多云,阴,东南风,1
20240221,28,7,阴,小雨,西南风,1
20240222,5,3,中雨,中雨,西北风,2
20240223,6,2,小雨,小雨,西北风,2
20240224,3,1,小雨,小雨,西北风,2
20240225,5,2,阴,小雨,西北风,1
20240226,4,2,雨夹雪,小雨,西北风,1
20240227,8,3,阴,小雨,西北风,1
20240228,6,5,小雨,小雨,西北风,1
20240229,5,1,中雨,小雨,西北风,2
20240301,6,2,多云,阴,西北风,1
20240302,9,1,阴,晴,西北风,1
20240303,13,9,雾,小雨,东南风,1
20240304,17,9,小雨,小雨,东南风,1
20240305,15,7,雾,小雨,西北风,1
20240306,10,7,阴,阴,西北风,2
20240307,15,5,阴,多云,西北风,2
20240308,18,6,雾,多云,西北风,1
20240309,11,6,阴,晴,东南风,1
20240310,18,10,阴,中雨,东南风,1
20240311,14,7,小雨,多云,西北风,1
20240312,21,9,雾,多云,东北风,1
20240313,16,11,阴,阴,东南风,1
20240314,11,10,阴,小雨,东南风,1
20240315,16,11,小雨,中雨,东南风,1
20240316,14,13,中雨,小雨,东风,1
20240317,23,13,雾,小雨,西北风,1
20240318,14,8,小雨,小雨,东北风,1
20240319,19,6,阴,多云,西北风,2
20240320,21,7,多云,晴,东风,1
20240321,14,11,多云,阴,东南风,1
20240322,21,14,多云,阴,东南风,2
20240323,21,17,阴,小雨,东南风,1
20240324,30,18,雾,多云,西南风,1
20240325,30,12,中雨,阴,西南风,2
20240326,23,14,阴,阴,西北风,1
20240327,26,15,阴,小雨,东南风,1
20240328,20,11,小雨,阴,西北风,2
20240329,27,14,雾,中雨,东南风,1
20240330,24,17,大雨,大雨,东南风,1
20240331,23,14,雾,阴,西风,2
20240401,20,17,大雨,多云,东南风,2
20240402,29,19,阴,小雨,南风,2
20240403,26,18,小雨,中雨,西风,1
20240404,23,16,暴雨,大雨,西风,1
20240405,16,15,小雨,中雨,西北风,1
20240406,17,15,小雨,小雨,西北风,1
20240407,17,15,小雨,中雨,西北风,1
20240408,18,14,雾,阴,西北风,2
20240409,17,13,多云,多云,东风,1
20240410,24,16,多云,阴,东南风,2
20240411,23,18,小雨,大雨,东南风,1
20240412,25,18,小雨,多云,西北风,1
20240413,25,20,多云,大雨,东南风,1
20240414,27,20,多云,阴,西南风,1
20240415,33,20,多云,中雨,东南风,1
20240416,23,19,中雨,小雨,南风,1
20240417,23,17,小雨,阴,西北风,1
20240418,29,18,阴,中雨,东风,1
20240419,20,19,小雨,大雨,东南风,1
20240420,23,19,小雨,大雨,西南风,1
20240421,23,18,小雨,大雨,南风,1
20240422,25,18,阴,小雨,西风,1
20240423,22,17,小雨,晴,西北风,2
20240424,24,17,多云,阴,东南风,1
20240425,19,18,中雨,中雨,东南风,1
20240426,23,18,雾,阴,东风,1
20240427,27,20,阴,中雨,东南风,1
20240428,23,19,中雨,小雨,南风,1
20240429,28,19,雾,暴雨,西南风,1
20240430,23,16,中雨,小雨,西南风,1
20240501,19,16,多云,小雨,西北风,2
20240502,19,17,小雨,小雨,东风,1
20240503,20,18,阴,中雨,东南风,1
20240504,19,18,中雨,大雨,东南风,1
20240505,25,17,小雨,多云,西风,1
20240506,29,17,多云,多云,西北风,2
20240507,30,18,多云,多云,东南风,1
20240508,30,17,多云,多云,北风,1
20240509,26,18,阴,阴,东南风,2
20240510,24,19,阴,阴,东南风,1
20240511,28,20,阴,大雨,东南风,1
20240512,24,17,中雨,阴,西北风,2
20240513,26,15,阴,多云,东风,1
20240514,29,16,多云,晴,东南风,1
20240515,29,15,阴,晴,西北风,1
20240516,30,16,多云,多云,东南风,1
20240517,31,18,阴,多云,东南风,1
20240518,31,19,多云,阴,东南风,2
20240519,29,20,多云,小雨,东南风,2
20240520,20,19,中雨,小雨,东南风,1
20240521,20,19,大雨,小雨,东风,1
20240522,24,20,阴,小雨,东风,1
20240523,28,20,阴,小雨,东南风,1
20240524,31,21,雾,多云,东南风,1
20240525,31,22,小雨,小雨,东南风,1
20240526,32,22,小雨,小雨,东南风,1
20240527,23,20,暴雨,多云,西风,1
20240528,29,19,阴,多云,西北风,1
20240529,29,20,阴,阴,东南风,2
20240530,30,23,多云,阴,东南风,1
20240531,29,22,小雨,大雨,西北风,1
20240601,28,20,暴雨,大雨,西北风,1
20240602,22,19,小雨,小雨,东风,1
20240603,20,17,阴,多云,东风,1
20240604,22,17,雾,小雨,东南风,1
20240605,18,17,大雨,小雨,东南风,1
20240606,23,20,雾,阴,东北风,1
20240607,27,21,多云,小雨,东南风,1
20240608,30,22,阴,小雨,西南风,1
20240609,27,22,暴雨,大雨,西北风,1
20240610,24,23,大雨,大雨,西南风,1
20240611,29,23,大雨,大雨,西南风,1
20240612,24,23,大暴雨,大雨,西南风,1
