date,永安_厂级_上网电量,永安_厂级_供热厂用电量,永安_厂级_供热用厂用电率,永安_厂级_利用小时,永安_厂级_发电厂用电率,永安_厂级_发电标煤量,永安_厂级_发电用厂用电量,永安_厂级_开机率,永安_厂级_日电网调度发电量,永安_厂级_综合供电煤耗,永安_厂级_综合厂用电率,永安_厂级_综合厂用电量,永安_厂级_耗煤量,永安_厂级_负荷率,永安_永安#8_上网电量,永安_永安#8_利用小时,永安_永安#8_发电厂用电率,永安_永安#8_发电标煤量,永安_永安#8_发电用厂用电量,永安_永安#8_开机率,永安_永安#8_综合供电煤耗,永安_永安#8_综合厂用电率,永安_永安#8_综合厂用电量,永安_永安#8_负荷率,永安_永安#8_运行小时,永安_永安#8_发电量
20220101.0,934.56,9.99,7.359859,16.737333,5.753605,2960.787772,57.78,100.0,1001.7,316.810881,6.93858,69.68,5731.0,69.738889,412.3924,14.829,6.444602,1328.439638,28.6701,100.0,322.13,7.30047,32.4776,61.7875,24.0,444.87
20220102.0,920.65,9.42,7.520934,16.515667,5.912568,2925.14145,58.59,100.0,993.2,317.725677,7.094274,70.3,5377.0,68.815278,402.2441,14.515667,6.796978,1300.213829,29.5988,100.0,323.24,7.629894,33.2259,60.481944,24.0,435.47
20220103.0,925.6,10.05,7.824208,16.632,5.986452,2939.385472,59.74,100.0,995.0,317.565414,7.248076,72.33,5872.0,69.3,402.0377,14.558333,6.749628,1287.405123,29.479,100.0,320.22,7.947865,34.7123,60.659722,24.0,436.75
20220104.0,949.96,11.89,7.59891,17.063833,5.791977,2993.685354,59.3,100.0,1024.6,315.138043,7.215065,73.87,6046.0,71.099306,430.079,15.493667,6.278759,1370.876813,29.1843,100.0,318.75,7.472085,34.731,64.556944,24.0,464.81
20220105.0,1009.64,12.11,7.358522,18.093167,5.659595,3178.018823,61.44,100.0,1085.7,314.767523,6.997117,75.96,6562.0,75.388194,489.8546,17.554667,5.933351,1555.680239,31.2474,100.0,317.58,6.984923,36.7854,73.144444,24.0,526.64
20220106.0,944.02,12.49,7.57875,16.941167,5.770952,2970.127611,58.66,100.0,1017.9,314.625496,7.127608,72.45,6363.0,70.588194,426.5178,15.287333,5.951289,1353.554238,27.2938,100.0,317.35,6.999738,32.1022,63.697222,24.0,458.62
20220107.0,932.75,12.71,7.625472,16.7515,5.754709,2937.359253,57.84,100.0,1007.1,314.913884,7.19836,72.35,6461.0,69.797917,415.9605,14.944,5.892041,1320.133839,26.4152,100.0,317.37,7.217947,32.3595,62.266667,24.0,448.32
20220108.0,960.14,12.62,7.641732,17.232333,5.73631,3026.852974,59.31,100.0,1034.0,315.251211,7.137745,73.8,7207.0,71.801389,442.0578,15.825333,5.717563,1405.478569,27.1447,100.0,317.94,6.888154,32.7022,65.938889,24.0,474.76
20220109.0,992.37,12.03,7.489158,17.779833,5.679656,3129.125656,60.59,100.0,1045.2,315.318445,6.976068,74.42,6815.0,74.082639,478.8269,17.089333,5.66679,1523.292017,29.0525,100.0,318.13,6.603164,33.8531,71.205556,24.0,512.68
20220110.0,1024.27,12.83,7.786659,18.363167,5.695278,3224.125902,62.75,100.0,1103.4,314.773048,7.036731,77.53,7068.0,76.513194,507.3909,18.095667,5.569105,1608.429153,30.233,100.0,317.0,6.535469,35.4791,75.398611,24.0,542.87
