date,漳平_厂级_上网电量,漳平_厂级_供热厂用电量,漳平_厂级_供热用厂用电率,漳平_厂级_供热耗煤量,漳平_厂级_供热量,漳平_厂级_供电煤耗,漳平_厂级_利用小时,漳平_厂级_发电厂用电率,漳平_厂级_发电标煤量,漳平_厂级_发电用厂用电量,漳平_厂级_发电耗煤量,漳平_厂级_日电网调度发电量,漳平_厂级_综合供电煤耗,漳平_厂级_综合厂用电率,漳平_厂级_综合厂用电量,漳平_厂级_耗煤量,漳平_厂级_负荷率,漳平_漳平#5_上网电量,漳平_漳平#5_利用小时,漳平_漳平#5_发电厂用电率,漳平_漳平#5_发电标煤量,漳平_漳平#5_发电用厂用电量,漳平_漳平#5_综合供电煤耗,漳平_漳平#5_综合厂用电率,漳平_漳平#5_综合厂用电量,漳平_漳平#5_负荷率,漳平_漳平#5_运行小时,漳平_漳平#5_发电量
20220104.0,968.59,4.92,6.550323,545.0,7511.08,329.713998,17.431167,5.995009,3241.64911,62.7,5879.0,1045.0,334.677119,7.389064,77.28,6424.0,72.629861,482.57,17.369,7.303894,1612.169856,38.0584,334.08,7.388643,38.5,72.370833,24.0,521.07
20220106.0,867.03,5.54,6.757622,636.0,8198.15,326.239563,15.468333,5.652408,2856.684111,52.46,5516.0,928.1,329.47927,6.58011,61.07,6152.0,64.451389,399.21,14.244333,6.575714,1304.738043,28.1,326.83,6.580395,28.12,59.351389,24.0,427.33
20220107.0,884.43,5.32,6.498472,601.0,8186.54,326.390217,15.726667,5.363501,2914.632,50.61,5037.0,943.6,329.549201,6.270666,59.17,5638.0,65.527778,404.04,14.369333,6.265658,1324.766352,27.01,327.88,6.272618,27.04,59.872222,24.0,431.08
20220108.0,907.79,4.91,6.64999,573.0,7383.47,327.701391,16.161667,5.542951,3001.580895,53.75,5511.0,960.0,330.647054,6.384449,61.91,6084.0,67.340278,419.85,14.949333,6.314306,1378.073655,28.3184,328.23,6.383785,28.63,62.288889,24.0,448.48
20220109.0,1043.59,5.19,6.800092,557.0,7632.25,327.504943,18.606333,5.686236,3448.299543,63.48,5443.0,1100.0,330.426656,6.520181,72.79,6000.0,77.526389,512.51,18.275333,6.498523,1682.724083,35.6288,328.33,6.520629,35.75,76.147222,24.0,548.26
20220110.0,1043.7,5.96,6.838878,632.0,8714.88,335.279279,18.608,6.15685,3512.855115,68.74,5664.0,1116.0,336.577093,6.653052,74.28,6296.0,77.533333,516.25,18.408333,6.512196,1736.56175,35.9636,336.38,6.518787,36.0,76.701389,24.0,552.25
20220111.0,968.93,5.67,6.840333,608.0,8289.07,332.858672,17.260667,6.124715,3236.085295,63.43,5460.0,1035.0,333.985458,6.441428,66.71,6068.0,71.919444,467.02,16.716667,6.397607,1561.061052,32.084,334.26,6.875374,34.48,69.652778,24.0,501.5
20220112.0,1013.83,5.09,6.801721,544.0,7483.4,326.382274,18.0545,5.545247,3339.54343,60.07,5392.0,1083.28,329.398758,6.410221,69.44,5936.0,75.227083,487.49,17.449,6.458441,1595.798515,33.808,327.35,6.873364,35.98,72.704167,24.0,523.47
20220113.0,1077.48,5.24,6.82019,584.0,7683.07,324.852778,19.146167,5.449307,3528.453421,62.6,6028.0,1148.78,327.472753,6.205768,71.29,6612.0,79.775694,538.86,19.222333,6.159918,1757.384118,35.5224,326.13,6.556609,37.81,80.093056,24.0,576.67
20220114.0,1060.57,5.29,7.033125,537.0,7521.55,325.657957,18.882833,5.616212,3482.390796,63.63,5591.0,1132.97,328.350868,6.390284,72.4,6128.0,78.678472,521.67,18.648333,6.362749,1708.364916,35.5964,327.48,6.753061,37.78,77.701389,24.0,559.45
20220115.0,1073.74,5.11,6.953176,627.0,7349.16,325.043482,19.087,5.442622,3519.86336,62.33,6253.0,1145.22,327.813378,6.241596,71.48,6880.0,79.529167,532.67,18.986333,6.084605,1736.983603,34.6573,326.09,6.481855,36.92,79.109722,24.0,569.59
20220116.0,873.0744,4.52,6.671754,496.0,6774.83,325.694483,15.5502,5.561793,2869.758576,51.8922,4652.0,933.012,328.695765,6.424355,59.94,5148.0,64.7925,398.92,14.3046,6.655551,1303.750344,28.5615,326.82,7.041558,30.218,59.6025,24.0,429.138
20220117.0,834.0,4.39,6.698496,498.0,6553.71,326.058515,14.869167,5.743429,2741.858655,51.24,4746.0,892.15,328.760031,6.517962,58.15,5244.0,61.954861,373.71,13.433667,6.87576,1220.462118,27.71,326.58,7.270291,29.3,55.973611,24.0,403.01
