date,CCI3800out,CCI5000
2026-07-16,563.94,719
2026-07-17,559.674,721
2026-07-20,562.824,722
2026-07-21,565.678,725
2026-07-22,568.234,727
2026-07-23,570.925,728
2026-07-24,574.279,733
2026-07-27,577.597,739
2026-07-28,578.337,741
2026-07-29,583.802,747
2026-07-30,584.137,748
2026-07-31,587.848,752
2026-08-03,590.131,755
2026-08-04,590.702,757
2026-08-05,596.028,762
2026-08-06,599.905,768
2026-08-07,602.907,770
2026-08-10,608.282,776
2026-08-11,608.874,777
2026-08-12,611.778,781
2026-08-13,612.168,784
2026-08-14,610.806,784
2026-08-17,610.668,784
2026-08-18,610.541,784
2026-08-19,612.411,784
2026-08-20,613.986,785
2026-08-21,616.179,787
2026-08-24,616.281,788
2026-08-25,619.449,793
2026-08-26,620.9,795
2026-08-27,622.799,795
2026-08-28,622.39,795
2026-08-31,626.583,799
2026-09-01,629.851,804
2026-09-02,632.451,806
2026-09-03,633.1,808
2026-09-04,637.865,813
2026-09-07,640.242,815
2026-09-08,639.597,813
2026-09-09,636.514,810
2026-09-10,637.618,811
2026-09-11,638.836,814
2026-09-14,639.712,814
2026-09-15,643.849,818
2026-09-16,645.108,821
2026-09-17,648.485,824
2026-09-18,647.655,823
2026-09-20,647.122,824
2026-09-21,643.307,820
2026-09-22,641.737,819
2026-09-23,641.808,819
2026-09-24,641.947,820
2026-09-28,642.482,822
2026-09-29,646.297,826
2026-09-30,648.883,829
2026-10-08,652.721,832
2026-10-09,653.021,832
2026-10-10,651.979,830
2026-10-12,648.907,827
2026-10-13,648.531,827
