date,CCI3800out,CCI5000
2026-07-16,555.0779318288119,711.0
2026-07-17,564.7059227821928,718.0
2026-07-20,554.6248798200303,713.0
2026-07-21,548.8039998144584,709.0
2026-07-22,547.2432827654769,708.0
2026-07-23,556.5371131379751,711.0
2026-07-24,562.7233975061889,713.0
2026-07-27,566.5835744876213,716.0
2026-07-28,573.1556702959681,722.0
2026-07-29,574.3105342384761,724.0
2026-07-30,575.7815740009189,727.0
2026-07-31,575.4991541697002,727.0
2026-08-03,580.8821720339729,732.0
2026-08-04,588.1246481420383,738.0
2026-08-05,593.0728558532126,743.0
2026-08-06,594.7654208782052,744.0
2026-08-07,603.802550378296,752.0
2026-08-10,605.1657423296558,754.0
2026-08-11,609.3259964574714,757.0
2026-08-12,607.2996336742729,756.0
2026-08-13,610.1559573791052,758.0
2026-08-14,612.8694622486448,761.0
2026-08-17,613.1783904794171,761.0
2026-08-18,614.6019828807234,762.0
2026-08-19,618.5468707988541,765.0
2026-08-20,617.6680785720041,765.0
2026-08-21,618.0739353319453,765.0
2026-08-24,617.541440870586,764.0
2026-08-25,623.7608721017288,768.0
2026-08-26,631.5824246062682,775.0
2026-08-27,636.7992404948027,779.0
2026-08-28,644.6625775703897,786.0
2026-08-31,645.106735542345,787.0
2026-09-01,639.1542211299965,782.0
2026-09-02,635.2853394173123,779.0
2026-09-03,630.5630696465573,775.0
2026-09-04,630.0959268565384,774.0
2026-09-07,632.685550506452,777.0
2026-09-08,637.9507136156544,782.0
2026-09-09,645.3902143219138,788.0
2026-09-10,645.3686504543051,788.0
2026-09-11,645.3588290138839,788.0
2026-09-14,649.9439902516754,793.0
2026-09-15,648.8906583370265,792.0
2026-09-16,649.3592342557279,792.0
2026-09-17,649.8656704831453,793.0
2026-09-18,654.562439216754,798.0
2026-09-20,656.4793065690087,799.0
2026-09-21,656.8109717651835,800.0
2026-09-22,661.3679160066602,804.0
2026-09-23,666.1964900410265,809.0
2026-09-24,670.6331583328307,812.0
2026-09-28,670.5238233200191,812.0
2026-09-29,669.0413869663248,811.0
2026-09-30,671.2371392477023,812.0
2026-10-08,669.5004039197156,811.0
2026-10-09,664.6614436581808,808.0
2026-10-10,669.0480769298813,811.0
2026-10-12,672.1785976322938,814.0
2026-10-13,672.6219965233138,814.0
