date,CCI3800out,CCI5000
2026-07-16,563.94,719
2026-07-17,556.64588139724,721
2026-07-20,562.032199201001,723
2026-07-21,566.9108843951225,726
2026-07-22,571.2819369796036,729
2026-07-23,575.8831098852288,731
2026-07-24,581.6170750250844,737
2026-07-27,587.2885890558312,744
2026-07-28,588.5542428805425,747
2026-07-29,597.8977732861223,755
2026-07-30,598.4705444481187,756
2026-07-31,604.8160777959499,761
2026-08-03,608.7190207677818,765
2026-08-04,609.6956069498228,767
2026-08-05,618.8014581884661,774
2026-08-06,625.4297047598873,781
2026-08-07,630.5622511724752,784
2026-08-10,639.7511100254287,791
2026-08-11,640.7631942401922,793
2026-08-12,645.7280505748104,798
2026-08-13,646.395,801
2026-08-14,643.95,801
2026-08-17,643.374,802
2026-08-18,642.603,802
2026-08-19,645.046,801
2026-08-20,646.796,802
2026-08-21,649.428,804
2026-08-24,648.319,805
2026-08-25,652.301,810
2026-08-26,653.209,811
2026-08-27,654.754,810
2026-08-28,652.238,809
2026-08-31,657.488,813
2026-09-01,661.064,819
2026-09-02,663.418,821
2026-09-03,662.371,822
2026-09-04,668.307,828
2026-09-07,670.117,829
2026-09-08,666.73,825
2026-09-09,659.157,821
2026-09-10,658.735,821
2026-09-11,658.515,824
2026-09-14,657.73,823
2026-09-15,662.549,827
2026-09-16,662.49,829
2026-09-17,666.106,832
2026-09-18,662.598,830
2026-09-20,659.676,830
2026-09-21,651.233,824
2026-09-22,646.732,822
2026-09-23,645.152,821
2026-09-24,643.816,821
2026-09-28,643.297,823
2026-09-29,648.536,828
2026-09-30,651.841,831
2026-10-08,657.459,835
2026-10-09,657.218,833
2026-10-10,654.883,831
2026-10-12,649.29,827
2026-10-13,648.531,827
