date,CCI3800out_original,CCI3800out_half,CCI5000_original,CCI5000_half
2026-07-16,563.94,563.94,719.0,719
2026-07-17,556.64588139724,560.29294069862,721.0,720
2026-07-20,562.032199201001,562.9860996005006,723.0,721
2026-07-21,566.9108843951225,565.4254421975613,726.0,722
2026-07-22,571.2819369796036,567.6109684898018,729.0,724
2026-07-23,575.8831098852288,569.9115549426144,731.0,725
2026-07-24,581.6170750250844,572.7785375125422,737.0,728
2026-07-27,587.2885890558312,575.6142945279156,744.0,732
2026-07-28,588.5542428805425,576.2471214402713,747.0,733
2026-07-29,597.8977732861223,580.9188866430611,755.0,737
2026-07-30,598.4705444481187,581.2052722240594,756.0,738
2026-07-31,604.8160777959499,584.378038897975,761.0,740
2026-08-03,608.7190207677818,586.3295103838909,765.0,742
2026-08-04,609.6956069498228,586.8178034749114,767.0,743
2026-08-05,618.8014581884661,591.3707290942331,774.0,746
2026-08-06,625.4297047598873,594.6848523799437,781.0,750
2026-08-07,630.5622511724752,597.2511255862375,784.0,752
2026-08-10,639.7511100254287,601.8455550127144,791.0,755
2026-08-11,640.7631942401922,602.3515971200961,793.0,756
2026-08-12,645.7280505748104,604.8340252874052,798.0,758
2026-08-13,646.3953919350417,605.1676959675209,801.0,760
2026-08-14,644.0668580792848,604.0034290396425,801.0,760
2026-08-17,643.8318391261084,603.8859195630542,802.0,760
2026-08-18,643.6143653111827,603.7771826555913,802.0,760
2026-08-19,646.8106814612661,605.3753407306331,802.0,760
2026-08-20,649.5029623815436,606.7214811907718,803.0,761
2026-08-21,653.2532066736264,608.5966033368132,806.0,762
2026-08-24,653.42709495489,608.683547477445,807.0,763
2026-08-25,658.843254836529,611.3916274182645,813.0,766
2026-08-26,661.3248241171816,612.6324120585908,815.0,767
2026-08-27,664.5714440659983,614.2557220329992,815.0,767
2026-08-28,663.8713203320455,613.9056601660227,815.0,767
2026-08-31,671.0411031413921,617.4905515706961,820.0,770
2026-09-01,676.6281637792264,620.2840818896132,827.0,773
2026-09-02,681.072776134747,622.5063880673736,830.0,774
2026-09-03,682.1826064065311,623.0613032032657,832.0,776
2026-09-04,690.3293588834463,627.1346794417232,839.0,779
2026-09-07,694.3931620058355,629.1665810029178,841.0,780
2026-09-08,693.2903141465953,628.6151570732977,838.0,778
2026-09-09,688.0195740523518,625.9797870261759,835.0,777
2026-09-10,689.9066704407167,626.9233352203584,836.0,778
2026-09-11,691.9890850174497,627.9645425087249,840.0,780
2026-09-14,693.4877599227889,628.7138799613945,840.0,780
2026-09-15,700.561298713698,632.250649356849,845.0,782
2026-09-16,702.7136399874221,633.3268199937111,848.0,784
2026-09-17,708.4863048760791,636.2131524380395,852.0,786
2026-09-18,707.0675942716927,635.5037971358463,851.0,785
2026-09-20,706.1568403721728,635.0484201860864,852.0,786
2026-09-21,699.6335641625069,631.7867820812535,847.0,783
2026-09-22,696.9494246446907,630.4447123223454,846.0,782
2026-09-23,697.0708964620123,630.5054482310062,846.0,782
2026-09-24,697.3089078287007,630.6244539143504,847.0,783
2026-09-28,698.223445812291,631.0817229061455,850.0,784
2026-09-29,704.7452238426711,634.3426119213356,855.0,787
2026-09-30,709.1678276537498,636.5539138268749,859.0,789
2026-10-08,715.7284170095099,639.834208504755,863.0,791
2026-10-09,716.2419246706004,640.0909623353002,862.0,790
2026-10-10,714.4602496243432,639.2001248121717,860.0,790
2026-10-12,709.2078820159704,636.5739410079852,856.0,788
2026-10-13,708.565507265945,636.2527536329726,856.0,788
