date,CCI3800out_original,CCI3800out_adjusted,CCI5000_original,CCI5000_adjusted
2026-07-16,563.94,563.94,719,719
2026-07-17,556.64588139724,556.64588139724,721,721
2026-07-20,562.032199201001,562.032199201001,723,723
2026-07-21,566.9108843951225,566.9108843951225,726,726
2026-07-22,571.2819369796036,571.2819369796036,729,729
2026-07-23,575.8831098852288,575.8831098852288,731,731
2026-07-24,581.6170750250844,581.6170750250844,737,737
2026-07-27,587.2885890558312,587.2885890558312,744,744
2026-07-28,588.5542428805425,588.5542428805425,747,747
2026-07-29,597.8977732861223,597.8977732861223,755,755
2026-07-30,598.4705444481187,598.4705444481187,756,756
2026-07-31,604.8160777959499,604.8160777959499,761,761
2026-08-03,608.7190207677818,608.7190207677818,765,765
2026-08-04,609.6956069498228,609.6956069498228,767,767
2026-08-05,618.8014581884661,618.8014581884661,774,774
2026-08-06,625.4297047598873,625.4297047598873,781,781
2026-08-07,630.5622511724752,630.5622511724752,784,784
2026-08-10,639.7511100254287,639.7511100254287,791,791
2026-08-11,640.7631942401922,640.7631942401922,793,793
2026-08-12,645.7280505748104,645.7280505748104,798,798
2026-08-13,646.3953919350417,646.395,801,801
2026-08-14,644.0668580792848,643.95,801,801
2026-08-17,643.8318391261084,643.374,802,802
2026-08-18,643.6143653111827,642.603,802,802
2026-08-19,646.8106814612661,645.046,802,801
2026-08-20,649.5029623815436,646.796,803,802
2026-08-21,653.2532066736264,649.428,806,804
2026-08-24,653.42709495489,648.319,807,805
2026-08-25,658.843254836529,652.301,813,810
2026-08-26,661.3248241171816,653.209,815,811
2026-08-27,664.5714440659983,654.754,815,810
2026-08-28,663.8713203320455,652.238,815,809
2026-08-31,671.0411031413921,657.488,820,813
2026-09-01,676.6281637792264,661.064,827,819
2026-09-02,681.072776134747,663.418,830,821
2026-09-03,682.1826064065311,662.371,832,822
2026-09-04,690.3293588834463,668.307,839,828
2026-09-07,694.3931620058355,670.117,841,829
2026-09-08,693.2903141465953,666.73,838,825
2026-09-09,688.0195740523518,659.157,835,821
2026-09-10,689.9066704407167,658.735,836,821
2026-09-11,691.9890850174497,658.515,840,824
2026-09-14,693.4877599227889,657.73,840,823
2026-09-15,700.561298713698,662.549,845,827
2026-09-16,702.7136399874221,662.49,848,829
2026-09-17,708.4863048760791,666.106,852,832
2026-09-18,707.0675942716927,662.598,851,830
2026-09-20,706.1568403721728,659.676,852,830
2026-09-21,699.6335641625069,651.233,847,824
2026-09-22,696.9494246446907,646.732,846,822
2026-09-23,697.0708964620123,645.152,846,821
2026-09-24,697.3089078287007,643.816,847,821
2026-09-28,698.223445812291,643.297,850,823
2026-09-29,704.7452238426711,648.536,855,828
2026-09-30,709.1678276537498,651.841,859,831
2026-10-08,715.7284170095099,657.459,863,835
2026-10-09,716.2419246706004,657.218,862,833
2026-10-10,714.4602496243432,654.883,860,831
2026-10-12,709.2078820159704,649.29,856,827
2026-10-13,708.565507265945,648.531,856,827
