date,CCI3800out_old,CCI3800out_retrained,CCI5000_old,CCI5000_retrained
2026-07-23,601.380981720594,576.2601296235185,764.0,741.0
2026-07-24,583.9606940697136,580.2220246776157,742.0,745.0
2026-07-27,578.1792276662397,587.6697082092276,743.0,752.0
2026-07-28,575.2443531697377,593.6244105528228,745.0,757.0
2026-07-29,575.1560705802065,598.0861317084009,748.0,763.0
2026-07-30,582.6086750447923,600.1091278487221,752.0,766.0
2026-07-31,590.1720329792481,603.5432925218796,758.0,771.0
2026-08-03,590.9003554135802,606.0149173717423,758.0,775.0
2026-08-04,594.6311222721431,605.6564669617087,763.0,777.0
2026-08-05,593.8542284985143,613.6415218396314,762.0,784.0
2026-08-06,593.9989328290451,619.8253501256652,761.0,788.0
2026-08-07,589.5250552261798,625.3521755536008,757.0,792.0
2026-08-10,592.3508148599246,629.6073127129603,758.0,796.0
2026-08-11,593.9915946963906,631.0540510339856,760.0,798.0
2026-08-12,597.5771918213206,636.4801641218241,764.0,802.0
2026-08-13,599.4806289810986,638.9475666660984,764.0,805.0
2026-08-14,607.009104991608,639.1789823815163,772.0,805.0
2026-08-17,607.6742600307437,646.4977795123085,772.0,810.0
2026-08-18,607.7051370543072,648.7078054003055,772.0,812.0
2026-08-19,607.5091816103843,649.018048883985,771.0,812.0
2026-08-20,608.4235453142512,648.3225287989757,771.0,812.0
2026-08-21,612.667813755832,649.5223344829618,775.0,813.0
2026-08-24,613.5126233045678,650.3495672878767,776.0,813.0
2026-08-25,620.2984243666644,649.071432402237,781.0,810.0
2026-08-26,619.2729815564355,653.4243509590306,779.0,812.0
2026-08-27,615.9763354447553,657.555826160894,776.0,815.0
2026-08-28,613.9890127392907,657.6971648240449,774.0,815.0
2026-08-31,615.170595333866,657.4206727058279,775.0,816.0
2026-09-01,619.416348934932,661.0870370214111,778.0,820.0
2026-09-02,625.3108345869875,662.9772790477559,784.0,822.0
2026-09-03,628.2942208784402,664.4664996484523,787.0,822.0
2026-09-04,633.5999790187468,666.153609031202,792.0,822.0
2026-09-07,629.7063796032937,675.8669322876743,788.0,831.0
2026-09-08,628.8650161027351,677.0824944931849,787.0,834.0
2026-09-09,626.3807435315213,677.6015728582104,785.0,834.0
2026-09-10,626.7938212198188,680.1911365613748,785.0,837.0
2026-09-11,627.885014065401,683.3380810220848,785.0,839.0
2026-09-14,630.3457950058441,683.7380848336957,787.0,838.0
2026-09-15,634.5710729270655,683.3370774618327,792.0,837.0
2026-09-16,635.8128972443435,684.2625092929825,794.0,839.0
2026-09-17,636.7948083256122,686.9562222580299,796.0,842.0
2026-09-18,634.4959718970676,687.2565539667482,794.0,845.0
2026-09-20,635.1353920127779,688.8408238318634,795.0,844.0
2026-09-21,636.346941691156,693.1928108969023,796.0,848.0
2026-09-22,635.7242650754692,692.934932503346,795.0,847.0
2026-09-23,636.7837538236454,695.658009996145,796.0,850.0
2026-09-24,638.0992338162123,695.5096942283767,797.0,849.0
2026-09-28,641.7194490138365,695.605902930095,800.0,849.0
2026-09-29,644.8788306461975,690.7849283620319,803.0,845.0
2026-09-30,647.6844766993074,688.542714849285,805.0,844.0
2026-10-08,655.9146018734631,688.2429267821208,813.0,844.0
2026-10-09,661.0859242015465,688.4616423315736,818.0,845.0
2026-10-10,661.2719795248667,690.765547077882,818.0,848.0
2026-10-12,660.0667956542859,694.7322453302227,817.0,852.0
2026-10-13,655.9408471463962,698.3444658948857,813.0,854.0
2026-10-14,651.9656878725134,703.5507713513095,809.0,858.0
2026-10-15,645.9045890667422,707.6808699677497,803.0,859.0
2026-10-16,649.3225889302,705.8254988108494,804.0,856.0
2026-10-19,653.8706826030491,701.3023104167687,808.0,851.0
2026-10-20,654.5114271594967,698.8051674916759,808.0,850.0
