date,真实值,预测值
2025-10-15,451.82,441.89423
2025-10-16,454.24,446.5475
2025-10-17,454.24,449.26517
2025-10-20,454.24,455.07947
2025-10-21,454.24,451.45093
2025-10-22,456.66,455.4591
2025-10-23,456.66,460.473
2025-10-24,456.66,459.9399
2025-10-27,456.02,462.63013
2025-10-28,455.38,462.3825
2025-10-29,455.38,450.81546
2025-10-30,456.02,450.81546
2025-10-31,456.02,452.32147
2025-11-03,459.89,451.68167
2025-11-04,467.96,452.4152
2025-11-05,476.02,459.56485
2025-11-06,484.09,461.72033872727246
2025-11-07,488.13,475.4219731515149
2025-11-10,488.13,479.39274848484814
2025-11-11,488.13,486.6796067856296
2025-11-12,488.13,492.376271676728
2025-11-13,486.08,494.17915253610295
2025-11-14,486.76,487.7214970629141
2025-11-17,489.17,484.0068687115291
2025-11-18,493.08,490.17841008966576
2025-11-19,493.08,494.3234461189036
2025-11-20,493.08,493.8569091057052
2025-11-21,493.08,493.4522095836291
2025-11-24,490.78,492.4004236579663
2025-11-25,490.09,488.8135693359371
2025-11-26,485.39,486.91823911724646
2025-11-27,481.38,482.9045859227033
2025-11-28,473.36,479.0121834679806
2025-12-01,464.68,472.5104350142044
2025-12-02,463.08,465.73168087121184
2025-12-03,460.02,465.30244743578334
2025-12-04,458.27,461.6123813328595
2025-12-05,454.26,437.5528423887308
2025-12-08,450.26,459.350719271573
2025-12-09,448.66,448.0186260246508
2025-12-10,444.02,448.0026360159208
2025-12-11,440.02,444.1967675226384
2025-12-12,433.81,440.4926881547407
2025-12-15,433.81,432.61382052334847
2025-12-16,430.8,431.6385657478098
2025-12-17,422.82,427.8269571015329
2025-12-18,422.82,420.7950334768581
2025-12-19,422.82,422.63574216900446
2025-12-22,422.82,423.86070369836045
2025-12-23,422.22,421.4208225874464
2025-12-24,421.63,420.47070301402687
2025-12-25,420.43,419.0925185879791
2025-12-26,421.03,417.115377363725
2025-12-29,425.0,418.7221071370441
2025-12-30,426.17,422.94041637073855
