date,真实值,预测值
2025-10-15,728.0,715.39777
2025-10-16,737.0,721.35175
2025-10-17,745.0,727.52325
2025-10-20,753.0,727.9889
2025-10-21,760.0,741.5052
2025-10-22,767.0,747.5007
2025-10-23,771.0,752.2478
2025-10-24,773.0,756.9692
2025-10-27,773.0,781.72327
2025-10-28,773.0,775.48584
2025-10-29,773.0,772.99927
2025-10-30,773.0,772.99927
2025-10-31,773.0,775.1205
2025-11-03,779.0,780.48676
2025-11-04,786.0,777.3946
2025-11-05,795.0,795.0
2025-11-06,804.0,807.0
2025-11-07,813.0,793.0
2025-11-10,822.0,803.0
2025-11-11,829.0,820.0
2025-11-12,832.0,820.0
2025-11-13,832.0,824.0
2025-11-14,832.0,835.0
2025-11-17,832.0,833.0
2025-11-18,832.0,830.0
2025-11-19,832.0,830.0
2025-11-20,832.0,831.0
2025-11-21,832.0,832.0
2025-11-24,832.0,832.0
2025-11-25,830.0,830.0
2025-11-26,827.0,826.0
2025-11-27,825.0,824.0
2025-11-28,823.0,821.0
2025-12-01,818.0,818.0
2025-12-02,813.0,812.0
2025-12-03,808.0,809.0
2025-12-04,802.0,804.0
2025-12-05,796.0,694.0
2025-12-08,790.0,798.0
2025-12-09,782.0,780.0
2025-12-10,774.0,771.0
2025-12-11,766.0,763.0
2025-12-12,758.0,755.0
2025-12-15,750.0,747.0
2025-12-16,741.0,739.0
2025-12-17,732.0,730.0
2025-12-18,724.0,720.0
2025-12-19,716.0,712.0
2025-12-22,708.0,704.0
2025-12-23,700.0,697.0
2025-12-24,693.0,689.0
2025-12-25,687.0,682.0
2025-12-26,682.0,677.0
2025-12-29,680.0,675.0
2025-12-30,680.0,674.0
2025-12-31,681.0,670.0
2026-01-01,,889.0
2026-01-02,,890.0
2026-01-05,687.0,709.0
2026-01-06,690.0,709.0
2026-01-07,694.0,708.0
2026-01-08,698.0,709.0
2026-01-09,701.0,712.0
2026-01-12,703.0,701.0
2026-01-13,704.0,709.0
2026-01-14,704.0,705.0
2026-01-15,704.0,702.0
2026-01-16,702.0,714.0
2026-01-19,700.0,727.0
2026-01-20,697.0,709.0
2026-01-21,694.0,736.0
2026-01-22,692.0,715.0
2026-01-23,691.0,701.0
2026-01-26,691.0,700.0
2026-01-27,691.0,706.0
2026-01-28,693.0,708.0
2026-01-29,695.0,712.0
2026-01-30,696.0,697.0
2026-02-02,696.0,697.0
2026-02-03,696.0,697.0
2026-02-04,696.0,697.0
2026-02-05,697.0,703.0
2026-02-06,698.0,704.0
2026-02-09,700.0,699.0
2026-02-10,702.0,702.0
2026-02-11,706.0,705.0
2026-02-12,711.0,711.0
2026-02-13,717.0,719.0
2026-02-16,,889.0
2026-02-17,,888.0
2026-02-18,,886.0
2026-02-19,,880.0
2026-02-20,,875.0
2026-02-23,,871.0
2026-02-24,727.0,742.0
2026-02-25,732.0,748.0
2026-02-26,738.0,755.0
2026-02-27,744.0,762.0
2026-03-02,752.0,761.0
2026-03-03,752.0,759.0
2026-03-04,752.0,760.0
2026-03-05,751.0,758.0
2026-03-06,750.0,759.0
2026-03-09,748.0,760.0
2026-03-10,745.0,754.0
2026-03-11,742.0,757.0
2026-03-12,738.0,749.0
2026-03-13,736.0,746.0
2026-03-16,732.0,764.0
2026-03-17,730.0,756.0
2026-03-18,730.0,765.0
2026-03-19,732.0,748.0
2026-03-20,736.0,741.0
2026-03-23,742.0,738.0
2026-03-24,749.0,736.0
2026-03-25,755.0,748.0
2026-03-26,760.0,759.0
2026-03-27,763.0,766.0
2026-03-30,763.0,779.0
2026-03-31,762.0,772.0
2026-04-01,761.0,769.0
2026-04-02,760.0,761.0
2026-04-03,760.0,762.0
2026-04-06,,869.0
2026-04-07,760.0,766.0
2026-04-08,760.0,767.0
2026-04-09,762.0,768.0
2026-04-10,764.0,770.0
2026-04-13,766.0,771.0
2026-04-14,768.0,770.0
2026-04-15,770.0,770.0
2026-04-16,771.0,771.0
2026-04-17,772.0,771.0
2026-04-20,773.0,771.0
2026-04-21,774.0,770.0
2026-04-22,775.0,770.0
2026-04-23,776.0,770.0
2026-04-24,780.0,769.0
2026-04-27,785.0,769.0
2026-04-28,792.0,768.0
2026-04-29,800.0,767.0
2026-04-30,808.0,767.0
2026-05-01,,870.0
