时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,1,2024-07-12 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-12,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,2,2024-07-12 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-12,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,3,2024-07-12 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-12,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,4,2024-07-12 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-11,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,5,2024-07-11 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-11,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,6,2024-07-11 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-11,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,7,2024-07-11 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-11,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,8,2024-07-11 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-10,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,9,2024-07-10 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-10,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,10,2024-07-10 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-10,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,11,2024-07-10 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-10,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,12,2024-07-10 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-09,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,13,2024-07-09 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-09,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,14,2024-07-09 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-09,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,15,2024-07-09 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-09,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,16,2024-07-09 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-08,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,17,2024-07-08 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-08,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,18,2024-07-08 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-08,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,19,2024-07-08 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-08,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,20,2024-07-08 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-05,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,21,2024-07-05 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-05,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,22,2024-07-05 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-05,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,23,2024-07-05 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-05,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,24,2024-07-05 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-04,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,25,2024-07-04 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-04,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,26,2024-07-04 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-04,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,27,2024-07-04 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-04,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,28,2024-07-04 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-03,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,29,2024-07-03 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-03,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,30,2024-07-03 00:00:00,1,0,2024-07-12 18:12:11,0,2024-07-12 18:12:11,,,
2024-07-03,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,31,2024-07-03 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-03,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,32,2024-07-03 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-02,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,33,2024-07-02 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-02,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,34,2024-07-02 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-02,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,35,2024-07-02 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-02,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,36,2024-07-02 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-01,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,37,2024-07-01 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-01,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,38,2024-07-01 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-01,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,39,2024-07-01 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-07-01,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,40,2024-07-01 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-28,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,41,2024-06-28 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-28,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,42,2024-06-28 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-28,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,43,2024-06-28 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-28,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,44,2024-06-28 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-27,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,45,2024-06-27 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-27,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,-50.00,车板价,46,2024-06-27 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-27,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,47,2024-06-27 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-27,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,-50.00,车板价,48,2024-06-27 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-26,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,49,2024-06-26 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-26,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1760.00,0.00,车板价,50,2024-06-26 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-26,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,51,2024-06-26 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-26,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1920.00,0.00,车板价,52,2024-06-26 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-25,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,53,2024-06-25 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-25,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1760.00,0.00,车板价,54,2024-06-25 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-25,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,55,2024-06-25 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-25,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1920.00,0.00,车板价,56,2024-06-25 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-24,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,57,2024-06-24 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-24,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1760.00,50.00,车板价,58,2024-06-24 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-24,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,59,2024-06-24 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-24,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1920.00,50.00,车板价,60,2024-06-24 00:00:00,1,0,2024-07-12 18:12:14,0,2024-07-12 18:12:14,,,
2024-06-21,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,61,2024-06-21 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-21,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,62,2024-06-21 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-21,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,63,2024-06-21 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-21,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,64,2024-06-21 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-20,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,65,2024-06-20 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-20,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,66,2024-06-20 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-20,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,67,2024-06-20 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-20,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,68,2024-06-20 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-19,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,69,2024-06-19 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-19,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,70,2024-06-19 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-19,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,71,2024-06-19 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-19,古交市,2#焦煤,10.00,16.00,0.60,73.00,,1870.00,0.00,车板价,72,2024-06-19 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-18,古交市,8号焦煤,25.00,19.00,1.30,62.50,,830.00,0.00,坑口价,73,2024-06-18 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-18,古交市,8#焦煤,7.00,19.00,1.30,70.00,,1710.00,0.00,车板价,74,2024-06-18 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
2024-06-18,古交市,2号焦煤,21.50,23.00,0.90,67.50,,900.00,0.00,坑口价,75,2024-06-18 00:00:00,1,0,2024-07-12 18:12:16,0,2024-07-12 18:12:16,,,
