时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,阳泉市,洗小块,10.50,8.00,0.95,,7000.00,1100.00,0.00,坑口价,1,2024-07-12 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-12,阳泉市,洗中块,10.50,8.00,0.95,,7000.00,1170.00,0.00,坑口价,2,2024-07-12 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-12,阳泉市,末煤,15.00,8.00,0.95,,6200.00,850.00,0.00,坑口价,3,2024-07-12 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-12,阳泉市,无烟洗小块,9.50,6.50,0.95,,7000.00,1140.00,0.00,车板价,4,2024-07-12 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-12,阳泉市,无烟洗中块,9.50,6.50,0.95,,7000.00,1230.00,0.00,车板价,5,2024-07-12 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-12,阳泉市,无烟末煤,10.50,6.50,1.00,,6500.00,860.00,0.00,车板价,6,2024-07-12 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-12,阳泉市,喷吹煤2#,11.50,7.00,0.95,,6500.00,1155.00,0.00,车板价,7,2024-07-12 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-12,阳泉市,喷吹煤1#,10.50,8.00,0.80,,7000.00,1240.00,0.00,车板价,8,2024-07-12 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-11,阳泉市,洗小块,10.50,8.00,0.95,,7000.00,1100.00,0.00,坑口价,9,2024-07-11 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-11,阳泉市,洗中块,10.50,8.00,0.95,,7000.00,1170.00,0.00,坑口价,10,2024-07-11 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-11,阳泉市,末煤,15.00,8.00,0.95,,6200.00,850.00,0.00,坑口价,11,2024-07-11 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
2024-07-11,阳泉市,无烟洗小块,9.50,6.50,0.95,,7000.00,1140.00,0.00,车板价,12,2024-07-11 00:00:00,1,0,2024-07-12 20:03:14,0,2024-07-12 20:03:14,,,
