时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,长治县,瘦煤2#,17.00,12.50,2.00,38.00,5800.00,790.00,0.00,坑口价,1,2024-07-15 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-15,长治县,瘦煤1#,23.00,17.00,0.30,18.00,5300.00,725.00,0.00,坑口价,2,2024-07-15 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-15,长治县,动力煤,22.00,12.50,2.00,,5800.00,805.00,0.00,车板价,3,2024-07-15 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-12,长治县,瘦煤2#,17.00,12.50,2.00,38.00,5800.00,790.00,0.00,坑口价,4,2024-07-12 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-12,长治县,瘦煤1#,23.00,17.00,0.30,18.00,5300.00,725.00,0.00,坑口价,5,2024-07-12 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-12,长治县,动力煤,22.00,12.50,2.00,,5800.00,805.00,0.00,车板价,6,2024-07-12 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-11,长治县,瘦煤2#,17.00,12.50,2.00,38.00,5800.00,790.00,0.00,坑口价,7,2024-07-11 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-11,长治县,瘦煤1#,23.00,17.00,0.30,18.00,5300.00,725.00,0.00,坑口价,8,2024-07-11 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-11,长治县,动力煤,22.00,12.50,2.00,,5800.00,805.00,0.00,车板价,9,2024-07-11 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
2024-07-10,长治县,瘦煤2#,17.00,12.50,2.00,38.00,5800.00,790.00,0.00,坑口价,10,2024-07-10 00:00:00,1,0,2024-07-15 10:53:15,0,2024-07-15 10:53:15,,,
