时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,壶关县,动力煤,25.00,14.00,3.00,,5000.00,740.00,0.00,车板价,1,2024-07-15 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-12,壶关县,动力煤,25.00,14.00,3.00,,5000.00,740.00,0.00,车板价,2,2024-07-12 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-11,壶关县,动力煤,25.00,14.00,3.00,,5000.00,740.00,0.00,车板价,3,2024-07-11 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-10,壶关县,动力煤,25.00,14.00,3.00,,5000.00,740.00,0.00,车板价,4,2024-07-10 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-09,壶关县,动力煤,25.00,14.00,3.00,,5000.00,740.00,0.00,车板价,5,2024-07-09 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-08,壶关县,动力煤,25.00,14.00,3.00,,5000.00,740.00,-25.00,车板价,6,2024-07-08 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-05,壶关县,动力煤,25.00,14.00,3.00,,5000.00,765.00,0.00,车板价,7,2024-07-05 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-04,壶关县,动力煤,25.00,14.00,3.00,,5000.00,765.00,0.00,车板价,8,2024-07-04 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-03,壶关县,动力煤,25.00,14.00,3.00,,5000.00,765.00,0.00,车板价,9,2024-07-03 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
2024-07-02,壶关县,动力煤,25.00,14.00,3.00,,5000.00,765.00,0.00,车板价,10,2024-07-02 00:00:00,1,0,2024-07-15 11:23:06,0,2024-07-15 11:23:06,,,
