时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,朔州市,气煤,24.00,34.00,0.95,,4800.00,625.00,0.00,坑口价,1,2024-07-15 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-15,朔州市,块煤,22.50,34.00,0.95,,5200.00,795.00,0.00,坑口价,2,2024-07-15 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-15,朔州市,动力煤,25.00,34.00,0.95,,4800.00,660.00,0.00,车板价,3,2024-07-15 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-15,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,765.00,0.00,车板价,4,2024-07-15 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-12,朔州市,气煤,24.00,34.00,0.95,,4800.00,625.00,5.00,坑口价,5,2024-07-12 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-12,朔州市,块煤,22.50,34.00,0.95,,5200.00,795.00,0.00,坑口价,6,2024-07-12 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-12,朔州市,动力煤,25.00,34.00,0.95,,4800.00,660.00,0.00,车板价,7,2024-07-12 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-12,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,765.00,5.00,车板价,8,2024-07-12 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-11,朔州市,气煤,24.00,34.00,0.95,,4800.00,620.00,5.00,坑口价,9,2024-07-11 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-11,朔州市,块煤,22.50,34.00,0.95,,5200.00,795.00,0.00,坑口价,10,2024-07-11 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-11,朔州市,动力煤,25.00,34.00,0.95,,4800.00,660.00,5.00,车板价,11,2024-07-11 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-11,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,760.00,5.00,车板价,12,2024-07-11 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-10,朔州市,气煤,24.00,34.00,0.95,,4800.00,615.00,5.00,坑口价,13,2024-07-10 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-10,朔州市,块煤,22.50,34.00,0.95,,5200.00,795.00,0.00,坑口价,14,2024-07-10 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-10,朔州市,动力煤,25.00,34.00,0.95,,4800.00,655.00,5.00,车板价,15,2024-07-10 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-10,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,755.00,0.00,车板价,16,2024-07-10 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-09,朔州市,气煤,24.00,34.00,0.95,,4800.00,610.00,0.00,坑口价,17,2024-07-09 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-09,朔州市,块煤,22.50,34.00,0.95,,5200.00,795.00,0.00,坑口价,18,2024-07-09 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-09,朔州市,动力煤,25.00,34.00,0.95,,4800.00,650.00,0.00,车板价,19,2024-07-09 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-09,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,755.00,5.00,车板价,20,2024-07-09 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-08,朔州市,气煤,24.00,34.00,0.95,,4800.00,610.00,0.00,坑口价,21,2024-07-08 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-08,朔州市,块煤,22.50,34.00,0.95,,5200.00,795.00,0.00,坑口价,22,2024-07-08 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-08,朔州市,动力煤,25.00,34.00,0.95,,4800.00,650.00,0.00,车板价,23,2024-07-08 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-08,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,750.00,0.00,车板价,24,2024-07-08 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-05,朔州市,气煤,24.00,34.00,0.95,,4800.00,610.00,0.00,坑口价,25,2024-07-05 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-05,朔州市,块煤,22.50,34.00,0.95,,5200.00,795.00,-5.00,坑口价,26,2024-07-05 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-05,朔州市,动力煤,25.00,34.00,0.95,,4800.00,650.00,0.00,车板价,27,2024-07-05 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-05,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,750.00,0.00,车板价,28,2024-07-05 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-04,朔州市,气煤,24.00,34.00,0.95,,4800.00,610.00,-5.00,坑口价,29,2024-07-04 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-04,朔州市,块煤,22.50,34.00,0.95,,5200.00,800.00,0.00,坑口价,30,2024-07-04 00:00:00,1,0,2024-07-15 15:43:44,0,2024-07-15 15:43:44,,,
2024-07-04,朔州市,动力煤,25.00,34.00,0.95,,4800.00,650.00,-5.00,车板价,31,2024-07-04 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-04,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,750.00,0.00,车板价,32,2024-07-04 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-03,朔州市,气煤,24.00,34.00,0.95,,4800.00,615.00,-5.00,坑口价,33,2024-07-03 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-03,朔州市,块煤,22.50,34.00,0.95,,5200.00,800.00,-5.00,坑口价,34,2024-07-03 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-03,朔州市,动力煤,25.00,34.00,0.95,,4800.00,655.00,-5.00,车板价,35,2024-07-03 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-03,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,750.00,-5.00,车板价,36,2024-07-03 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-02,朔州市,气煤,24.00,34.00,0.95,,4800.00,620.00,0.00,坑口价,37,2024-07-02 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-02,朔州市,块煤,22.50,34.00,0.95,,5200.00,805.00,0.00,坑口价,38,2024-07-02 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-02,朔州市,动力煤,25.00,34.00,0.95,,4800.00,660.00,0.00,车板价,39,2024-07-02 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-02,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,755.00,0.00,车板价,40,2024-07-02 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-01,朔州市,气煤,24.00,34.00,0.95,,4800.00,620.00,0.00,坑口价,41,2024-07-01 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-01,朔州市,块煤,22.50,34.00,0.95,,5200.00,805.00,0.00,坑口价,42,2024-07-01 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-01,朔州市,动力煤,25.00,34.00,0.95,,4800.00,660.00,0.00,车板价,43,2024-07-01 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-07-01,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,755.00,-5.00,车板价,44,2024-07-01 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-06-28,朔州市,气煤,24.00,34.00,0.95,,4800.00,620.00,-5.00,坑口价,45,2024-06-28 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-06-28,朔州市,块煤,22.50,34.00,0.95,,5200.00,805.00,-5.00,坑口价,46,2024-06-28 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-06-28,朔州市,动力煤,25.00,34.00,0.95,,4800.00,660.00,-5.00,车板价,47,2024-06-28 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-06-28,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,760.00,-5.00,车板价,48,2024-06-28 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-06-27,朔州市,气煤,24.00,34.00,0.95,,4800.00,625.00,-5.00,坑口价,49,2024-06-27 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-06-27,朔州市,块煤,22.50,34.00,0.95,,5200.00,810.00,0.00,坑口价,50,2024-06-27 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-06-27,朔州市,动力煤,25.00,34.00,0.95,,4800.00,665.00,-5.00,车板价,51,2024-06-27 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
2024-06-27,朔州市,动力混煤,24.00,34.00,0.95,,5200.00,765.00,-5.00,车板价,52,2024-06-27 00:00:00,1,0,2024-07-15 15:43:47,0,2024-07-15 15:43:47,,,
