时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,包头市,精煤末煤,10.00,30.00,0.50,,6500.00,805.00,0.00,出厂价,1,2024-07-15 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-15,包头市,焦精煤,10.00,24.00,1.00,85.00,,1945.00,0.00,出厂价,2,2024-07-15 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-15,包头市,烟煤,16.00,32.50,0.45,,5600.00,765.00,0.00,车板价,3,2024-07-15 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-15,包头市,动力煤,20.00,30.00,0.20,,5000.00,660.00,0.00,车板价,4,2024-07-15 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-15,包头市,38块煤,12.00,37.00,0.50,,6200.00,835.00,0.00,出厂价,5,2024-07-15 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-12,包头市,精煤末煤,10.00,30.00,0.50,,6500.00,805.00,5.00,出厂价,6,2024-07-12 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-12,包头市,焦精煤,10.00,24.00,1.00,85.00,,1945.00,0.00,出厂价,7,2024-07-12 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-12,包头市,烟煤,16.00,32.50,0.45,,5600.00,765.00,5.00,车板价,8,2024-07-12 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-12,包头市,动力煤,20.00,30.00,0.20,,5000.00,660.00,5.00,车板价,9,2024-07-12 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-12,包头市,38块煤,12.00,37.00,0.50,,6200.00,835.00,0.00,出厂价,10,2024-07-12 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-11,包头市,精煤末煤,10.00,30.00,0.50,,6500.00,800.00,0.00,出厂价,11,2024-07-11 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-11,包头市,焦精煤,10.00,24.00,1.00,85.00,,1945.00,0.00,出厂价,12,2024-07-11 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
2024-07-11,包头市,烟煤,16.00,32.50,0.45,,5600.00,760.00,0.00,车板价,13,2024-07-11 00:00:00,1,0,2024-07-16 00:48:38,0,2024-07-16 00:48:38,,,
