时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,西安市,混煤,22.00,33.00,0.60,,5500.00,850.00,0.00,场地价,1,2024-07-15 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-15,西安市,末煤,21.00,38.00,0.60,,5500.00,850.00,0.00,场地价,2,2024-07-15 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-15,西安市,块煤,16.00,36.00,0.60,,6000.00,890.00,0.00,场地价,3,2024-07-15 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-12,西安市,混煤,22.00,33.00,0.60,,5500.00,850.00,0.00,场地价,4,2024-07-12 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-12,西安市,末煤,21.00,38.00,0.60,,5500.00,850.00,0.00,场地价,5,2024-07-12 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-12,西安市,块煤,16.00,36.00,0.60,,6000.00,890.00,0.00,场地价,6,2024-07-12 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-11,西安市,混煤,22.00,33.00,0.60,,5500.00,850.00,0.00,场地价,7,2024-07-11 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-11,西安市,末煤,21.00,38.00,0.60,,5500.00,850.00,0.00,场地价,8,2024-07-11 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-11,西安市,块煤,16.00,36.00,0.60,,6000.00,890.00,0.00,场地价,9,2024-07-11 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-10,西安市,混煤,22.00,33.00,0.60,,5500.00,850.00,0.00,场地价,10,2024-07-10 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-10,西安市,末煤,21.00,38.00,0.60,,5500.00,850.00,0.00,场地价,11,2024-07-10 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-10,西安市,块煤,16.00,36.00,0.60,,6000.00,890.00,0.00,场地价,12,2024-07-10 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-09,西安市,混煤,22.00,33.00,0.60,,5500.00,850.00,0.00,场地价,13,2024-07-09 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-09,西安市,末煤,21.00,38.00,0.60,,5500.00,850.00,0.00,场地价,14,2024-07-09 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-09,西安市,块煤,16.00,36.00,0.60,,6000.00,890.00,0.00,场地价,15,2024-07-09 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-08,西安市,混煤,22.00,33.00,0.60,,5500.00,850.00,0.00,场地价,16,2024-07-08 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-08,西安市,末煤,21.00,38.00,0.60,,5500.00,850.00,0.00,场地价,17,2024-07-08 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-08,西安市,块煤,16.00,36.00,0.60,,6000.00,890.00,0.00,场地价,18,2024-07-08 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-05,西安市,混煤,22.00,33.00,0.60,,5500.00,850.00,0.00,场地价,19,2024-07-05 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-05,西安市,末煤,21.00,38.00,0.60,,5500.00,850.00,0.00,场地价,20,2024-07-05 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-05,西安市,块煤,16.00,36.00,0.60,,6000.00,890.00,0.00,场地价,21,2024-07-05 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
2024-07-04,西安市,混煤,22.00,33.00,0.60,,5500.00,850.00,0.00,场地价,22,2024-07-04 00:00:00,1,0,2024-07-16 03:21:29,0,2024-07-16 03:21:29,,,
