时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,1,2024-07-15 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-12,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,2,2024-07-12 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-11,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,3,2024-07-11 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-10,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,4,2024-07-10 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-09,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,5,2024-07-09 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-08,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,6,2024-07-08 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-05,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,7,2024-07-05 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-04,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,8,2024-07-04 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-03,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,9,2024-07-03 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-02,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,10,2024-07-02 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-07-01,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,11,2024-07-01 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-06-28,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,12,2024-06-28 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-06-27,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,13,2024-06-27 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-06-26,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,14,2024-06-26 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-06-25,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,15,2024-06-25 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-06-24,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,16,2024-06-24 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-06-21,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,17,2024-06-21 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-06-20,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,18,2024-06-20 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
2024-06-19,郑州市,动力煤,12.00,22.00,1.00,,5200.00,700.00,0.00,场地价,19,2024-06-19 00:00:00,1,0,2024-07-16 06:15:16,0,2024-07-16 06:15:16,,,
