时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,淄博市,混煤,10.00,26.00,0.60,,5500.00,730.00,0.00,车板价,1,2024-07-15 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-15,淄博市,气煤,10.00,37.00,0.60,72.00,,1250.00,0.00,车板价,2,2024-07-15 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-15,淄博市,气块煤,11.00,38.00,0.40,70.00,,1370.00,0.00,车板价,3,2024-07-15 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-12,淄博市,混煤,10.00,26.00,0.60,,5500.00,730.00,0.00,车板价,4,2024-07-12 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-12,淄博市,气煤,10.00,37.00,0.60,72.00,,1250.00,0.00,车板价,5,2024-07-12 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-12,淄博市,气块煤,11.00,38.00,0.40,70.00,,1370.00,0.00,车板价,6,2024-07-12 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-11,淄博市,混煤,10.00,26.00,0.60,,5500.00,730.00,0.00,车板价,7,2024-07-11 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-11,淄博市,气煤,10.00,37.00,0.60,72.00,,1250.00,0.00,车板价,8,2024-07-11 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-11,淄博市,气块煤,11.00,38.00,0.40,70.00,,1370.00,0.00,车板价,9,2024-07-11 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-10,淄博市,混煤,10.00,26.00,0.60,,5500.00,730.00,0.00,车板价,10,2024-07-10 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-10,淄博市,气煤,10.00,37.00,0.60,72.00,,1250.00,0.00,车板价,11,2024-07-10 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-10,淄博市,气块煤,11.00,38.00,0.40,70.00,,1370.00,0.00,车板价,12,2024-07-10 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
2024-07-09,淄博市,混煤,10.00,26.00,0.60,,5500.00,730.00,0.00,车板价,13,2024-07-09 00:00:00,1,0,2024-07-16 08:39:56,0,2024-07-16 08:39:56,,,
