时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,1,2024-07-15 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-12,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,2,2024-07-12 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-11,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,3,2024-07-11 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-10,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,5.00,出厂价,4,2024-07-10 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-09,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,960.00,0.00,出厂价,5,2024-07-09 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-08,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,960.00,0.00,出厂价,6,2024-07-08 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-05,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,960.00,0.00,出厂价,7,2024-07-05 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-04,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,960.00,0.00,出厂价,8,2024-07-04 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-03,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,960.00,-5.00,出厂价,9,2024-07-03 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-02,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,10,2024-07-02 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-07-01,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,11,2024-07-01 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-06-28,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,12,2024-06-28 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-06-27,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,13,2024-06-27 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-06-26,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,14,2024-06-26 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-06-25,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,15,2024-06-25 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-06-24,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,16,2024-06-24 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
2024-06-21,株洲市,无烟末煤,20.00,5.00,1.00,,5000.00,965.00,0.00,出厂价,17,2024-06-21 00:00:00,1,0,2024-07-16 18:45:55,0,2024-07-16 18:45:55,,,
