时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,徐州市,黄陵煤,17.00,27.50,0.95,,5500.00,935.00,0.00,船板价,1,2024-07-15 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-15,徐州市,烟煤,21.00,31.00,0.70,,5000.00,835.00,0.00,船板价,2,2024-07-15 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-15,徐州市,气精煤,7.75,38.00,0.45,63.00,,1390.00,0.00,出厂价,3,2024-07-15 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-15,徐州市,榆神煤,12.00,32.50,0.95,,5800.00,985.00,0.00,船板价,4,2024-07-15 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-15,徐州市,动力煤,30.00,23.50,0.70,,4500.00,725.00,0.00,船板价,5,2024-07-15 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-12,徐州市,黄陵煤,17.00,27.50,0.95,,5500.00,935.00,0.00,船板价,6,2024-07-12 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-12,徐州市,烟煤,21.00,31.00,0.70,,5000.00,835.00,0.00,船板价,7,2024-07-12 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-12,徐州市,气精煤,7.75,38.00,0.45,63.00,,1390.00,0.00,出厂价,8,2024-07-12 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-12,徐州市,榆神煤,12.00,32.50,0.95,,5800.00,985.00,0.00,船板价,9,2024-07-12 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-12,徐州市,动力煤,30.00,23.50,0.70,,4500.00,725.00,0.00,船板价,10,2024-07-12 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-11,徐州市,黄陵煤,17.00,27.50,0.95,,5500.00,935.00,0.00,船板价,11,2024-07-11 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-11,徐州市,烟煤,21.00,31.00,0.70,,5000.00,835.00,0.00,船板价,12,2024-07-11 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-11,徐州市,气精煤,7.75,38.00,0.45,63.00,,1390.00,0.00,出厂价,13,2024-07-11 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-11,徐州市,榆神煤,12.00,32.50,0.95,,5800.00,985.00,0.00,船板价,14,2024-07-11 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-11,徐州市,动力煤,30.00,23.50,0.70,,4500.00,725.00,5.00,船板价,15,2024-07-11 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-10,徐州市,黄陵煤,17.00,27.50,0.95,,5500.00,935.00,5.00,船板价,16,2024-07-10 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-10,徐州市,烟煤,21.00,31.00,0.70,,5000.00,835.00,5.00,船板价,17,2024-07-10 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-10,徐州市,气精煤,7.75,38.00,0.45,63.00,,1390.00,0.00,出厂价,18,2024-07-10 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-10,徐州市,榆神煤,12.00,32.50,0.95,,5800.00,985.00,5.00,船板价,19,2024-07-10 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-10,徐州市,动力煤,30.00,23.50,0.70,,4500.00,720.00,0.00,船板价,20,2024-07-10 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-09,徐州市,黄陵煤,17.00,27.50,0.95,,5500.00,930.00,0.00,船板价,21,2024-07-09 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-09,徐州市,烟煤,21.00,31.00,0.70,,5000.00,830.00,5.00,船板价,22,2024-07-09 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-09,徐州市,气精煤,7.75,38.00,0.45,63.00,,1390.00,0.00,出厂价,23,2024-07-09 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-09,徐州市,榆神煤,12.00,32.50,0.95,,5800.00,980.00,0.00,船板价,24,2024-07-09 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-09,徐州市,动力煤,30.00,23.50,0.70,,4500.00,720.00,5.00,船板价,25,2024-07-09 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-08,徐州市,黄陵煤,17.00,27.50,0.95,,5500.00,930.00,0.00,船板价,26,2024-07-08 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-08,徐州市,烟煤,21.00,31.00,0.70,,5000.00,825.00,0.00,船板价,27,2024-07-08 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-08,徐州市,气精煤,7.75,38.00,0.45,63.00,,1390.00,0.00,出厂价,28,2024-07-08 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-08,徐州市,榆神煤,12.00,32.50,0.95,,5800.00,980.00,0.00,船板价,29,2024-07-08 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-08,徐州市,动力煤,30.00,23.50,0.70,,4500.00,715.00,0.00,船板价,30,2024-07-08 00:00:00,1,0,2024-07-16 18:52:42,0,2024-07-16 18:52:42,,,
2024-07-05,徐州市,黄陵煤,17.00,27.50,0.95,,5500.00,930.00,0.00,船板价,31,2024-07-05 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-05,徐州市,烟煤,21.00,31.00,0.70,,5000.00,825.00,0.00,船板价,32,2024-07-05 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-05,徐州市,气精煤,7.75,38.00,0.45,63.00,,1390.00,0.00,出厂价,33,2024-07-05 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-05,徐州市,榆神煤,12.00,32.50,0.95,,5800.00,980.00,0.00,船板价,34,2024-07-05 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-05,徐州市,动力煤,30.00,23.50,0.70,,4500.00,715.00,0.00,船板价,35,2024-07-05 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-04,徐州市,黄陵煤,17.00,27.50,0.95,,5500.00,930.00,0.00,船板价,36,2024-07-04 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-04,徐州市,烟煤,21.00,31.00,0.70,,5000.00,825.00,0.00,船板价,37,2024-07-04 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-04,徐州市,气精煤,7.75,38.00,0.45,63.00,,1390.00,0.00,出厂价,38,2024-07-04 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-04,徐州市,榆神煤,12.00,32.50,0.95,,5800.00,980.00,0.00,船板价,39,2024-07-04 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
2024-07-04,徐州市,动力煤,30.00,23.50,0.70,,4500.00,715.00,0.00,船板价,40,2024-07-04 00:00:00,1,0,2024-07-16 18:52:44,0,2024-07-16 18:52:44,,,
