时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,达州市,洗中煤,36.00,24.00,0.80,,4000.00,555.00,0.00,车板价,1,2024-07-16 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-16,达州市,动力煤,21.00,36.00,0.95,,4500.00,870.00,0.00,坑口价,2,2024-07-16 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-15,达州市,洗中煤,36.00,24.00,0.80,,4000.00,555.00,0.00,车板价,3,2024-07-15 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-15,达州市,动力煤,21.00,36.00,0.95,,4500.00,870.00,0.00,坑口价,4,2024-07-15 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-12,达州市,洗中煤,36.00,24.00,0.80,,4000.00,555.00,0.00,车板价,5,2024-07-12 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-12,达州市,动力煤,21.00,36.00,0.95,,4500.00,870.00,0.00,坑口价,6,2024-07-12 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-11,达州市,洗中煤,36.00,24.00,0.80,,4000.00,555.00,0.00,车板价,7,2024-07-11 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-11,达州市,动力煤,21.00,36.00,0.95,,4500.00,870.00,0.00,坑口价,8,2024-07-11 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-10,达州市,洗中煤,36.00,24.00,0.80,,4000.00,555.00,0.00,车板价,9,2024-07-10 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-10,达州市,动力煤,21.00,36.00,0.95,,4500.00,870.00,0.00,坑口价,10,2024-07-10 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-09,达州市,洗中煤,36.00,24.00,0.80,,4000.00,555.00,0.00,车板价,11,2024-07-09 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-09,达州市,动力煤,21.00,36.00,0.95,,4500.00,870.00,0.00,坑口价,12,2024-07-09 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-08,达州市,洗中煤,36.00,24.00,0.80,,4000.00,555.00,0.00,车板价,13,2024-07-08 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
2024-07-08,达州市,动力煤,21.00,36.00,0.95,,4500.00,870.00,0.00,坑口价,14,2024-07-08 00:00:00,1,0,2024-07-16 21:11:46,0,2024-07-16 21:11:46,,,
