时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,1,2024-07-16 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-16,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,2,2024-07-16 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-16,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,3,2024-07-16 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-15,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,4,2024-07-15 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-15,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,5,2024-07-15 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-15,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,6,2024-07-15 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-12,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,7,2024-07-12 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-12,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,8,2024-07-12 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-12,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,9,2024-07-12 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-11,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,10,2024-07-11 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-11,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,11,2024-07-11 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-11,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,12,2024-07-11 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-10,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,13,2024-07-10 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-10,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,14,2024-07-10 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-10,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,15,2024-07-10 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-09,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,16,2024-07-09 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-09,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,17,2024-07-09 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-09,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,18,2024-07-09 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-08,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,19,2024-07-08 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-08,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,20,2024-07-08 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-08,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,21,2024-07-08 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-05,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,22,2024-07-05 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-05,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,23,2024-07-05 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-05,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,24,2024-07-05 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-04,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,25,2024-07-04 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-04,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,26,2024-07-04 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-04,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,27,2024-07-04 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-03,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,28,2024-07-03 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-03,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,29,2024-07-03 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-03,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,30,2024-07-03 00:00:00,1,0,2024-07-16 21:28:29,0,2024-07-16 21:28:29,,,
2024-07-02,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,31,2024-07-02 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-07-02,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,32,2024-07-02 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-07-02,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,33,2024-07-02 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-07-01,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,34,2024-07-01 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-07-01,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,35,2024-07-01 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-07-01,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,36,2024-07-01 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-28,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,37,2024-06-28 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-28,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,38,2024-06-28 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-28,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,39,2024-06-28 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-27,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,40,2024-06-27 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-27,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,41,2024-06-27 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-27,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,42,2024-06-27 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-26,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,43,2024-06-26 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-26,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,44,2024-06-26 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-26,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,45,2024-06-26 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-25,宜宾市,烟煤,26.00,17.00,1.50,,5000.00,890.00,0.00,坑口价,46,2024-06-25 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-25,宜宾市,混煤,28.00,7.00,4.50,,4500.00,625.00,0.00,车板价,47,2024-06-25 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
2024-06-25,宜宾市,无烟末煤,26.00,9.00,0.50,,5500.00,975.00,0.00,坑口价,48,2024-06-25 00:00:00,1,0,2024-07-16 21:28:32,0,2024-07-16 21:28:32,,,
