时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,乌鲁木齐市,长焰煤,20.00,45.00,0.80,,5500.00,420.00,0.00,坑口价,1,2024-07-16 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-16,乌鲁木齐市,肥煤,11.00,32.00,2.00,80.00,,895.00,0.00,出厂价,2,2024-07-16 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-16,乌鲁木齐市,焦煤,7.00,32.00,3.00,85.00,,925.00,0.00,出厂价,3,2024-07-16 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-16,乌鲁木齐市,气煤,8.00,42.00,1.00,85.00,,1250.00,0.00,坑口价,4,2024-07-16 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-16,乌鲁木齐市,弱粘煤,6.00,35.00,0.60,48.00,,1035.00,0.00,坑口价,5,2024-07-16 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-16,乌鲁木齐市,1/3焦煤,8.00,31.00,1.00,64.00,,1235.00,0.00,坑口价,6,2024-07-16 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-15,乌鲁木齐市,长焰煤,20.00,45.00,0.80,,5500.00,420.00,0.00,坑口价,7,2024-07-15 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-15,乌鲁木齐市,肥煤,11.00,32.00,2.00,80.00,,895.00,0.00,出厂价,8,2024-07-15 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-15,乌鲁木齐市,焦煤,7.00,32.00,3.00,85.00,,925.00,0.00,出厂价,9,2024-07-15 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-15,乌鲁木齐市,气煤,8.00,42.00,1.00,85.00,,1250.00,0.00,坑口价,10,2024-07-15 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-15,乌鲁木齐市,弱粘煤,6.00,35.00,0.60,48.00,,1035.00,0.00,坑口价,11,2024-07-15 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-15,乌鲁木齐市,1/3焦煤,8.00,31.00,1.00,64.00,,1235.00,0.00,坑口价,12,2024-07-15 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-12,乌鲁木齐市,长焰煤,20.00,45.00,0.80,,5500.00,420.00,0.00,坑口价,13,2024-07-12 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-12,乌鲁木齐市,肥煤,11.00,32.00,2.00,80.00,,895.00,0.00,出厂价,14,2024-07-12 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-12,乌鲁木齐市,焦煤,7.00,32.00,3.00,85.00,,925.00,0.00,出厂价,15,2024-07-12 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
2024-07-12,乌鲁木齐市,气煤,8.00,42.00,1.00,85.00,,1250.00,0.00,坑口价,16,2024-07-12 00:00:00,1,0,2024-07-16 21:43:55,0,2024-07-16 21:43:55,,,
