时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,1,2024-07-16 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-16,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,2,2024-07-16 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-15,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,3,2024-07-15 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-15,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,4,2024-07-15 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-12,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,5,2024-07-12 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-12,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,6,2024-07-12 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-11,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,7,2024-07-11 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-11,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,8,2024-07-11 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-10,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,9,2024-07-10 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-10,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,10,2024-07-10 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-09,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,11,2024-07-09 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-09,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,12,2024-07-09 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-08,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,13,2024-07-08 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-08,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,14,2024-07-08 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-05,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,15,2024-07-05 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-05,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,16,2024-07-05 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-04,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,17,2024-07-04 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-04,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,18,2024-07-04 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-03,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,19,2024-07-03 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-03,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,20,2024-07-03 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-02,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,21,2024-07-02 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-02,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,22,2024-07-02 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-01,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,23,2024-07-01 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-07-01,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,24,2024-07-01 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-06-28,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,25,2024-06-28 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-06-28,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,26,2024-06-28 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-06-27,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,27,2024-06-27 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-06-27,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,28,2024-06-27 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-06-26,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,29,2024-06-26 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-06-26,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,30,2024-06-26 00:00:00,1,0,2024-07-16 22:41:14,0,2024-07-16 22:41:14,,,
2024-06-25,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,31,2024-06-25 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-25,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,32,2024-06-25 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-24,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,33,2024-06-24 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-24,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,34,2024-06-24 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-21,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,35,2024-06-21 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-21,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,36,2024-06-21 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-20,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,37,2024-06-20 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-20,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,38,2024-06-20 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-19,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,39,2024-06-19 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-19,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,40,2024-06-19 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-18,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,41,2024-06-18 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-18,巴里坤哈萨克自治县,精沫1号,6.00,38.00,0.50,,6300.00,1610.00,0.00,坑口价,42,2024-06-18 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
2024-06-17,巴里坤哈萨克自治县,精沫3号,10.00,36.00,0.80,,6400.00,1660.00,0.00,坑口价,43,2024-06-17 00:00:00,1,0,2024-07-16 22:41:16,0,2024-07-16 22:41:16,,,
