时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,1,2024-07-16 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-16,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,2,2024-07-16 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-16,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,3,2024-07-16 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-16,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,4,2024-07-16 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-15,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,5,2024-07-15 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-15,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,6,2024-07-15 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-15,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,7,2024-07-15 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-15,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,8,2024-07-15 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-12,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,9,2024-07-12 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-12,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,10,2024-07-12 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-12,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,11,2024-07-12 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-12,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,12,2024-07-12 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-11,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,13,2024-07-11 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-11,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,14,2024-07-11 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-11,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,15,2024-07-11 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-11,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,16,2024-07-11 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-10,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,17,2024-07-10 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-10,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,18,2024-07-10 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-10,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,19,2024-07-10 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-10,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,20,2024-07-10 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
2024-07-09,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,21,2024-07-09 00:00:00,1,0,2024-07-16 22:46:58,0,2024-07-16 22:46:58,,,
