时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,860.00,-5.00,平仓价,1,2024-07-16 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-15,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,2,2024-07-15 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-12,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,3,2024-07-12 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-11,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,4,2024-07-11 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-10,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,5,2024-07-10 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-09,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,6,2024-07-09 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-08,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,7,2024-07-08 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-05,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,8,2024-07-05 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-04,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,9,2024-07-04 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-03,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,10,2024-07-03 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-02,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,11,2024-07-02 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-07-01,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,12,2024-07-01 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-28,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,13,2024-06-28 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-27,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,14,2024-06-27 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-26,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,15,2024-06-26 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-25,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,16,2024-06-25 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-24,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,17,2024-06-24 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-21,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,18,2024-06-21 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-20,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,19,2024-06-20 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-19,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,20,2024-06-19 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-18,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,21,2024-06-18 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-17,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,22,2024-06-17 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-14,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,23,2024-06-14 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-13,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,24,2024-06-13 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-12,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,25,2024-06-12 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-11,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,26,2024-06-11 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-07,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,27,2024-06-07 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-06,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,28,2024-06-06 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-05,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,29,2024-06-05 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-04,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,30,2024-06-04 00:00:00,1,0,2024-07-17 02:11:54,0,2024-07-17 02:11:54,,,
2024-06-03,云阳县,无烟煤,18.00,7.50,0.90,,5000.00,865.00,0.00,平仓价,31,2024-06-03 00:00:00,1,0,2024-07-17 02:11:56,0,2024-07-17 02:11:56,,,
