时间,产品名称,港口,原产地,发热量,硫份,灰份,挥发份,粘结指数,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,气肥煤,天津港,俄罗斯,,0.70,9.50,39.00,90.00,1645.00,0.00,场地价,1,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,气煤,天津港,印尼,,0.80,8.00,38.50,65.00,1740.00,0.00,场地价,2,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,动力煤5500,天津港,中国北方,5500.00,0.85,20.00,25.00,,854.00,-1.00,平仓价,3,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,动力煤5000,天津港,中国北方,5000.00,0.85,22.00,25.00,,753.00,-1.00,平仓价,4,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,动力煤4500,天津港,中国北方,4500.00,0.85,24.00,25.00,,654.00,0.00,平仓价,5,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,主焦煤,天津港,澳大利亚,,0.80,7.00,25.00,95.00,2065.00,0.00,场地价,6,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,主焦煤,天津港,蒙古,,0.80,10.00,27.50,82.50,1830.00,0.00,场地价,7,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,主焦煤,天津港,俄罗斯,,0.30,11.00,17.50,83.00,1860.00,0.00,场地价,8,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,主焦煤,天津港,美国,,1.00,8.00,26.00,90.00,1830.00,0.00,场地价,9,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,1/3焦煤2#,天津港,美国,,0.80,8.00,29.00,85.00,1830.00,0.00,场地价,10,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,1/3焦煤1#,天津港,美国,,1.00,8.50,29.00,85.00,1755.00,0.00,场地价,11,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-16,1/3焦煤,天津港,澳大利亚,,0.60,10.00,36.00,85.00,1850.00,0.00,场地价,12,2024-07-16 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,气肥煤,天津港,俄罗斯,,0.70,9.50,39.00,90.00,1645.00,0.00,场地价,13,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,气煤,天津港,印尼,,0.80,8.00,38.50,65.00,1740.00,0.00,场地价,14,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,动力煤5500,天津港,中国北方,5500.00,0.85,20.00,25.00,,855.00,0.00,平仓价,15,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,动力煤5000,天津港,中国北方,5000.00,0.85,22.00,25.00,,754.00,0.00,平仓价,16,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,动力煤4500,天津港,中国北方,4500.00,0.85,24.00,25.00,,654.00,0.00,平仓价,17,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,主焦煤,天津港,澳大利亚,,0.80,7.00,25.00,95.00,2065.00,0.00,场地价,18,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,主焦煤,天津港,蒙古,,0.80,10.00,27.50,82.50,1830.00,-5.00,场地价,19,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,主焦煤,天津港,俄罗斯,,0.30,11.00,17.50,83.00,1860.00,0.00,场地价,20,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,主焦煤,天津港,美国,,1.00,8.00,26.00,90.00,1830.00,0.00,场地价,21,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,1/3焦煤2#,天津港,美国,,0.80,8.00,29.00,85.00,1830.00,0.00,场地价,22,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,1/3焦煤1#,天津港,美国,,1.00,8.50,29.00,85.00,1755.00,0.00,场地价,23,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-15,1/3焦煤,天津港,澳大利亚,,0.60,10.00,36.00,85.00,1850.00,0.00,场地价,24,2024-07-15 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-12,气肥煤,天津港,俄罗斯,,0.70,9.50,39.00,90.00,1645.00,0.00,场地价,25,2024-07-12 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-12,气煤,天津港,印尼,,0.80,8.00,38.50,65.00,1740.00,0.00,场地价,26,2024-07-12 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-12,动力煤5500,天津港,中国北方,5500.00,0.85,20.00,25.00,,855.00,0.00,平仓价,27,2024-07-12 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-12,动力煤5000,天津港,中国北方,5000.00,0.85,22.00,25.00,,754.00,0.00,平仓价,28,2024-07-12 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-12,动力煤4500,天津港,中国北方,4500.00,0.85,24.00,25.00,,654.00,0.00,平仓价,29,2024-07-12 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
2024-07-12,主焦煤,天津港,澳大利亚,,0.80,7.00,25.00,95.00,2065.00,0.00,场地价,30,2024-07-12 00:00:00,1,0,2024-07-17 02:28:25,0,2024-07-17 02:28:25,,,
