时间,产品名称,港口,原产地,发热量,硫份,灰份,挥发份,粘结指数,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,高硫末,徐州港,晋城市,6000.00,2.50,22.00,7.00,,860.00,0.00,平仓价,1,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,陕西烟煤2#,徐州港,陕西省,6000.00,0.60,17.00,28.00,,710.00,0.00,平仓价,2,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,陕西烟煤1#,徐州港,陕西省,5800.00,0.50,,29.00,,705.00,0.00,平仓价,3,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,洗粒煤,徐州港,晋城市,6800.00,0.50,14.00,7.00,,1160.00,0.00,平仓价,4,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,榆林烟煤,徐州港,榆林市,6000.00,0.50,7.00,33.00,,745.00,0.00,平仓价,5,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,无烟末煤,徐州港,晋城市,5800.00,0.45,21.00,7.00,,900.00,0.00,平仓价,6,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,无烟喷吹煤,徐州港,山西省,6700.00,0.55,,9.50,,1405.00,0.00,平仓价,7,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,无烟喷吹煤,徐州港,晋城市,6800.00,0.55,10.00,9.50,,1260.00,0.00,平仓价,8,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,成庄末,徐州港,晋城市,5800.00,0.50,22.00,7.00,,1120.00,0.00,平仓价,9,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-16,嘉峰煤,徐州港,沁水县,5800.00,0.55,19.00,6.00,,1110.00,0.00,平仓价,10,2024-07-16 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,高硫末,徐州港,晋城市,6000.00,2.50,22.00,7.00,,860.00,0.00,平仓价,11,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,陕西烟煤2#,徐州港,陕西省,6000.00,0.60,17.00,28.00,,710.00,0.00,平仓价,12,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,陕西烟煤1#,徐州港,陕西省,5800.00,0.50,,29.00,,705.00,0.00,平仓价,13,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,洗粒煤,徐州港,晋城市,6800.00,0.50,14.00,7.00,,1160.00,0.00,平仓价,14,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,榆林烟煤,徐州港,榆林市,6000.00,0.50,7.00,33.00,,745.00,0.00,平仓价,15,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,无烟末煤,徐州港,晋城市,5800.00,0.45,21.00,7.00,,900.00,0.00,平仓价,16,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,无烟喷吹煤,徐州港,山西省,6700.00,0.55,,9.50,,1405.00,0.00,平仓价,17,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,无烟喷吹煤,徐州港,晋城市,6800.00,0.55,10.00,9.50,,1260.00,0.00,平仓价,18,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,成庄末,徐州港,晋城市,5800.00,0.50,22.00,7.00,,1120.00,0.00,平仓价,19,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-15,嘉峰煤,徐州港,沁水县,5800.00,0.55,19.00,6.00,,1110.00,0.00,平仓价,20,2024-07-15 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-12,高硫末,徐州港,晋城市,6000.00,2.50,22.00,7.00,,860.00,0.00,平仓价,21,2024-07-12 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
2024-07-12,陕西烟煤2#,徐州港,陕西省,6000.00,0.60,17.00,28.00,,710.00,0.00,平仓价,22,2024-07-12 00:00:00,1,0,2024-07-17 04:08:11,0,2024-07-17 04:08:11,,,
