时间,产品名称,港口,原产地,发热量,硫份,灰份,挥发份,粘结指数,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,动力末煤4#,上海港,大同市,5800.00,0.80,20.00,25.00,,975.00,0.00,到港价,1,2024-07-16 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-16,动力末煤3#,上海港,大同市,5500.00,0.80,20.00,25.00,,940.00,0.00,到港价,2,2024-07-16 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-16,动力末煤2#,上海港,大同市,5000.00,0.80,22.00,25.00,,775.00,0.00,到港价,3,2024-07-16 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-16,动力末煤1#,上海港,大同市,4500.00,0.80,22.00,25.00,,690.00,0.00,到港价,4,2024-07-16 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-16,主焦煤,上海港,澳大利亚,,0.30,8.00,21.00,80.00,2165.00,0.00,场地价,5,2024-07-16 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-15,动力末煤4#,上海港,大同市,5800.00,0.80,20.00,25.00,,975.00,0.00,到港价,6,2024-07-15 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-15,动力末煤3#,上海港,大同市,5500.00,0.80,20.00,25.00,,940.00,0.00,到港价,7,2024-07-15 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-15,动力末煤2#,上海港,大同市,5000.00,0.80,22.00,25.00,,775.00,0.00,到港价,8,2024-07-15 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-15,动力末煤1#,上海港,大同市,4500.00,0.80,22.00,25.00,,690.00,0.00,到港价,9,2024-07-15 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-15,主焦煤,上海港,澳大利亚,,0.30,8.00,21.00,80.00,2165.00,0.00,场地价,10,2024-07-15 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-12,动力末煤4#,上海港,大同市,5800.00,0.80,20.00,25.00,,975.00,0.00,到港价,11,2024-07-12 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-12,动力末煤3#,上海港,大同市,5500.00,0.80,20.00,25.00,,940.00,0.00,到港价,12,2024-07-12 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-12,动力末煤2#,上海港,大同市,5000.00,0.80,22.00,25.00,,775.00,0.00,到港价,13,2024-07-12 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-12,动力末煤1#,上海港,大同市,4500.00,0.80,22.00,25.00,,690.00,0.00,到港价,14,2024-07-12 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-12,主焦煤,上海港,澳大利亚,,0.30,8.00,21.00,80.00,2165.00,0.00,场地价,15,2024-07-12 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-11,动力末煤4#,上海港,大同市,5800.00,0.80,20.00,25.00,,975.00,0.00,到港价,16,2024-07-11 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-11,动力末煤3#,上海港,大同市,5500.00,0.80,20.00,25.00,,940.00,0.00,到港价,17,2024-07-11 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-11,动力末煤2#,上海港,大同市,5000.00,0.80,22.00,25.00,,775.00,0.00,到港价,18,2024-07-11 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-11,动力末煤1#,上海港,大同市,4500.00,0.80,22.00,25.00,,690.00,0.00,到港价,19,2024-07-11 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
2024-07-11,主焦煤,上海港,澳大利亚,,0.30,8.00,21.00,80.00,2165.00,0.00,场地价,20,2024-07-11 00:00:00,1,0,2024-07-17 06:45:50,0,2024-07-17 06:45:50,,,
