时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1640.00,出厂价,1,2024-07-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-07-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1790.00,出厂价,2,2024-07-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-06-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1640.00,出厂价,3,2024-06-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-06-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1790.00,出厂价,4,2024-06-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-05-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1790.00,出厂价,5,2024-05-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-05-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1640.00,出厂价,6,2024-05-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-04-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1640.00,出厂价,7,2024-04-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-04-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1790.00,出厂价,8,2024-04-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-03-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2120.00,出厂价,9,2024-03-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2024-03-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1840.00,出厂价,10,2024-03-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
