时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2060.00,出厂价,1,2024-07-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2024-06-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2060.00,出厂价,2,2024-06-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2024-05-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2060.00,出厂价,3,2024-05-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2024-04-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2060.00,出厂价,4,2024-04-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2024-03-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2260.00,出厂价,5,2024-03-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2024-02-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2260.00,出厂价,6,2024-02-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2024-01-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2060.00,出厂价,7,2024-01-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2023-12-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2060.00,出厂价,8,2023-12-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2023-11-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,2060.00,出厂价,9,2023-11-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2023-10-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,1780.00,出厂价,10,2023-10-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
2023-09-01,抚顺矿业,肥精煤,10.00,30 - 35,0.80,90.00, - ,1780.00,出厂价,11,2023-09-01 00:00:00,1,0,2024-07-17 09:15:11,0,2024-07-17 09:15:11,,,
