时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1522.00,车板价,1,2024-07-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-07-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1273.00,车板价,2,2024-07-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-06-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1273.00,车板价,3,2024-06-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-06-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1522.00,车板价,4,2024-06-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-05-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1522.00,车板价,5,2024-05-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-05-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1273.00,车板价,6,2024-05-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-04-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1522.00,车板价,7,2024-04-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-04-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1273.00,车板价,8,2024-04-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-03-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1722.00,车板价,9,2024-03-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-03-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1453.00,车板价,10,2024-03-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-02-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1453.00,车板价,11,2024-02-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-02-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1722.00,车板价,12,2024-02-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-01-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1453.00,车板价,13,2024-01-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2024-01-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1722.00,车板价,14,2024-01-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-12-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1373.00,车板价,15,2023-12-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-12-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1602.00,车板价,16,2023-12-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-11-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1602.00,车板价,17,2023-11-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-11-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1373.00,车板价,18,2023-11-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-10-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1602.00,车板价,19,2023-10-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-10-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1373.00,车板价,20,2023-10-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-09-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1133.00,车板价,21,2023-09-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-09-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1402.00,车板价,22,2023-09-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-08-01,山东能源,1/3焦煤,8.00,34 - 38,0.90,75, - ,1402.00,车板价,23,2023-08-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
2023-08-01,山东能源,气煤,8.00,34 - 38,0.80,80 - 85, - ,1133.00,车板价,24,2023-08-01 00:00:00,1,0,2024-07-17 09:15:17,0,2024-07-17 09:15:17,,,
