时间,煤炭产地,产品名称,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-08,,1/3焦煤,1940.00,到厂价,1,2024-07-08 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-07-01,,1/3焦煤,1940.00,到厂价,2,2024-07-01 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-06-24,,1/3焦煤,1940.00,到厂价,3,2024-06-24 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-06-17,,1/3焦煤,1940.00,到厂价,4,2024-06-17 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-06-03,,1/3焦煤,1940.00,到厂价,5,2024-06-03 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-05-27,,1/3焦煤,1940.00,到厂价,6,2024-05-27 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-05-20,,1/3焦煤,1940.00,到厂价,7,2024-05-20 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-05-13,,1/3焦煤,1940.00,到厂价,8,2024-05-13 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-05-06,,1/3焦煤,1807.00,到厂价,9,2024-05-06 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-04-29,,1/3焦煤,1807.00,到厂价,10,2024-04-29 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-04-22,,1/3焦煤,1731.00,到厂价,11,2024-04-22 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-04-15,,1/3焦煤,1731.00,到厂价,12,2024-04-15 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-04-08,,1/3焦煤,1820.00,到厂价,13,2024-04-08 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-04-01,,1/3焦煤,1820.00,到厂价,14,2024-04-01 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
2024-03-25,,1/3焦煤,2016.00,到厂价,15,2024-03-25 00:00:00,1,0,2024-07-17 09:15:38,0,2024-07-17 09:15:38,,,
