时间,煤炭产地,产品名称,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-01,安徽省,主焦煤,1830.00,到厂价,1,2024-07-01 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-06-24,安徽省,主焦煤,1830.00,到厂价,2,2024-06-24 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-06-17,安徽省,主焦煤,1830.00,到厂价,3,2024-06-17 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-06-03,安徽省,主焦煤,1830.00,到厂价,4,2024-06-03 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-05-27,安徽省,主焦煤,1830.00,到厂价,5,2024-05-27 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-05-20,安徽省,主焦煤,1930.00,到厂价,6,2024-05-20 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-05-13,安徽省,主焦煤,1930.00,到厂价,7,2024-05-13 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-05-06,安徽省,主焦煤,1850.00,到厂价,8,2024-05-06 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-04-29,安徽省,主焦煤,1800.00,到厂价,9,2024-04-29 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-04-22,安徽省,主焦煤,1800.00,到厂价,10,2024-04-22 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-04-15,安徽省,主焦煤,1800.00,到厂价,11,2024-04-15 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-04-08,安徽省,主焦煤,1800.00,到厂价,12,2024-04-08 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-04-01,安徽省,主焦煤,1950.00,到厂价,13,2024-04-01 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-03-25,安徽省,主焦煤,1950.00,到厂价,14,2024-03-25 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-03-18,安徽省,主焦煤,1950.00,到厂价,15,2024-03-18 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-03-11,安徽省,主焦煤,2050.00,到厂价,16,2024-03-11 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-03-04,安徽省,主焦煤,2150.00,到厂价,17,2024-03-04 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-02-26,安徽省,主焦煤,2150.00,到厂价,18,2024-02-26 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-02-19,安徽省,主焦煤,2150.00,到厂价,19,2024-02-19 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-02-05,安徽省,主焦煤,2150.00,到厂价,20,2024-02-05 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-01-29,安徽省,主焦煤,2100.00,到厂价,21,2024-01-29 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-01-22,安徽省,主焦煤,2000.00,到厂价,22,2024-01-22 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-01-15,安徽省,主焦煤,1850.00,到厂价,23,2024-01-15 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2024-01-08,安徽省,主焦煤,1750.00,到厂价,24,2024-01-08 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2023-12-25,安徽省,主焦煤,1750.00,到厂价,25,2023-12-25 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2023-12-18,安徽省,主焦煤,1750.00,到厂价,26,2023-12-18 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2023-12-11,安徽省,主焦煤,1750.00,到厂价,27,2023-12-11 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2023-12-04,安徽省,主焦煤,1750.00,到厂价,28,2023-12-04 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
2023-11-27,安徽省,主焦煤,1750.00,到厂价,29,2023-11-27 00:00:00,1,0,2024-07-17 09:33:55,0,2024-07-17 09:33:55,,,
