时间,产品名称,到岸港口,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-17,气肥煤,连云港,7.00,34.50,1.80,98.50,,1850.00,0.00,平仓价,1,2024-07-17 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-17,气煤,日照港,7.00,35.50,1.90,95.00,,1720.00,0.00,车板价,2,2024-07-17 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-17,1/3焦煤2#,天津港,8.00,29.00,0.80,85.00,,1830.00,0.00,场地价,3,2024-07-17 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-17,1/3焦煤1#,天津港,8.50,29.00,1.00,85.00,,1755.00,0.00,场地价,4,2024-07-17 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-17,主焦煤,天津港,8.00,26.00,1.00,90.00,,1830.00,0.00,场地价,5,2024-07-17 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-17,主焦煤,京唐港,8.00,26.00,1.00,90.00,,2090.00,0.00,场地价,6,2024-07-17 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-16,气肥煤,连云港,7.00,34.50,1.80,98.50,,1850.00,0.00,平仓价,7,2024-07-16 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-16,气煤,日照港,7.00,35.50,1.90,95.00,,1720.00,0.00,车板价,8,2024-07-16 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-16,1/3焦煤2#,天津港,8.00,29.00,0.80,85.00,,1830.00,0.00,场地价,9,2024-07-16 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-16,1/3焦煤1#,天津港,8.50,29.00,1.00,85.00,,1755.00,0.00,场地价,10,2024-07-16 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-16,主焦煤,天津港,8.00,26.00,1.00,90.00,,1830.00,0.00,场地价,11,2024-07-16 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-16,主焦煤,京唐港,8.00,26.00,1.00,90.00,,2090.00,0.00,场地价,12,2024-07-16 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-15,气肥煤,连云港,7.00,34.50,1.80,98.50,,1850.00,0.00,平仓价,13,2024-07-15 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
2024-07-15,气煤,日照港,7.00,35.50,1.90,95.00,,1720.00,0.00,车板价,14,2024-07-15 00:00:00,1,0,2024-07-17 12:06:25,0,2024-07-17 12:06:25,,,
