时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-11,纽卡斯尔港,动力煤2#,23.00,5500(NAR),87.25,0.00,FOB,1,2024-07-11 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-11,纽卡斯尔港,动力煤1#,20.00,5500(NAR),89.45,0.00,FOB,2,2024-07-11 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-10,纽卡斯尔港,动力煤2#,23.00,5500(NAR),87.25,-0.50,FOB,3,2024-07-10 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-10,纽卡斯尔港,动力煤1#,20.00,5500(NAR),89.45,-0.55,FOB,4,2024-07-10 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-09,纽卡斯尔港,动力煤2#,23.00,5500(NAR),87.75,-0.25,FOB,5,2024-07-09 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-09,纽卡斯尔港,动力煤1#,20.00,5500(NAR),90.00,-0.25,FOB,6,2024-07-09 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-08,纽卡斯尔港,动力煤2#,23.00,5500(NAR),88.00,0.20,FOB,7,2024-07-08 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-08,纽卡斯尔港,动力煤1#,20.00,5500(NAR),90.25,0.20,FOB,8,2024-07-08 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-05,纽卡斯尔港,动力煤2#,23.00,5500(NAR),87.80,0.30,FOB,9,2024-07-05 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
2024-07-05,纽卡斯尔港,动力煤1#,20.00,5500(NAR),90.05,0.30,FOB,10,2024-07-05 00:00:00,1,0,2024-07-17 13:11:13,0,2024-07-17 13:11:13,,,
