时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-11,理查兹港,动力煤,,5500(NAR),90.95,3.40,FOB,1,2024-07-11 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-07-10,理查兹港,动力煤,,5500(NAR),87.55,-0.90,FOB,2,2024-07-10 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-07-09,理查兹港,动力煤,,5500(NAR),88.45,-1.40,FOB,3,2024-07-09 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-07-08,理查兹港,动力煤,,5500(NAR),89.85,-1.15,FOB,4,2024-07-08 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-07-05,理查兹港,动力煤,,5500(NAR),91.00,2.10,FOB,5,2024-07-05 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-07-04,理查兹港,动力煤,,5500(NAR),88.90,0.90,FOB,6,2024-07-04 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-07-03,理查兹港,动力煤,,5500(NAR),88.00,2.75,FOB,7,2024-07-03 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-07-02,理查兹港,动力煤,,5500(NAR),85.25,-2.75,FOB,8,2024-07-02 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-07-01,理查兹港,动力煤,,5500(NAR),88.00,-1.00,FOB,9,2024-07-01 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-06-28,理查兹港,动力煤,,5500(NAR),89.00,-0.60,FOB,10,2024-06-28 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-06-27,理查兹港,动力煤,,5500(NAR),89.60,0.00,FOB,11,2024-06-27 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-06-26,理查兹港,动力煤,,5500(NAR),89.60,-3.40,FOB,12,2024-06-26 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
2024-06-25,理查兹港,动力煤,,5500(NAR),93.00,-0.05,FOB,13,2024-06-25 00:00:00,1,0,2024-07-17 13:19:53,0,2024-07-17 13:19:53,,,
