时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-11,印度西海岸,动力煤3#,,4200(GAR),64.05,0.10,CFR,1,2024-07-11 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-11,印度西海岸,动力煤2#,,5000(GAR),82.00,0.35,CFR,2,2024-07-11 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-11,印度西海岸,动力煤1#,,5500(NAR),105.65,0.30,CFR,3,2024-07-11 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-10,印度西海岸,动力煤3#,,4200(GAR),63.95,0.15,CFR,4,2024-07-10 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-10,印度西海岸,动力煤2#,,5000(GAR),81.65,0.35,CFR,5,2024-07-10 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-10,印度西海岸,动力煤1#,,5500(NAR),105.35,-0.40,CFR,6,2024-07-10 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-09,印度西海岸,动力煤3#,,4200(GAR),63.80,-0.50,CFR,7,2024-07-09 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-09,印度西海岸,动力煤2#,,5000(GAR),81.30,-0.70,CFR,8,2024-07-09 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-09,印度西海岸,动力煤1#,,5500(NAR),105.75,-0.05,CFR,9,2024-07-09 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-08,印度西海岸,动力煤3#,,4200(GAR),64.30,-0.45,CFR,10,2024-07-08 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-08,印度西海岸,动力煤2#,,5000(GAR),82.00,-0.75,CFR,11,2024-07-08 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-08,印度西海岸,动力煤1#,,5500(NAR),105.80,0.15,CFR,12,2024-07-08 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-05,印度西海岸,动力煤3#,,4200(GAR),64.75,-0.20,CFR,13,2024-07-05 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-05,印度西海岸,动力煤2#,,5000(GAR),82.75,-0.20,CFR,14,2024-07-05 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-05,印度西海岸,动力煤1#,,5500(NAR),105.65,-0.10,CFR,15,2024-07-05 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-04,印度西海岸,动力煤3#,,4200(GAR),64.95,-0.60,CFR,16,2024-07-04 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-04,印度西海岸,动力煤2#,,5000(GAR),82.95,-0.20,CFR,17,2024-07-04 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-07-04,印度西海岸,动力煤1#,,5500(NAR),105.75,-0.15,CFR,18,2024-07-04 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
