时间,产品名称,报价地,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,瘦精煤,邯郸市,10.00,18.00,0.60,27.50,,1400.00,长协价,1,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦精煤,沁源县,9.00,12.50,0.50,10.00,,1305.00,车板价,2,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦精煤,韩城市,12.00,19.00,0.70,37.00,,1520.00,车板价,3,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦精煤,襄垣县,11.50,15.50,0.40,45.00,,1480.00,车板价,4,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦精煤,淮北市,11.00,13.00,0.45,30.00,,1760.00,车板价,5,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦精煤,长治郊区,11.50,16.00,0.30,42.50,,1525.00,车板价,6,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦煤2#,长治县,17.00,12.50,2.00,38.00,5800.00,790.00,坑口价,7,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦煤1#,长治县,23.00,17.00,0.30,18.00,5300.00,725.00,坑口价,8,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦煤,太原市,10.00,15.00,1.00,10.00,,1330.00,车板价,9,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦煤,平陆县,26.00,18.00,1.95,35.00,4600.00,830.00,坑口价,10,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
2024-07-19,瘦煤,襄垣县,19.00,15.50,0.60,30.00,5800.00,735.00,坑口价,11,2024-07-19 00:00:00,1,0,2024-07-19 13:34:44,0,2024-07-19 13:34:44,,,
