时间,产品名称,报价地,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,选小块,阳城县,11.00,7.00,0.50,,6800.00,1100.00,坑口价,1,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,洗混小块,府谷县,15.00,30.00,0.60,,5200.00,670.00,坑口价,2,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,洗小块,阳泉市,10.50,8.00,0.95,,7000.00,1100.00,坑口价,3,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,无烟洗小块,阳泉市,9.50,6.50,0.95,,7000.00,1140.00,车板价,4,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,无烟小块,晋城市,14.00,7.50,0.30,,6500.00,1120.00,坑口价,5,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,无烟小块,金沙县,17.00,9.00,0.40,,6600.00,1450.00,坑口价,6,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,无烟小块,沁水县,13.00,7.00,0.30,,6900.00,1180.00,坑口价,7,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,小块,沁水县,14.00,7.00,0.30,,7000.00,1210.00,车板价,8,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,小块,晋城市,17.00,7.50,0.30,,6300.00,1130.00,车板价,9,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,优小块,沁水县,11.00,7.00,0.50,,6800.00,1190.00,坑口价,10,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,优小块,高平市,13.00,9.00,0.50,,6500.00,1180.00,坑口价,11,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-19,优小块,泽州县,13.00,7.50,0.50,,5800.00,1150.00,坑口价,12,2024-07-19 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,选小块,阳城县,11.00,7.00,0.50,,6800.00,1100.00,坑口价,13,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,洗混小块,府谷县,15.00,30.00,0.60,,5200.00,670.00,坑口价,14,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,洗小块,阳泉市,10.50,8.00,0.95,,7000.00,1100.00,坑口价,15,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,无烟洗小块,阳泉市,9.50,6.50,0.95,,7000.00,1140.00,车板价,16,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,无烟小块,金沙县,17.00,9.00,0.40,,6600.00,1450.00,坑口价,17,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,无烟小块,晋城市,14.00,7.50,0.30,,6500.00,1120.00,坑口价,18,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,无烟小块,沁水县,13.00,7.00,0.30,,6900.00,1180.00,坑口价,19,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,小块,沁水县,14.00,7.00,0.30,,7000.00,1210.00,车板价,20,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,小块,晋城市,17.00,7.50,0.30,,6300.00,1130.00,车板价,21,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,优小块,沁水县,11.00,7.00,0.50,,6800.00,1190.00,坑口价,22,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,优小块,泽州县,13.00,7.50,0.50,,5800.00,1150.00,坑口价,23,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-18,优小块,高平市,13.00,9.00,0.50,,6500.00,1180.00,坑口价,24,2024-07-18 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
2024-07-17,选小块,阳城县,11.00,7.00,0.50,,6800.00,1100.00,坑口价,25,2024-07-17 00:00:00,1,0,2024-07-19 23:56:42,0,2024-07-19 23:56:42,,,
