时间,产品名称,报价地,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,选中块,阳城县,11.00,7.00,0.50,,6800.00,1180.00,坑口价,1,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,洗中块,府谷县,15.00,34.00,0.60,,5300.00,695.00,坑口价,2,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,洗中块,阳泉市,10.50,8.00,0.95,,7000.00,1170.00,坑口价,3,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,无烟洗中块,阳泉市,9.50,6.50,0.95,,7000.00,1230.00,车板价,4,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,无烟中块2#,贵港,16.00,6.00,0.90,,6500.00,1715.00,车板价,5,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,无烟中块1#,贵港,18.00,7.00,0.70,,6500.00,1815.00,车板价,6,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,无烟中块,安顺市,11.00,8.00,,,7000.00,1490.00,坑口价,7,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,无烟中块,晋城市,14.00,6.00,0.50,,6800.00,1190.00,坑口价,8,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,无烟中块,金沙县,15.00,7.00,0.40,,6800.00,1490.00,坑口价,9,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
2024-07-19,无烟中块,沁水县,12.00,6.00,0.30,,7000.00,1250.00,坑口价,10,2024-07-19 00:00:00,1,0,2024-07-20 01:11:59,0,2024-07-20 01:11:59,,,
