时间,产品名称,报价地,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,1,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,2,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,3,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,4,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,织金县,13.00,7.50,0.75,,6300.00,1330.00,出厂价,5,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,6,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,7,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,8,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,石嘴山市,11.00,9.50,0.45,,7000.00,1440.00,出厂价,9,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,大武口区,9.00,7.50,0.45,,,1450.00,出厂价,10,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,日照港,11.00,7.50,0.60,,6800.00,1355.00,平仓价,11,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,石家庄市,10.00,7.50,0.75,,6000.00,1255.00,出厂价,12,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-19,喷吹煤,纳雍县,13.00,7.50,0.75,,6700.00,1400.00,出厂价,13,2024-07-19 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,14,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,15,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,16,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,17,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,纳雍县,13.00,7.50,0.75,,6700.00,1400.00,出厂价,18,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,石嘴山市,11.00,9.50,0.45,,7000.00,1440.00,出厂价,19,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,20,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,21,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,织金县,13.00,7.50,0.75,,6300.00,1330.00,出厂价,22,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,日照港,11.00,7.50,0.60,,6800.00,1355.00,平仓价,23,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,石家庄市,10.00,7.50,0.75,,6000.00,1255.00,出厂价,24,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,大武口区,9.00,7.50,0.45,,,1450.00,出厂价,25,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-18,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,26,2024-07-18 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-17,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,27,2024-07-17 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-17,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,28,2024-07-17 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-17,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,29,2024-07-17 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-17,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,30,2024-07-17 00:00:00,1,0,2024-07-20 03:51:09,0,2024-07-20 03:51:09,,,
2024-07-17,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,31,2024-07-17 00:00:00,1,0,2024-07-20 03:51:11,0,2024-07-20 03:51:11,,,
