时间,港口名称,规格品,本期价格(元/吨),上期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-17,环渤海,5500K,715,715,0.00,0.00,1,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,秦皇岛港,5800K,750 - 760,750 - 760,0.00,0.00,2,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,秦皇岛港,5500K,710 - 720,710 - 720,0.00,0.00,3,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,秦皇岛港,5000K,645 - 655,640 - 650,5.00,0.78,4,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,秦皇岛港,4500K,575 - 585,575 - 585,0.00,0.00,5,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,黄骅港,5800K,750 - 760,750 - 760,0.00,0.00,6,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,黄骅港,5500K,710 - 720,710 - 720,0.00,0.00,7,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,黄骅港,5000K,645 - 655,645 - 655,0.00,0.00,8,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,黄骅港,4500K,575 - 585,575 - 585,0.00,0.00,9,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,天津港,5800K,750 - 760,750 - 760,0.00,0.00,10,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,天津港,5500K,710 - 720,710 - 720,0.00,0.00,11,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,天津港,5000K,645 - 655,640 - 650,5.00,0.78,12,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,天津港,4500K,575 - 585,575 - 585,0.00,0.00,13,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,曹妃甸港,5800K,750 - 760,750 - 760,0.00,0.00,14,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,曹妃甸港,5500K,710 - 720,710 - 720,0.00,0.00,15,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,曹妃甸港,5000K,645 - 655,640 - 650,5.00,0.78,16,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,曹妃甸港,4500K,575 - 585,575 - 585,0.00,0.00,17,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,国投京唐港,5800K,750 - 760,750 - 760,0.00,0.00,18,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,国投京唐港,5500K,710 - 720,710 - 720,0.00,0.00,19,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,国投京唐港,5000K,645 - 655,645 - 655,0.00,0.00,20,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,国投京唐港,4500K,575 - 585,575 - 585,0.00,0.00,21,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,京唐港,5800K,750 - 760,750 - 760,0.00,0.00,22,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,京唐港,5500K,710 - 720,710 - 720,0.00,0.00,23,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,京唐港,5000K,645 - 655,645 - 655,0.00,0.00,24,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-17,京唐港,4500K,575 - 585,575 - 585,0.00,0.00,25,2024-07-17 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-10,环渤海,5500K,715,715,0.00,0.00,26,2024-07-10 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-10,秦皇岛港,5800K,750 - 760,750 - 760,0.00,0.00,27,2024-07-10 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-10,秦皇岛港,5500K,710 - 720,710 - 720,0.00,0.00,28,2024-07-10 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-10,秦皇岛港,5000K,640 - 650,640 - 650,0.00,0.00,29,2024-07-10 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-10,秦皇岛港,4500K,575 - 585,575 - 585,0.00,0.00,30,2024-07-10 00:00:00,1,0,2024-07-20 05:48:46,0,2024-07-20 05:48:46,,,
2024-07-10,黄骅港,5800K,750 - 760,750 - 760,0.00,0.00,31,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,黄骅港,5500K,710 - 720,710 - 720,0.00,0.00,32,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,黄骅港,5000K,645 - 655,645 - 655,0.00,0.00,33,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,黄骅港,4500K,575 - 585,575 - 585,0.00,0.00,34,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,天津港,5800K,750 - 760,750 - 760,0.00,0.00,35,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,天津港,5500K,710 - 720,710 - 720,0.00,0.00,36,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,天津港,5000K,640 - 650,640 - 650,0.00,0.00,37,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
