时间,5500K综合价,5500K成交价,5000K成交价,5500K离岸价,5000K离岸价,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,765.00,853.00,752.00,782.00,683.00,1,2024-07-19 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-07-12,799.00,851.00,747.00,799.00,683.00,2,2024-07-12 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-07-05,795.00,854.00,748.00,788.00,683.00,3,2024-07-05 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-06-28,803.00,866.00,765.00,804.00,702.00,4,2024-06-28 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-06-21,806.00,876.00,774.00,806.00,698.00,5,2024-06-21 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-06-14,806.00,880.00,781.00,806.00,697.00,6,2024-06-14 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-06-07,794.00,880.00,779.00,794.00,689.00,7,2024-06-07 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-05-31,793.00,882.00,777.00,797.00,688.00,8,2024-05-31 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-05-24,801.00,862.00,763.00,801.00,688.00,9,2024-05-24 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-05-17,782.00,857.00,762.00,759.00,688.00,10,2024-05-17 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-05-10,781.00,848.00,746.00,758.00,680.00,11,2024-05-10 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-04-26,746.00,822.00,723.00,750.00,672.00,12,2024-04-26 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-04-19,789.00,821.00,726.00,789.00,682.00,13,2024-04-19 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-04-12,749.00,819.00,722.00,749.00,670.00,14,2024-04-12 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-03-29,799.00,845.00,739.00,800.00,702.00,15,2024-03-29 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-03-22,812.00,886.00,755.00,813.00,694.00,16,2024-03-22 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-03-15,795.00,897.00,808.00,803.00,711.00,17,2024-03-15 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-03-08,786.00,924.00,818.00,786.00,718.00,18,2024-03-08 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-03-01,786.00,933.00,829.00,783.00,714.00,19,2024-03-01 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-02-23,812.00,927.00,824.00,813.00,713.00,20,2024-02-23 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-02-02,766.00,913.00,804.00,766.00,722.00,21,2024-02-02 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-01-26,791.00,912.00,803.00,792.00,724.00,22,2024-01-26 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-01-19,824.00,918.00,802.00,824.00,723.00,23,2024-01-19 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-01-12,795.00,930.00,816.00,795.00,720.00,24,2024-01-12 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2024-01-05,831.00,930.00,845.00,832.00,726.00,25,2024-01-05 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2023-12-29,789.00,925.00,840.00,803.00,736.00,26,2023-12-29 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2023-12-22,794.00,953.00,842.00,794.00,726.00,27,2023-12-22 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2023-12-15,807.00,939.00,829.00,815.00,718.00,28,2023-12-15 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
2023-12-08,820.00,932.00,825.00,808.00,726.00,29,2023-12-08 00:00:00,1,0,2024-07-20 06:01:31,0,2024-07-20 06:01:31,,,
