时间,数据名称,本期,上期,环比增减,环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,山西动力煤5500综合价格(元/吨),608.00,608.00,0.00,0.00,1,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,山西动力煤5000综合价格(元/吨),548.00,547.00,1.00,0.18,2,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,山西动力煤4500综合价格(元/吨),488.00,487.00,1.00,0.21,3,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,长治低硫5500长协价格(元/吨),570.00,570.00,0.00,0.00,4,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,晋中低硫5000长协价格(元/吨),518.00,518.00,0.00,0.00,5,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,太原中硫4500长协价格(元/吨),453.00,453.00,0.00,0.00,6,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,忻州低硫5000市场价格(元/吨),643.00,636.00,7.00,1.10,7,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12, 阳泉中硫5500市场价格(元/吨),780.00,770.00,10.00,1.30,8,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,晋城高硫4500市场价格(元/吨),535.00,535.00,0.00,0.00,9,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12, 山西低硫焦精煤综合价格(元/吨),1954.00,1968.00,-14.00,-0.71,10,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,山西中硫焦精煤综合价格(元/吨),1747.00,1773.00,-26.00,-1.47,11,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,山西高硫焦精煤综合价格(元/吨),1693.00,1693.00,0.00,0.00,12,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,山西低硫瘦精煤综合价格(元/吨),1501.00,1541.00,-40.00,-2.60,13,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,山西低硫贫瘦精煤综合价格(元/吨),1299.00,1291.00,8.00,0.62,14,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,山西中硫肥精煤综合价格(元/吨),1810.00,1860.00,-50.00,-2.69,15,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,山西低硫1/3焦精煤综合价格(元/吨),1604.00,1584.00,20.00,1.26,16,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,吕梁低硫焦精煤长协价格(元/吨),2010.00,2010.00,0.00,0.00,17,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
2024-07-12,晋中中硫焦精煤长协价格(元/吨),1815.00,1815.00,0.00,0.00,18,2024-07-12 00:00:00,1,0,2024-07-20 06:02:03,0,2024-07-20 06:02:03,,,
