时间,数据项目,本期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,长江口5000K平仓价格指数,788.30,-2.50,-0.32,1,2024-07-19 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-19,长江口5500K平仓价格指数,890.50,-2.30,-0.26,2,2024-07-19 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-19,北方港5000K平仓价格指数,752.30,-2.50,-0.33,3,2024-07-19 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-19,北方港5500K平仓价格指数,848.30,-2.50,-0.29,4,2024-07-19 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-12,长江口5000K平仓价格指数,790.80,3.30,0.42,5,2024-07-12 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-12,长江口5500K平仓价格指数,892.80,1.00,0.11,6,2024-07-12 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-12,北方港5000K平仓价格指数,754.80,2.80,0.37,7,2024-07-12 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-12,北方港5500K平仓价格指数,850.80,2.00,0.24,8,2024-07-12 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-05,长江口5000K平仓价格指数,787.50,-6.50,-0.82,9,2024-07-05 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-05,长江口5500K平仓价格指数,891.80,-5.20,-0.58,10,2024-07-05 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-05,北方港5000K平仓价格指数,752.00,-16.00,-2.08,11,2024-07-05 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-07-05,北方港5500K平仓价格指数,848.80,-15.50,-1.79,12,2024-07-05 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-28,长江口5000K平仓价格指数,794.00,-2.80,-0.35,13,2024-06-28 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-28,长江口5500K平仓价格指数,897.00,-2.80,-0.31,14,2024-06-28 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-28,北方港5000K平仓价格指数,768.00,-7.80,-1.01,15,2024-06-28 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-28,北方港5500K平仓价格指数,864.30,-7.00,-0.80,16,2024-06-28 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-21,长江口5000K平仓价格指数,796.80,-8.00,-0.99,17,2024-06-21 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-21,长江口5500K平仓价格指数,899.80,-9.00,-0.99,18,2024-06-21 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-21,北方港5000K平仓价格指数,775.80,-6.20,-0.79,19,2024-06-21 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-21,北方港5500K平仓价格指数,871.30,-5.70,-0.65,20,2024-06-21 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-14,长江口5000K平仓价格指数,804.80,-2.40,-0.30,21,2024-06-14 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-14,长江口5500K平仓价格指数,908.80,-2.40,-0.26,22,2024-06-14 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-14,北方港5000K平仓价格指数,782.00,0.00,0.00,23,2024-06-14 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-14,北方港5500K平仓价格指数,877.00,0.00,0.00,24,2024-06-14 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-07,长江口5000K平仓价格指数,807.20,-2.80,-0.35,25,2024-06-07 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-07,长江口5500K平仓价格指数,911.20,-3.40,-0.37,26,2024-06-07 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-07,北方港5000K平仓价格指数,782.00,-2.60,-0.33,27,2024-06-07 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-06-07,北方港5500K平仓价格指数,877.00,-2.60,-0.30,28,2024-06-07 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-05-31,长江口5000K平仓价格指数,810.00,7.40,0.92,29,2024-05-31 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-05-31,长江口5500K平仓价格指数,914.60,6.20,0.68,30,2024-05-31 00:00:00,1,0,2024-07-20 06:27:56,0,2024-07-20 06:27:56,,,
2024-05-31,北方港5000K平仓价格指数,784.60,6.80,0.87,31,2024-05-31 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-31,北方港5500K平仓价格指数,879.60,5.00,0.57,32,2024-05-31 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-24,长江口5000K平仓价格指数,802.60,6.60,0.83,33,2024-05-24 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-24,长江口5500K平仓价格指数,908.40,6.40,0.71,34,2024-05-24 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-24,北方港5000K平仓价格指数,777.80,17.80,2.34,35,2024-05-24 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-24,北方港5500K平仓价格指数,874.60,15.60,1.82,36,2024-05-24 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
