时间,本期(美元/吨),上期(美元/吨),环比增减(美元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,132.81,133.85,-1.04,-0.78,1,2024-07-12 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-07-05,133.85,132.03,1.82,1.38,2,2024-07-05 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-06-28,132.03,134.22,-2.19,-1.63,3,2024-06-28 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-06-21,134.22,132.84,1.38,1.04,4,2024-06-21 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-06-14,132.84,137.01,-4.17,-3.04,5,2024-06-14 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-06-07,137.01,139.40,-2.39,-1.71,6,2024-06-07 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-05-31,139.40,140.41,-1.01,-0.72,7,2024-05-31 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-05-24,140.41,141.27,-0.86,-0.61,8,2024-05-24 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-05-17,141.27,146.77,-5.50,-3.75,9,2024-05-17 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-05-10,146.77,145.74,1.03,0.71,10,2024-05-10 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-05-03,145.74,134.92,10.82,8.02,11,2024-05-03 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-04-26,134.92,130.07,4.85,3.73,12,2024-04-26 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-04-19,130.07,125.54,4.53,3.61,13,2024-04-19 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
2024-04-12,125.54,129.27,-3.73,-2.89,14,2024-04-12 00:00:00,1,0,2024-07-20 06:30:17,0,2024-07-20 06:30:17,,,
