时间,始发地,到达地,本期(元/吨),上期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,太仓,淮安,12.00,12.00,0.00,0.%,1,2024-07-19 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-19,江阴,淮安,11.00,11.00,0.00,0.%,2,2024-07-19 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-19,太仓,宿迁,24.00,24.00,0.00,0.%,3,2024-07-19 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-19,江阴,宿迁,23.00,23.00,0.00,0.%,4,2024-07-19 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-19,太仓,徐州,28.00,28.00,0.00,0.%,5,2024-07-19 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-19,江阴,徐州,27.00,27.00,0.00,0.%,6,2024-07-19 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-19,太仓,济宁,34.00,34.00,0.00,0.%,7,2024-07-19 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-19,江阴,济宁,33.00,33.00,0.00,0.%,8,2024-07-19 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-18,太仓,淮安,12.00,12.00,0.00,0.%,9,2024-07-18 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-18,江阴,淮安,11.00,11.00,0.00,0.%,10,2024-07-18 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-18,太仓,宿迁,24.00,24.00,0.00,0.%,11,2024-07-18 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-18,江阴,宿迁,23.00,23.00,0.00,0.%,12,2024-07-18 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-18,太仓,徐州,28.00,28.00,0.00,0.%,13,2024-07-18 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-18,江阴,徐州,27.00,27.00,0.00,0.%,14,2024-07-18 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-18,太仓,济宁,34.00,34.00,0.00,0.%,15,2024-07-18 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-18,江阴,济宁,33.00,33.00,0.00,0.%,16,2024-07-18 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-17,太仓,淮安,12.00,12.00,0.00,0.%,17,2024-07-17 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-17,江阴,淮安,11.00,11.00,0.00,0.%,18,2024-07-17 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-17,太仓,宿迁,24.00,24.00,0.00,0.%,19,2024-07-17 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-17,江阴,宿迁,23.00,23.00,0.00,0.%,20,2024-07-17 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-17,太仓,徐州,28.00,28.00,0.00,0.%,21,2024-07-17 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-17,江阴,徐州,27.00,27.00,0.00,0.%,22,2024-07-17 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-17,太仓,济宁,34.00,34.00,0.00,0.%,23,2024-07-17 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-17,江阴,济宁,33.00,33.00,0.00,0.%,24,2024-07-17 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-16,太仓,淮安,12.00,12.00,0.00,0.%,25,2024-07-16 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-16,江阴,淮安,11.00,11.00,0.00,0.%,26,2024-07-16 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-16,太仓,宿迁,24.00,24.00,0.00,0.%,27,2024-07-16 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-16,江阴,宿迁,23.00,23.00,0.00,0.%,28,2024-07-16 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-16,太仓,徐州,28.00,28.00,0.00,0.%,29,2024-07-16 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-16,江阴,徐州,27.00,27.00,0.00,0.%,30,2024-07-16 00:00:00,1,0,2024-07-20 07:40:38,0,2024-07-20 07:40:38,,,
2024-07-16,太仓,济宁,34.00,34.00,0.00,0.%,31,2024-07-16 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-16,江阴,济宁,33.00,33.00,0.00,0.%,32,2024-07-16 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-15,太仓,淮安,12.00,12.00,0.00,0.%,33,2024-07-15 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-15,江阴,淮安,11.00,11.00,0.00,0.%,34,2024-07-15 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-15,太仓,宿迁,24.00,24.00,0.00,0.%,35,2024-07-15 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-15,江阴,宿迁,23.00,23.00,0.00,0.%,36,2024-07-15 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-15,太仓,徐州,28.00,28.00,0.00,0.%,37,2024-07-15 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-15,江阴,徐州,27.00,27.00,0.00,0.%,38,2024-07-15 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-15,太仓,济宁,34.00,34.00,0.00,0.%,39,2024-07-15 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-15,江阴,济宁,33.00,33.00,0.00,0.%,40,2024-07-15 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-12,太仓,淮安,12.00,12.00,0.00,0.%,41,2024-07-12 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-12,江阴,淮安,11.00,11.00,0.00,0.%,42,2024-07-12 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-12,太仓,宿迁,24.00,24.00,0.00,0.%,43,2024-07-12 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-12,江阴,宿迁,23.00,23.00,0.00,0.%,44,2024-07-12 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-12,太仓,徐州,28.00,28.00,0.00,0.%,45,2024-07-12 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-12,江阴,徐州,27.00,27.00,0.00,0.%,46,2024-07-12 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-12,太仓,济宁,34.00,34.00,0.00,0.%,47,2024-07-12 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
2024-07-12,江阴,济宁,33.00,33.00,0.00,0.%,48,2024-07-12 00:00:00,1,0,2024-07-20 07:40:41,0,2024-07-20 07:40:41,,,
