时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),铁路到车(车),港口卸车(车),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,505.00,39.40,47.40,13.00,8.00,4778.00,4928.00,1,2024-07-19 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-18,513.00,43.40,52.40,11.00,8.00,5513.00,5432.00,2,2024-07-18 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-17,522.00,36.40,46.40,16.00,4.00,4516.00,4552.00,3,2024-07-17 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-16,532.00,37.10,33.10,19.00,9.00,4515.00,4639.00,4,2024-07-16 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-15,528.00,36.30,50.30,12.00,11.00,4673.00,4549.00,5,2024-07-15 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-14,542.00,43.50,51.50,15.00,2.00,5406.00,5460.00,6,2024-07-14 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-13,550.00,37.70,54.70,15.00,8.00,4828.00,4723.00,7,2024-07-13 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-12,567.00,32.70,52.70,13.00,6.00,3833.00,4098.00,8,2024-07-12 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-11,587.00,37.80,44.80,16.00,9.00,4883.00,4744.00,9,2024-07-11 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-10,594.00,38.30,39.30,8.00,11.00,4725.00,4786.00,10,2024-07-10 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-09,595.00,37.50,37.50,10.00,8.00,4515.00,4700.00,11,2024-07-09 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-08,595.00,36.50,36.50,13.00,5.00,4725.00,4563.00,12,2024-07-08 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-07,595.00,39.00,40.00,17.00,5.00,4935.00,4898.00,13,2024-07-07 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-06,596.00,43.70,45.70,21.00,3.00,5250.00,5474.00,14,2024-07-06 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-05,598.00,42.90,43.90,20.00,6.00,5040.00,5384.00,15,2024-07-05 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-04,599.00,53.20,51.20,20.00,7.00,6825.00,6657.00,16,2024-07-04 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-03,597.00,47.50,45.50,21.00,6.00,5985.00,5934.00,17,2024-07-03 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
2024-07-02,595.00,47.10,48.10,21.00,7.00,6090.00,5880.00,18,2024-07-02 00:00:00,1,0,2024-07-20 10:06:50,0,2024-07-20 10:06:50,,,
