时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),港口卸车(车),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,517.00,20.10,16.00,2.00,3.00,2520.00,1,2024-07-19 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-18,513.00,19.30,27.50,3.00,3.00,2415.00,2,2024-07-18 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-17,521.00,16.80,18.50,5.00,3.00,2100.00,3,2024-07-17 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-16,523.00,14.30,15.50,3.00,2.00,1785.00,4,2024-07-16 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-15,524.00,20.10,10.00,3.00,2.00,2520.00,5,2024-07-15 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-14,514.00,19.30,10.50,4.00,3.00,2415.00,6,2024-07-14 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-13,505.00,21.00,13.00,4.00,4.00,2625.00,7,2024-07-13 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-12,497.00,19.30,15.50,3.00,1.00,2415.00,8,2024-07-12 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-11,493.00,20.10,27.00,3.00,1.00,2520.00,9,2024-07-11 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-10,500.00,21.00,19.00,4.00,3.00,2625.00,10,2024-07-10 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-09,498.00,23.50,12.50,2.00,2.00,2940.00,11,2024-07-09 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-08,487.00,18.50,17.50,5.00,2.00,2310.00,12,2024-07-08 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-07,486.00,18.50,18.50,4.00,4.00,2310.00,13,2024-07-07 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-06,486.00,14.30,13.50,4.00,4.00,1785.00,14,2024-07-06 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-05,485.00,11.70,19.50,6.00,4.00,1470.00,15,2024-07-05 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-04,493.00,15.90,20.00,6.00,4.00,1995.00,16,2024-07-04 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-03,497.00,18.50,13.50,8.00,3.00,2310.00,17,2024-07-03 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-02,492.00,15.90,11.00,5.00,2.00,1995.00,18,2024-07-02 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-07-01,487.00,15.90,6.00,5.00,4.00,1995.00,19,2024-07-01 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-06-30,477.00,15.10,25.00,2.00,10.00,1890.00,20,2024-06-30 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-06-29,487.00,16.80,18.00,3.00,6.00,2100.00,21,2024-06-29 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-06-28,488.00,15.10,22.00,5.00,5.00,1890.00,22,2024-06-28 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-06-27,495.00,21.80,21.50,7.00,2.00,2730.00,23,2024-06-27 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
2024-06-26,495.00,18.50,24.50,6.00,3.00,2310.00,24,2024-06-26 00:00:00,1,0,2024-07-20 10:24:39,0,2024-07-20 10:24:39,,,
